Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,26.835722,[ 6 19] ; [79 22],[16.86507937  8.13492063] ; [68.13492063 32.86507937],1
d5,1,6.3e-05,16.000396,[12 13] ; [86 15],[19.44444444  5.55555556] ; [78.55555556 22.44444444],1
p1,1,0.011452,6.393765,[ 4 21] ; [ 3 97],[ 1.4 23.6] ; [ 5.6 94.4],0
s2,1,0.027912,4.833512,[ 5 20] ; [44 56],[ 9.8 15.2] ; [39.2 60.8],0
v2,1,0.091424,2.849123,[ 7 14] ; [51 44],[10.5 10.5] ; [47.5 47.5],0
a7,1,0.092132,2.836716,[14 11] ; [74 27],[17.46031746  7.53968254] ; [70.53968254 30.46031746],0
d2,1,0.124525,2.359458,[ 6 19] ; [41 60],[ 9.32539683 15.67460317] ; [37.67460317 63.32539683],0
a3,1,0.130284,2.289116,[13 11] ; [71 30],[16.128  7.872] ; [67.872 33.128],0
a8,1,0.148227,2.090404,[ 4 19] ; [ 7 86],[ 2.18103448 20.81896552] ; [ 8.81896552 84.18103448],0
s3,1,0.193481,1.690909,[10 15] ; [54 45],[12.90322581 12.09677419] ; [51.09677419 47.90322581],0
n4,1,0.261005,1.263416,[16  9] ; [52 49],[13.49206349 11.50793651] ; [54.50793651 46.49206349],0
p9,1,0.266194,1.236253,[13 11] ; [65 33],[15.3442623  8.6557377] ; [62.6557377 35.3442623],0
p11,1,0.334853,0.930037,[17  8] ; [58 43],[14.88095238 10.11904762] ; [60.11904762 40.88095238],0
s5,1,0.343093,0.89884,[ 3 20] ; [21 75],[ 4.63865546 18.36134454] ; [19.36134454 76.63865546],0
p7,1,0.385511,0.753053,[14 10] ; [46 49],[12.10084034 11.89915966] ; [47.89915966 47.10084034],0
u2,1,0.391016,0.73578,[8 4] ; [23  6],[9.07317073 2.92682927] ; [21.92682927  7.07317073],0
p8,1,0.393241,0.728898,[12 12] ; [40 59],[10.14634146 13.85365854] ; [41.85365854 57.14634146],0
a2,1,0.421826,0.645223,[ 3 22] ; [19 82],[ 4.36507937 20.63492063] ; [17.63492063 83.36507937],0
n5,1,0.424966,0.636542,[11 13] ; [37 63],[ 9.29032258 14.70967742] ; [38.70967742 61.29032258],0
a5,1,0.429653,0.623762,[15 10] ; [69 32],[16.66666667  8.33333333] ; [67.33333333 33.66666667],0
p2,1,0.433192,0.614251,[16  9] ; [72 28],[17.6  7.4] ; [70.4 29.6],0
n3,1,0.453472,0.561958,[8 3] ; [18 12],[6.97560976 4.02439024] ; [19.02439024 10.97560976],0
n2,1,0.510501,0.433041,[9 3] ; [20 11],[8.09302326 3.90697674] ; [20.90697674 10.09302326],0
r2,1,0.517688,0.418498,[22  3] ; [93  8],[22.81746032  2.18253968] ; [92.18253968  8.81746032],0
s7,1,0.525945,0.40222,[ 6 17] ; [30 61],[ 7.26315789 15.73684211] ; [28.73684211 62.26315789],0
p10,1,0.527299,0.399595,[13 11] ; [60 38],[14.36065574  9.63934426] ; [58.63934426 39.36065574],0
s1,1,0.576655,0.311673,[ 2 23] ; [ 5 93],[ 1.42276423 23.57723577] ; [ 5.57723577 92.42276423],0
v4,1,0.620313,0.245428,[22  2] ; [89 12],[21.312  2.688] ; [89.688 11.312],0
b5,1,0.622129,0.242887,[14 11] ; [62 39],[15.07936508  9.92063492] ; [60.92063492 40.07936508],0
v1,1,0.637781,0.221657,[10 14] ; [47 53],[11.03225806 12.96774194] ; [45.96774194 54.03225806],0
s4,1,0.681834,0.168069,[ 4 21] ; [13 88],[ 3.37301587 21.62698413] ; [13.62698413 87.37301587],0
b4,1,0.688476,0.16074,[14 11] ; [61 40],[14.88095238 10.11904762] ; [60.11904762 40.88095238],0
b1,1,0.68851,0.160703,[13 12] ; [48 53],[12.1031746 12.8968254] ; [48.8968254 52.1031746],0
s8,1,0.721352,0.127201,[ 7 18] ; [32 69],[ 7.73809524 17.26190476] ; [31.26190476 69.73809524],0
a6,1,0.752067,0.099802,[16  9] ; [68 33],[16.66666667  8.33333333] ; [67.33333333 33.66666667],0
p3,1,0.781795,0.076718,[10 15] ; [37 63],[ 9.4 15.6] ; [37.6 62.4],0
a1,1,0.792615,0.069125,[ 1 24] ; [ 3 98],[ 0.79365079 24.20634921] ; [ 3.20634921 97.79365079],0
a4,1,0.809592,0.058058,[ 9 16] ; [39 62],[ 9.52380952 15.47619048] ; [38.47619048 62.52380952],0
u3,1,0.885558,0.020715,[8 4] ; [20  9],[8.19512195 3.80487805] ; [19.80487805  9.19512195],0
p4,1,0.886839,0.020251,[11 14] ; [42 57],[10.68548387 14.31451613] ; [42.31451613 56.68548387],0
r4,1,0.906746,0.013723,[22  3] ; [88 13],[21.82539683  3.17460317] ; [88.17460317 12.82539683],0
v3,1,0.944647,0.004821,[ 7 16] ; [29 64],[ 7.13793103 15.86206897] ; [28.86206897 64.13793103],0
n1,1,0.946189,0.004555,[4 8] ; [10 21],[3.90697674 8.09302326] ; [10.09302326 20.90697674],0
b2,1,0.962683,0.002189,[ 4 11] ; [15 40],[ 4.07142857 10.92857143] ; [14.92857143 40.07142857],0
b3,1,0.962683,0.002189,[ 4 11] ; [15 40],[ 4.07142857 10.92857143] ; [14.92857143 40.07142857],0
s6,1,1.0,0.0,[13 12] ; [52 48],[13. 12.] ; [52. 48.],0
r3,1,1.0,0.0,[23  2] ; [92  8],[23.  2.] ; [92.  8.],0
p6,1,1.0,0.0,[ 5 19] ; [20 76],[ 5. 19.] ; [20. 76.],0
