Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2.5e-05,17.780221,[6 5] ; [ 13 120],[1.45138889 9.54861111] ; [ 17.54861111 115.45138889],1
p12,1,0.000136,14.555809,[3 7] ; [  4 129],[0.48951049 9.51048951] ; [  6.51048951 126.48951049],1
v1,1,0.012863,6.187829,[9 1] ; [65 67],[5.21126761 4.78873239] ; [68.78873239 63.21126761],0
v3,1,0.024363,5.068583,[8 3] ; [49 80],[4.47857143 6.52142857] ; [52.52142857 76.47857143],0
r3,1,0.040913,4.179616,[8 3] ; [122  11],[9.93055556 1.06944444] ; [120.06944444  12.93055556],0
p4,1,0.041192,4.168106,[10  1] ; [79 53],[6.84615385 4.15384615] ; [82.15384615 49.84615385],0
b3,1,0.043182,4.088251,[6 3] ; [25 52],[3.24418605 5.75581395] ; [27.75581395 49.24418605],0
b2,1,0.043182,4.088251,[6 3] ; [25 52],[3.24418605 5.75581395] ; [27.75581395 49.24418605],0
r4,1,0.068157,3.326863,[7 4] ; [113  20],[9.16666667 1.83333333] ; [110.83333333  22.16666667],0
d3,1,0.094362,2.798339,[5 6] ; [93 40],[7.48611111 3.51388889] ; [90.51388889 42.48611111],0
p1,1,0.098079,2.736514,[3 8] ; [ 14 119],[1.29861111 9.70138889] ; [ 15.70138889 117.29861111],0
b5,1,0.111735,2.529508,[4 7] ; [81 52],[6.49305556 4.50694444] ; [78.50694444 54.49305556],0
a5,1,0.117291,2.453128,[10  1] ; [91 42],[7.71527778 3.28472222] ; [93.28472222 39.71527778],0
v2,1,0.123856,2.367865,[9 2] ; [75 54],[6.6 4.4] ; [77.4 51.6],0
n5,1,0.138305,2.196716,[10  1] ; [93 40],[7.86805556 3.13194444] ; [95.13194444 37.86805556],0
s7,1,0.146573,2.107558,[5 6] ; [31 92],[2.95522388 8.04477612] ; [33.04477612 89.95522388],0
r1,1,0.246687,1.341967,[7 4] ; [104  28],[8.53846154 2.46153846] ; [102.46153846  29.53846154],0
d2,1,0.256512,1.287486,[7 4] ; [61 72],[5.19444444 5.80555556] ; [62.80555556 70.19444444],0
s3,1,0.261925,1.258553,[ 1 10] ; [31 99],[2.4964539 8.5035461] ; [ 29.5035461 100.4964539],0
p3,1,0.26255,1.25526,[8 3] ; [73 59],[6.23076923 4.76923077] ; [74.76923077 57.23076923],0
r2,1,0.279765,1.168233,[9 2] ; [120  11],[9.99295775 1.00704225] ; [119.00704225  11.99295775],0
s1,1,0.296724,1.088861,[ 1 10] ; [  4 127],[ 0.38732394 10.61267606] ; [  4.61267606 126.38732394],0
d1,1,0.360145,0.837387,[8 3] ; [78 55],[6.56944444 4.43055556] ; [79.43055556 53.56944444],0
n3,1,0.377209,0.779778,[2 2] ; [18  7],[2.75862069 1.24137931] ; [17.24137931  7.75862069],0
p10,1,0.415842,0.662037,[10  1] ; [107  25],[9. 2.] ; [108.  24.],0
s8,1,0.434781,0.610018,[4 7] ; [34 99],[2.90277778 8.09722222] ; [35.09722222 97.90277778],0
s2,1,0.440132,0.595939,[ 1 10] ; [ 24 107],[1.93661972 9.06338028] ; [ 23.06338028 107.93661972],0
u2,1,0.466547,0.530142,[2 1] ; [23 28],[1.38888889 1.61111111] ; [23.61111111 27.38888889],0
a6,1,0.46887,0.524637,[6 5] ; [87 46],[7.10416667 3.89583333] ; [85.89583333 47.10416667],0
a7,1,0.471099,0.519396,[7 4] ; [98 35],[8.02083333 2.97916667] ; [96.97916667 36.02083333],0
p9,1,0.471736,0.517906,[10  1] ; [108  23],[9.14084507 1.85915493] ; [108.85915493  22.14084507],0
a3,1,0.48408,0.489658,[8 3] ; [82 50],[6.92307692 4.07692308] ; [83.07692308 48.92307692],0
n6,1,0.486691,0.483835,[9 1] ; [108  25],[8.18181818 1.81818182] ; [108.81818182  24.18181818],0
v4,1,0.497282,0.460733,[10  1] ; [127   6],[10.46527778  0.53472222] ; [126.53472222   6.46527778],0
p7,1,0.569255,0.323931,[9 2] ; [97 34],[8.21126761 2.78873239] ; [97.78873239 33.21126761],0
a4,1,0.606078,0.265926,[5 6] ; [50 83],[4.20138889 6.79861111] ; [50.79861111 82.20138889],0
b1,1,0.606078,0.265926,[5 6] ; [50 83],[4.20138889 6.79861111] ; [50.79861111 82.20138889],0
n1,1,0.629063,0.233333,[1 3] ; [ 9 15],[1.42857143 2.57142857] ; [ 8.57142857 15.42857143],0
d4,1,0.659078,0.194645,[9 2] ; [101  32],[8.40277778 2.59722222] ; [101.59722222  31.40277778],0
p2,1,0.67562,0.175098,[10  1] ; [115  18],[9.54861111 1.45138889] ; [115.45138889  17.54861111],0
d5,1,0.69744,0.151148,[9 2] ; [102  31],[8.47916667 2.52083333] ; [102.52083333  30.47916667],0
u1,1,0.824437,0.049214,[ 1 10] ; [ 15 118],[1.22222222 9.77777778] ; [ 14.77777778 118.22222222],0
n4,1,0.900797,0.015539,[8 3] ; [99 34],[8.17361111 2.82638889] ; [98.82638889 34.17361111],0
n2,1,0.900807,0.015536,[3 1] ; [18  7],[2.89655172 1.10344828] ; [18.10344828  6.89655172],0
b4,1,0.944072,0.004921,[6 5] ; [74 59],[6.11111111 4.88888889] ; [73.88888889 59.11111111],0
a2,1,0.959933,0.002524,[2 9] ; [ 25 108],[2.0625 8.9375] ; [ 24.9375 108.0625],0
p6,1,0.985356,0.000337,[4 7] ; [48 83],[4.02816901 6.97183099] ; [47.97183099 83.02816901],0
