Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1.1e-05,19.303784,[49 25] ; [13 37],[37. 37.] ; [25. 25.],1
a6,1,0.000366,12.696803,[52 22] ; [19 31],[42.37096774 31.62903226] ; [28.62903226 21.37096774],1
b5,1,0.001577,9.985976,[48 26] ; [18 32],[39.38709677 34.61290323] ; [26.61290323 23.38709677],0
a2,1,0.00291,8.862773,[15 59] ; [ 1 49],[ 9.5483871 64.4516129] ; [ 6.4516129 43.5483871],0
d5,1,0.00321,8.683878,[56 18] ; [25 25],[48.33870968 25.66129032] ; [32.66129032 17.33870968],0
d4,1,0.004131,8.225258,[58 16] ; [27 23],[50.72580645 23.27419355] ; [34.27419355 15.72580645],0
d1,1,0.004889,7.920135,[38 36] ; [13 37],[30.43548387 43.56451613] ; [20.56451613 29.43548387],0
r3,1,0.006383,7.438954,[63 11] ; [32 18],[56.69354839 17.30645161] ; [38.30645161 11.69354839],0
a3,1,0.007647,7.114255,[47 26] ; [20 30],[39.76422764 33.23577236] ; [27.23577236 22.76422764],0
p2,1,0.047865,3.914706,[43 31] ; [20 30],[37.59677419 36.40322581] ; [25.40322581 24.59677419],0
r1,1,0.050111,3.837745,[54 20] ; [28 22],[48.93548387 25.06451613] ; [33.06451613 16.93548387],0
v4,1,0.068096,3.328318,[62 12] ; [35 15],[57.88709677 16.11290323] ; [39.11290323 10.88709677],0
a5,1,0.104012,2.642921,[45 29] ; [23 27],[40.58064516 33.41935484] ; [27.41935484 22.58064516],0
r4,1,0.115903,2.471826,[53 21] ; [29 21],[48.93548387 25.06451613] ; [33.06451613 16.93548387],0
p4,1,0.118929,2.431367,[31 42] ; [14 35],[26.92622951 46.07377049] ; [18.07377049 30.92622951],0
s6,1,0.17517,1.838133,[30 44] ; [14 35],[26.47154472 47.52845528] ; [17.52845528 31.47154472],0
n4,1,0.201206,1.633601,[47 27] ; [26 24],[43.56451613 30.43548387] ; [29.43548387 20.56451613],0
v2,1,0.216817,1.525316,[30 42] ; [15 34],[26.7768595 45.2231405] ; [18.2231405 30.7768595],0
p10,1,0.233659,1.418447,[15 58] ; [ 6 43],[12.56557377 60.43442623] ; [ 8.43442623 40.56557377],0
u3,1,0.248664,1.330792,[14 13] ; [11 19],[11.84210526 15.15789474] ; [13.15789474 16.84210526],0
p7,1,0.252448,1.309703,[30 44] ; [25 24],[33.08943089 40.91056911] ; [21.91056911 27.08943089],0
r2,1,0.258455,1.277016,[63 11] ; [37 11],[60.6557377 13.3442623] ; [39.3442623  8.6557377],0
a4,1,0.302508,1.063103,[25 49] ; [12 36],[22.44262295 51.55737705] ; [14.55737705 33.44262295],0
n3,1,0.318924,0.993354,[20 11] ; [9 9],[18.34693878 12.65306122] ; [10.65306122  7.34693878],0
n1,1,0.412262,0.672269,[10 20] ; [ 4 14],[ 8.75 21.25] ; [ 5.25 12.75],0
b2,1,0.443958,0.586032,[13 26] ; [ 8 24],[11.53521127 27.46478873] ; [ 9.46478873 22.53521127],0
b3,1,0.443958,0.586032,[13 26] ; [ 8 24],[11.53521127 27.46478873] ; [ 9.46478873 22.53521127],0
n5,1,0.458945,0.548467,[42 32] ; [25 25],[39.98387097 34.01612903] ; [27.01612903 22.98387097],0
d2,1,0.483312,0.49138,[38 36] ; [22 27],[36.09756098 37.90243902] ; [23.90243902 25.09756098],0
p3,1,0.509695,0.434693,[23 50] ; [13 37],[21.36585366 51.63414634] ; [14.63414634 35.36585366],0
a1,1,0.514091,0.425732,[ 5 69] ; [ 2 48],[ 4.17741935 69.82258065] ; [ 2.82258065 47.17741935],0
s5,1,0.531917,0.390728,[ 9 64] ; [ 8 41],[10.17213115 62.82786885] ; [ 6.82786885 42.17213115],0
b1,1,0.554004,0.350193,[41 33] ; [25 25],[39.38709677 34.61290323] ; [26.61290323 23.38709677],0
v1,1,0.650803,0.20489,[22 52] ; [13 37],[20.88709677 53.11290323] ; [14.11290323 35.88709677],0
s3,1,0.675066,0.175733,[25 48] ; [15 34],[23.93442623 49.06557377] ; [16.06557377 32.93442623],0
n6,1,0.685142,0.164395,[45 28] ; [29 21],[43.91869919 29.08130081] ; [30.08130081 19.91869919],0
v3,1,0.694105,0.154678,[16 57] ; [12 36],[16.89256198 56.10743802] ; [11.10743802 36.89256198],0
s8,1,0.737814,0.112057,[ 9 65] ; [ 5 44],[ 8.42276423 65.57723577] ; [ 5.57723577 43.42276423],0
p11,1,0.761804,0.091877,[32 42] ; [23 27],[32.82258065 41.17741935] ; [22.17741935 27.82258065],0
p6,1,0.783795,0.075283,[12 61] ; [ 7 41],[11.46280992 61.53719008] ; [ 7.53719008 40.46280992],0
p5,1,0.793917,0.06824,[ 2 71] ; [ 1 49],[ 1.7804878 71.2195122] ; [ 1.2195122 48.7804878],0
n2,1,0.864154,0.029271,[18 13] ; [10  8],[17.71428571 13.28571429] ; [10.28571429  7.71428571],0
a8,1,0.873155,0.025489,[ 5 65] ; [ 3 44],[ 4.78632479 65.21367521] ; [ 3.21367521 43.78632479],0
s1,1,0.873669,0.025281,[ 5 68] ; [ 3 46],[ 4.78688525 68.21311475] ; [ 3.21311475 45.78688525],0
p8,1,0.926208,0.008578,[21 52] ; [14 36],[20.77235772 52.22764228] ; [14.22764228 35.77235772],0
b4,1,0.927815,0.008207,[45 29] ; [30 20],[44.75806452 29.24193548] ; [30.24193548 19.75806452],0
s2,1,0.944764,0.0048,[16 57] ; [11 38],[16.1557377 56.8442623] ; [10.8442623 38.1557377],0
s4,1,0.956353,0.002995,[ 9 64] ; [ 6 44],[ 8.90243902 64.09756098] ; [ 6.09756098 43.90243902],0
u2,1,0.96775,0.001635,[10 16] ; [11 18],[ 9.92727273 16.07272727] ; [11.07272727 17.92727273],0
p1,1,0.982697,0.00047,[ 6 68] ; [ 4 46],[ 5.96774194 68.03225806] ; [ 4.03225806 45.96774194],0
