Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,106.929725,[283 112] ; [ 61 155],[222.38952537 172.61047463] ; [121.61047463  94.38952537],1
p6,1,0.0,73.404157,[209 190] ; [ 36 178],[159.46982055 239.53017945] ; [ 85.53017945 128.46982055],1
p2,1,0.0,47.715962,[366  33] ; [153  64],[336.17045455  62.82954545] ; [182.82954545  34.17045455],1
p3,1,0.0,44.632962,[258 141] ; [ 79 137],[218.63902439 180.36097561] ; [118.36097561  97.63902439],1
p4,1,0.0,41.283458,[297 102] ; [105 111],[260.8097561 138.1902439] ; [141.1902439  74.8097561],1
r4,1,0.0,25.683564,[380  19] ; [180  37],[362.72727273  36.27272727] ; [197.27272727  19.72727273],1
v1,1,2e-06,22.651734,[254 139] ; [ 93 116],[226.52990033 166.47009967] ; [120.47009967  88.52990033],1
p10,1,1.4e-05,18.932483,[357  39] ; [166  49],[338.96563011  57.03436989] ; [184.03436989  30.96563011],1
s5,1,4.2e-05,16.779024,[162 225] ; [ 51 154],[139.24155405 247.75844595] ; [ 73.75844595 131.24155405],1
r3,1,4.5e-05,16.632562,[385  11] ; [192  23],[373.96399345  22.03600655] ; [203.03600655  11.96399345],1
r1,1,0.000237,13.509201,[336  59] ; [158  59],[318.83986928  76.16013072] ; [175.16013072  41.83986928],1
v2,1,0.000694,11.504193,[238 150] ; [ 97 110],[218.45378151 169.54621849] ; [116.54621849  90.45378151],1
p9,1,0.000871,11.083638,[358  37] ; [173  40],[344.97532895  50.02467105] ; [186.02467105  26.97532895],1
s7,1,0.000939,10.94371,[221 157] ; [ 91 115],[201.94520548 176.05479452] ; [110.05479452  95.94520548],1
p11,1,0.001699,9.849088,[342  57] ; [164  53],[327.75  71.25] ; [178.25  38.75],0
p5,1,0.001829,9.714095,[ 70 327] ; [ 18 197],[ 57.08496732 339.91503268] ; [ 30.91503268 184.08496732],0
s8,1,0.002144,9.421566,[208 188] ; [ 85 130],[189.898527 206.101473] ; [103.101473 111.898527],0
v3,1,0.002765,8.95666,[187 204] ; [ 73 135],[169.71619366 221.28380634] ; [ 90.28380634 117.71619366],0
r2,1,0.003219,8.678867,[381  14] ; [196  20],[373.01963993  21.98036007] ; [203.98036007  12.01963993],0
v4,1,0.003768,8.392248,[385  12] ; [199  18],[377.60260586  19.39739414] ; [206.39739414  10.60260586],0
s6,1,0.005914,7.57625,[285 101] ; [135  79],[270.2 115.8] ; [149.8  64.2],0
a8,1,0.007377,7.178737,[ 66 296] ; [ 19 177],[ 55.14336918 306.85663082] ; [ 29.85663082 166.14336918],0
s2,1,0.009296,6.765109,[224 172] ; [ 96 115],[208.76441516 187.23558484] ; [111.23558484  99.76441516],0
s1,1,0.00952,6.722483,[  7 387] ; [ 12 202],[ 12.3125 381.6875] ; [  6.6875 207.3125],0
b5,1,0.013496,6.102936,[224 175] ; [144  73],[238.36363636 160.63636364] ; [129.63636364  87.36363636],0
s3,1,0.013997,6.038531,[240 156] ; [106 105],[225.72652389 170.27347611] ; [120.27347611  90.72652389],0
b4,1,0.014731,5.94841,[215 184] ; [139  78],[229.29545455 169.70454545] ; [124.70454545  92.29545455],0
d5,1,0.027317,4.870649,[335  63] ; [167  50],[324.87154472  73.12845528] ; [177.12845528  39.87154472],0
d4,1,0.031494,4.625857,[334  64] ; [166  50],[324.10423453  73.89576547] ; [175.89576547  40.10423453],0
a3,1,0.040591,4.193004,[299  98] ; [146  70],[288.19738989 108.80261011] ; [156.80261011  59.19738989],0
n4,1,0.067499,3.342823,[365  33] ; [189  28],[358.52357724  39.47642276] ; [195.47642276  21.52357724],0
d3,1,0.123727,2.369499,[278 121] ; [138  79],[269.45454545 129.54545455] ; [146.54545455  70.45454545],0
a1,1,0.130374,2.288046,[ 24 375] ; [  7 210],[ 20.07954545 378.92045455] ; [ 10.92045455 206.07954545],0
a5,1,0.175402,1.83616,[310  89] ; [158  59],[303.13636364  95.86363636] ; [164.86363636  52.13636364],0
d1,1,0.201701,1.630013,[249 150] ; [124  93],[241.60227273 157.39772727] ; [131.39772727  85.60227273],0
n3,1,0.2538,1.302265,[50 16] ; [42 21],[47.06976744 18.93023256] ; [44.93023256 18.06976744],0
b2,1,0.265223,1.241285,[110 148] ; [47 81],[104.93782383 153.06217617] ; [52.06217617 75.93782383],0
b3,1,0.265223,1.241285,[110 148] ; [47 81],[104.93782383 153.06217617] ; [52.06217617 75.93782383],0
a2,1,0.302192,1.064494,[109 290] ; [ 51 166],[103.63636364 295.36363636] ; [ 56.36363636 160.63636364],0
n2,1,0.344446,0.893812,[54 12] ; [48 16],[51.78461538 14.21538462] ; [50.21538462 13.78461538],0
u1,1,0.524556,0.404926,[ 84 315] ; [ 41 176],[ 80.96590909 318.03409091] ; [ 44.03409091 172.96590909],0
d2,1,0.608121,0.26292,[203 196] ; [113 100],[206.01960784 192.98039216] ; [109.98039216 103.01960784],0
s4,1,0.669582,0.182092,[ 66 326] ; [ 33 180],[ 64.14545455 327.85454545] ; [ 34.85454545 178.14545455],0
a7,1,0.675342,0.175417,[281 117] ; [149  67],[278.72964169 119.27035831] ; [151.27035831  64.72964169],0
u4,1,0.745333,0.105495,[ 11 387] ; [  7 210],[ 11.64878049 386.35121951] ; [  6.35121951 210.64878049],0
a4,1,0.749982,0.101546,[190 207] ; [100 115],[188.12091503 208.87908497] ; [101.87908497 113.12091503],0
a6,1,0.887582,0.019984,[270 128] ; [146  71],[269.21626016 128.78373984] ; [146.78373984  70.21626016],0
p1,1,0.908059,0.013337,[ 41 357] ; [ 23 194],[ 41.41788618 356.58211382] ; [ 22.58211382 194.41788618],0
u2,1,0.927989,0.008168,[49 49] ; [35 36],[48.71005917 49.28994083] ; [35.28994083 35.71005917],0
u3,1,0.946344,0.004529,[53 47] ; [38 33],[53.21637427 46.78362573] ; [37.78362573 33.21637427],0
p12,1,0.951895,0.003639,[ 38 359] ; [ 21 195],[ 38.21044046 358.78955954] ; [ 20.78955954 195.21044046],0
b1,1,0.973325,0.001118,[155 244] ; [ 84 133],[154.80681818 244.19318182] ; [ 84.19318182 132.80681818],0
n1,1,0.984479,0.000378,[29 36] ; [28 35],[28.9453125 36.0546875] ; [28.0546875 34.9453125],0
