Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-05,19.433378,[44 75] ; [29  8],[55.68589744 63.31410256] ; [17.31410256 19.68589744],1
s2,1,0.00012,14.790382,[34 85] ; [24 14],[43.96178344 75.03821656] ; [14.03821656 23.96178344],1
s4,1,0.000392,12.571886,[  9 111] ; [11 26],[ 15.2866242 104.7133758] ; [ 4.7133758 32.2866242],1
s3,1,0.001546,10.022939,[46 72] ; [26 12],[54.46153846 63.53846154] ; [17.53846154 20.46153846],0
p12,1,0.002699,9.000773,[  2 118] ; [ 5 33],[  5.3164557 114.6835443] ; [ 1.6835443 36.3164557],0
s7,1,0.004197,8.196517,[33 79] ; [21 17],[40.32 71.68] ; [13.68 24.32],0
p7,1,0.004828,7.942648,[48 69] ; [25 12],[55.46103896 61.53896104] ; [17.53896104 19.46103896],0
s8,1,0.006399,7.434346,[29 91] ; [18 20],[35.69620253 84.30379747] ; [11.30379747 26.69620253],0
r4,1,0.012609,6.223127,[75 45] ; [32  6],[81.26582278 38.73417722] ; [25.73417722 12.26582278],0
p6,1,0.012831,6.19225,[21 95] ; [14 23],[26.53594771 89.46405229] ; [ 8.46405229 28.53594771],0
n6,1,0.019082,5.493956,[80 39] ; [33  5],[85.64968153 33.35031847] ; [27.35031847 10.64968153],0
d1,1,0.019458,5.459842,[38 82] ; [20 18],[44.05063291 75.94936709] ; [13.94936709 24.05063291],0
a2,1,0.028671,4.787275,[  6 114] ; [ 6 32],[  9.11392405 110.88607595] ; [ 2.88607595 35.11392405],0
d2,1,0.029349,4.747046,[45 74] ; [22 16],[50.78343949 68.21656051] ; [16.21656051 21.78343949],0
r2,1,0.034597,4.46498,[93 23] ; [36  2],[97.16883117 18.83116883] ; [31.83116883  6.16883117],0
v4,1,0.045002,4.018581,[95 22] ; [36  2],[98.88387097 18.11612903] ; [32.11612903  5.88387097],0
r1,1,0.050164,3.835985,[67 53] ; [28 10],[72.15189873 47.84810127] ; [22.84810127 15.15189873],0
d4,1,0.05177,3.783196,[70 49] ; [29  9],[75.03821656 43.96178344] ; [23.96178344 14.03821656],0
b5,1,0.060385,3.526785,[62 58] ; [13 25],[56.96202532 63.03797468] ; [18.03797468 19.96202532],0
d5,1,0.061165,3.505523,[68 52] ; [28 10],[72.91139241 47.08860759] ; [23.08860759 14.91139241],0
p10,1,0.063275,3.449403,[67 51] ; [28 10],[71.85897436 46.14102564] ; [23.14102564 14.85897436],0
b4,1,0.069992,3.283207,[62 58] ; [26 12],[66.83544304 53.16455696] ; [21.16455696 16.83544304],0
v1,1,0.079007,3.085206,[48 71] ; [21 16],[52.63461538 66.36538462] ; [16.36538462 20.63461538],0
r3,1,0.10528,2.623688,[93 27] ; [34  4],[96.4556962 23.5443038] ; [30.5443038  7.4556962],0
n4,1,0.107171,2.59545,[78 42] ; [30  8],[82.02531646 37.97468354] ; [25.97468354 12.02531646],0
p11,1,0.127727,2.319915,[79 41] ; [30  8],[82.78481013 37.21518987] ; [26.21518987 11.78481013],0
u1,1,0.129445,2.299152,[  3 117] ; [ 3 35],[  4.55696203 115.44303797] ; [ 1.44303797 36.55696203],0
p2,1,0.166819,1.911297,[73 46] ; [28 10],[76.55414013 42.44585987] ; [24.44585987 13.55414013],0
d3,1,0.203067,1.620176,[43 77] ; [18 20],[46.32911392 73.67088608] ; [14.67088608 23.32911392],0
n5,1,0.214918,1.537987,[85 34] ; [31  7],[87.92356688 31.07643312] ; [28.07643312  9.92356688],0
p1,1,0.233696,1.418221,[  4 116] ; [ 3 35],[  5.3164557 114.6835443] ; [ 1.6835443 36.3164557],0
a5,1,0.257447,1.282435,[60 60] ; [23 15],[63.03797468 56.96202532] ; [19.96202532 18.03797468],0
a4,1,0.26944,1.219597,[44 74] ; [18 20],[46.8974359 71.1025641] ; [15.1025641 22.8974359],0
p9,1,0.319861,0.989515,[76 41] ; [28 10],[78.50322581 38.49677419] ; [25.49677419 12.50322581],0
p8,1,0.333655,0.93466,[32 87] ; [13 24],[34.32692308 84.67307692] ; [10.67307692 26.32692308],0
p5,1,0.374008,0.790305,[  5 113] ; [ 3 35],[  6.05128205 111.94871795] ; [ 1.94871795 36.05128205],0
p4,1,0.424894,0.636739,[35 82] ; [14 24],[36.98709677 80.01290323] ; [12.01290323 25.98709677],0
n2,1,0.447789,0.576241,[35 15] ; [12  3],[36.15384615 13.84615385] ; [10.84615385  4.15384615],0
a1,1,0.502237,0.450206,[  6 114] ; [ 3 35],[  6.83544304 113.16455696] ; [ 2.16455696 35.83544304],0
v2,1,0.549592,0.358049,[43 71] ; [16 21],[44.54304636 69.45695364] ; [14.45695364 22.54304636],0
a3,1,0.595574,0.281724,[72 48] ; [24 13],[73.37579618 46.62420382] ; [22.62420382 14.37579618],0
u3,1,0.612092,0.25714,[17 31] ; [6 8],[17.80645161 30.19354839] ; [5.19354839 8.80645161],0
s1,1,0.654404,0.200393,[  5 113] ; [ 1 37],[  4.53846154 113.46153846] ; [ 1.46153846 36.53846154],0
u2,1,0.732327,0.116985,[21 27] ; [5 8],[20.45901639 27.54098361] ; [5.54098361 7.45901639],0
a8,1,0.734514,0.115007,[11 99] ; [ 3 34],[10.47619048 99.52380952] ; [ 3.52380952 33.47619048],0
n3,1,0.7937,0.068387,[29 19] ; [9 5],[29.41935484 18.58064516] ; [8.58064516 5.41935484],0
n1,1,0.819202,0.052245,[18 31] ; [6 9],[18.375 30.625] ; [5.625 9.375],0
a6,1,0.868889,0.027248,[46 74] ; [14 24],[45.56962025 74.43037975] ; [14.43037975 23.56962025],0
v3,1,0.878703,0.023291,[32 84] ; [10 28],[31.63636364 84.36363636] ; [10.36363636 27.63636364],0
b3,1,0.927704,0.008233,[29 45] ; [ 8 13],[28.82105263 45.17894737] ; [ 8.17894737 12.82105263],0
b2,1,0.927704,0.008233,[29 45] ; [ 8 13],[28.82105263 45.17894737] ; [ 8.17894737 12.82105263],0
b1,1,0.977326,0.000808,[54 66] ; [17 21],[53.92405063 66.07594937] ; [17.07594937 20.92405063],0
