Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.040651,4.1905,[3 1] ; [ 6 19],[1.24137931 2.75862069] ; [ 7.75862069 17.24137931],0
p2,1,0.054664,3.692308,[2 2] ; [23  3],[3.33333333 0.66666667] ; [21.66666667  4.33333333],0
s2,1,0.066328,3.371632,[1 3] ; [18  7],[2.62068966 1.37931034] ; [16.37931034  8.62068966],0
p4,1,0.087461,2.920501,[1 3] ; [18  8],[2.53333333 1.46666667] ; [16.46666667  9.53333333],0
s1,1,0.114344,2.493132,[1 3] ; [ 1 25],[0.26666667 3.73333333] ; [ 1.73333333 24.26666667],0
d2,1,0.169791,1.884789,[3 1] ; [10 16],[1.73333333 2.26666667] ; [11.26666667 14.73333333],0
r3,1,0.175575,1.834687,[2 2] ; [21  5],[3.06666667 0.93333333] ; [19.93333333  6.06666667],0
a6,1,0.222423,1.488668,[3 1] ; [11 15],[1.86666667 2.13333333] ; [12.13333333 13.86666667],0
v1,1,0.280087,1.166667,[3 1] ; [11 13],[2. 2.] ; [12. 12.],0
p8,1,0.282745,1.153846,[3 1] ; [12 14],[2. 2.] ; [13. 13.],0
a7,1,0.282745,1.153846,[3 1] ; [12 14],[2. 2.] ; [13. 13.],0
d3,1,0.282745,1.153846,[3 1] ; [12 14],[2. 2.] ; [13. 13.],0
b2,1,0.28497,1.143235,[2 2] ; [ 5 16],[1.12 2.88] ; [ 5.88 15.12],0
b3,1,0.28497,1.143235,[2 2] ; [ 5 16],[1.12 2.88] ; [ 5.88 15.12],0
b4,1,0.350807,0.870536,[3 1] ; [13 13],[2.13333333 1.86666667] ; [13.86666667 12.13333333],0
b1,1,0.426716,0.631744,[1 3] ; [12 14],[1.73333333 2.26666667] ; [11.26666667 14.73333333],0
a2,1,0.460928,0.543639,[1 3] ; [ 3 23],[0.53333333 3.46666667] ; [ 3.46666667 22.53333333],0
n1,1,0.514828,0.424242,[2 1] ; [5 6],[1.5 1.5] ; [5.5 5.5],0
a5,1,0.602984,0.270519,[3 1] ; [16 10],[2.53333333 1.46666667] ; [16.46666667  9.53333333],0
r2,1,0.635788,0.224293,[2 1] ; [12 11],[1.61538462 1.38461538] ; [12.38461538 10.61538462],0
a4,1,0.661003,0.192308,[2 2] ; [10 16],[1.6 2.4] ; [10.4 15.6],0
p3,1,0.661003,0.192308,[2 2] ; [10 16],[1.6 2.4] ; [10.4 15.6],0
a3,1,0.704111,0.144231,[3 1] ; [17  9],[2.66666667 1.33333333] ; [17.33333333  8.66666667],0
v3,1,0.704111,0.144231,[1 3] ; [ 9 17],[1.33333333 2.66666667] ; [ 8.66666667 17.33333333],0
n3,1,0.706879,0.141414,[2 1] ; [6 5],[1.71428571 1.28571429] ; [6.28571429 4.71428571],0
p7,1,0.724263,0.124444,[2 1] ; [14 11],[1.71428571 1.28571429] ; [14.28571429 10.71428571],0
s5,1,0.756158,0.096429,[1 2] ; [ 6 18],[0.77777778 2.22222222] ; [ 6.22222222 17.77777778],0
p6,1,0.765064,0.089304,[1 2] ; [11 15],[1.24137931 1.75862069] ; [10.75862069 15.24137931],0
b5,1,0.772561,0.083536,[2 2] ; [15 11],[2.26666667 1.73333333] ; [14.73333333 11.26666667],0
s6,1,0.778733,0.078944,[3 1] ; [17  8],[2.75862069 1.24137931] ; [17.24137931  7.75862069],0
p11,1,0.788281,0.072115,[3 1] ; [21  5],[3.2 0.8] ; [20.8  5.2],0
n5,1,0.818707,0.052536,[3 1] ; [20  5],[3.17241379 0.82758621] ; [19.82758621  5.17241379],0
d1,1,0.885862,0.020604,[2 2] ; [12 14],[1.86666667 2.13333333] ; [12.13333333 13.86666667],0
v2,1,0.885862,0.020604,[2 2] ; [14 12],[2.13333333 1.86666667] ; [13.86666667 12.13333333],0
n6,1,0.900807,0.015536,[3 1] ; [18  7],[2.89655172 1.10344828] ; [18.10344828  6.89655172],0
v4,1,1.0,0.0,[3 1] ; [18  6],[3. 1.] ; [18.  6.],0
