Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.005212,7.804508,[ 7 16] ; [7 1],[10.38709677 12.61290323] ; [3.61290323 4.38709677],0
s7,1,0.029279,4.751107,[ 6 17] ; [5 2],[ 8.43333333 14.56666667] ; [2.56666667 4.43333333],0
s6,1,0.030902,4.658385,[ 9 14] ; [6 1],[11.5 11.5] ; [3.5 3.5],0
r1,1,0.048969,3.876416,[ 8 15] ; [6 2],[10.38709677 12.61290323] ; [3.61290323 4.38709677],0
p5,1,0.056392,3.640426,[ 2 21] ; [3 5],[ 3.70967742 19.29032258] ; [1.29032258 6.70967742],0
b3,1,0.073691,3.198832,[ 5 11] ; [5 2],[6.95652174 9.04347826] ; [3.04347826 3.95652174],0
b2,1,0.073691,3.198832,[ 5 11] ; [5 2],[6.95652174 9.04347826] ; [3.04347826 3.95652174],0
s3,1,0.080346,3.05788,[ 9 14] ; [6 2],[11.12903226 11.87096774] ; [3.87096774 4.12903226],0
d1,1,0.108753,2.572249,[ 7 16] ; [5 3],[ 8.90322581 14.09677419] ; [3.09677419 4.90322581],0
d5,1,0.114709,2.488118,[13 10] ; [7 1],[14.83870968  8.16129032] ; [5.16129032 2.83870968],0
a3,1,0.114709,2.488118,[13 10] ; [7 1],[14.83870968  8.16129032] ; [5.16129032 2.83870968],0
b5,1,0.124362,2.361504,[13 10] ; [2 6],[11.12903226 11.87096774] ; [3.87096774 4.12903226],0
p8,1,0.126968,2.329193,[ 6 17] ; [4 3],[ 7.66666667 15.33333333] ; [2.33333333 4.66666667],0
p6,1,0.149443,2.077922,[ 5 17] ; [4 4],[ 6.6 15.4] ; [2.4 5.6],0
a5,1,0.165167,1.926268,[14  9] ; [7 1],[15.58064516  7.41935484] ; [5.41935484 2.58064516],0
p3,1,0.171166,1.872701,[ 8 15] ; [5 3],[ 9.64516129 13.35483871] ; [3.35483871 4.64516129],0
p2,1,0.207196,1.590909,[14  8] ; [7 1],[15.4  6.6] ; [5.6 2.4],0
s2,1,0.212662,1.553209,[ 6 17] ; [4 4],[ 7.41935484 15.58064516] ; [2.58064516 5.41935484],0
p11,1,0.231705,1.430363,[15  8] ; [7 1],[16.32258065  6.67741935] ; [5.67741935 2.32258065],0
n5,1,0.241315,1.372897,[19  4] ; [5 3],[17.80645161  5.19354839] ; [6.19354839 1.80645161],0
v2,1,0.252595,1.308892,[ 9 14] ; [5 3],[10.38709677 12.61290323] ; [3.61290323 4.38709677],0
b4,1,0.318005,0.997135,[16  7] ; [7 1],[17.06451613  5.93548387] ; [5.93548387 2.06451613],0
d4,1,0.318005,0.997135,[16  7] ; [7 1],[17.06451613  5.93548387] ; [5.93548387 2.06451613],0
v1,1,0.355363,0.854214,[10 13] ; [2 6],[ 8.90322581 14.09677419] ; [3.09677419 4.90322581],0
p12,1,0.356038,0.851819,[ 1 22] ; [1 6],[ 1.53333333 21.46666667] ; [0.46666667 6.53333333],0
n6,1,0.397559,0.715697,[16  6] ; [7 1],[16.86666667  5.13333333] ; [6.13333333 1.86666667],0
s4,1,0.428363,0.627258,[ 3 20] ; [2 6],[ 3.70967742 19.29032258] ; [1.29032258 6.70967742],0
a8,1,0.535724,0.383523,[ 5 17] ; [1 7],[ 4.4 17.6] ; [1.6 6.4],0
r2,1,0.54393,0.368304,[11 11] ; [5 3],[11.73333333 10.26666667] ; [4.26666667 3.73333333],0
v3,1,0.568855,0.324601,[ 5 18] ; [1 7],[ 4.4516129 18.5483871] ; [1.5483871 6.4516129],0
a6,1,0.591507,0.287997,[ 9 14] ; [4 4],[ 9.64516129 13.35483871] ; [3.35483871 4.64516129],0
b1,1,0.613195,0.255549,[12 11] ; [5 3],[12.61290323 10.38709677] ; [4.38709677 3.61290323],0
n1,1,0.67329,0.177778,[4 2] ; [1 1],[3.75 2.25] ; [1.25 0.75],0
r3,1,0.711923,0.136364,[18  4] ; [7 1],[18.33333333  3.66666667] ; [6.66666667 1.33333333],0
s8,1,0.71271,0.135585,[ 7 16] ; [3 5],[ 7.41935484 15.58064516] ; [2.58064516 5.41935484],0
r4,1,0.71271,0.135585,[ 7 16] ; [3 5],[ 7.41935484 15.58064516] ; [2.58064516 5.41935484],0
p4,1,0.749518,0.101936,[10 13] ; [4 4],[10.38709677 12.61290323] ; [3.61290323 4.38709677],0
n4,1,0.770515,0.08509,[16  7] ; [6 2],[16.32258065  6.67741935] ; [5.67741935 2.32258065],0
d3,1,0.915598,0.011232,[11 12] ; [4 4],[11.12903226 11.87096774] ; [3.87096774 4.12903226],0
p7,1,0.915598,0.011232,[12 11] ; [4 4],[11.87096774 11.12903226] ; [4.12903226 3.87096774],0
a7,1,0.915598,0.011232,[11 12] ; [4 4],[11.12903226 11.87096774] ; [3.87096774 4.12903226],0
a4,1,0.951742,0.003663,[ 6 17] ; [2 6],[ 5.93548387 17.06451613] ; [2.06451613 5.93548387],0
p1,1,0.968494,0.00156,[ 3 20] ; [1 7],[ 2.96774194 20.03225806] ; [1.03225806 6.96774194],0
p9,1,0.968494,0.00156,[20  3] ; [7 1],[20.03225806  2.96774194] ; [6.96774194 1.03225806],0
