Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.001262,10.397517,[ 2 24] ; [12 13],[ 7.1372549 18.8627451] ; [ 6.8627451 18.1372549],0
p4,1,0.002128,9.436137,[ 2 24] ; [11 13],[ 6.76 19.24] ; [ 6.24 17.76],0
p8,1,0.003711,8.419958,[ 2 23] ; [11 14],[ 6.5 18.5] ; [ 6.5 18.5],0
v4,1,0.006812,7.321765,[10 16] ; [19  6],[14.78431373 11.21568627] ; [14.21568627 10.78431373],0
p11,1,0.009408,6.743603,[ 3 23] ; [11 14],[ 7.1372549 18.8627451] ; [ 6.8627451 18.1372549],0
s2,1,0.036541,4.371683,[ 1 25] ; [ 6 19],[ 3.56862745 22.43137255] ; [ 3.43137255 21.56862745],0
p10,1,0.044884,4.022989,[ 7 18] ; [14 11],[10.5 14.5] ; [10.5 14.5],0
v2,1,0.055771,3.658894,[ 2 23] ; [ 7 17],[ 4.59183673 20.40816327] ; [ 4.40816327 19.59183673],0
r1,1,0.062621,3.466573,[ 6 20] ; [12 13],[ 9.17647059 16.82352941] ; [ 8.82352941 16.17647059],0
p3,1,0.074889,3.172477,[ 4 22] ; [ 9 15],[ 6.76 19.24] ; [ 6.24 17.76],0
b3,1,0.09223,2.83502,[9 7] ; [ 5 13],[6.58823529 9.41176471] ; [ 7.41176471 10.58823529],0
b2,1,0.09223,2.83502,[9 7] ; [ 5 13],[6.58823529 9.41176471] ; [ 7.41176471 10.58823529],0
d4,1,0.120775,2.407244,[11 15] ; [16  9],[13.76470588 12.23529412] ; [13.23529412 11.76470588],0
b5,1,0.123546,2.37178,[ 8 18] ; [13 12],[10.70588235 15.29411765] ; [10.29411765 14.70588235],0
n4,1,0.165602,1.922308,[15 11] ; [19  6],[17.33333333  8.66666667] ; [16.66666667  8.33333333],0
a1,1,0.17964,1.800597,[ 7 19] ; [ 3 22],[ 5.09803922 20.90196078] ; [ 4.90196078 20.09803922],0
a7,1,0.180091,1.796872,[12 14] ; [ 7 18],[ 9.68627451 16.31372549] ; [ 9.31372549 15.68627451],0
a4,1,0.23386,1.417227,[11 15] ; [ 6 17],[ 9.02040816 16.97959184] ; [ 7.97959184 15.02040816],0
s5,1,0.243214,1.361868,[ 3 23] ; [ 6 19],[ 4.58823529 21.41176471] ; [ 4.41176471 20.58823529],0
p6,1,0.259793,1.269858,[ 1 25] ; [ 3 21],[ 2.08 23.92] ; [ 1.92 22.08],0
p2,1,0.272911,1.202059,[ 8 18] ; [11 13],[ 9.88 16.12] ; [ 9.12 14.88],0
b4,1,0.300691,1.071127,[14 12] ; [17  8],[15.80392157 10.19607843] ; [15.19607843  9.80392157],0
d1,1,0.311281,1.025231,[ 6 20] ; [ 9 16],[ 7.64705882 18.35294118] ; [ 7.35294118 17.64705882],0
a2,1,0.316814,1.002054,[ 3 23] ; [ 1 24],[ 2.03921569 23.96078431] ; [ 1.96078431 23.03921569],0
d5,1,0.322009,0.980769,[12 14] ; [15 10],[13.76470588 12.23529412] ; [13.23529412 11.76470588],0
p9,1,0.322199,0.98,[ 9 16] ; [12 12],[10.71428571 14.28571429] ; [10.28571429 13.71428571],0
a5,1,0.32816,0.956144,[11 15] ; [14 11],[12.74509804 13.25490196] ; [12.25490196 12.74509804],0
d3,1,0.328591,0.954443,[ 8 18] ; [11 14],[ 9.68627451 16.31372549] ; [ 9.31372549 15.68627451],0
s3,1,0.331265,0.943946,[ 6 19] ; [ 3 20],[ 4.6875 20.3125] ; [ 4.3125 18.6875],0
b1,1,0.331595,0.942659,[17  9] ; [13 12],[15.29411765 10.70588235] ; [14.70588235 10.29411765],0
p7,1,0.365356,0.819398,[ 6 20] ; [ 8 15],[ 7.42857143 18.57142857] ; [ 6.57142857 16.42857143],0
v3,1,0.395766,0.721154,[ 4 22] ; [ 6 18],[ 5.2 20.8] ; [ 4.8 19.2],0
n5,1,0.405563,0.691769,[17  9] ; [19  6],[18.35294118  7.64705882] ; [17.64705882  7.35294118],0
a3,1,0.481728,0.494949,[15 10] ; [12 12],[13.7755102 11.2244898] ; [13.2244898 10.7755102],0
s1,1,0.57533,0.313846,[ 2 24] ; [ 1 24],[ 1.52941176 24.47058824] ; [ 1.47058824 23.52941176],0
n3,1,0.580013,0.306213,[5 8] ; [5 5],[5.65217391 7.34782609] ; [4.34782609 5.65217391],0
r2,1,0.610118,0.260003,[16  9] ; [17  7],[16.83673469  8.16326531] ; [16.16326531  7.83673469],0
s4,1,0.643464,0.214241,[ 3 23] ; [ 4 21],[ 3.56862745 22.43137255] ; [ 3.43137255 21.56862745],0
v1,1,0.690791,0.158231,[ 7 19] ; [ 8 17],[ 7.64705882 18.35294118] ; [ 7.35294118 17.64705882],0
p1,1,0.725486,0.123297,[ 4 22] ; [ 3 22],[ 3.56862745 22.43137255] ; [ 3.43137255 21.56862745],0
d2,1,0.728826,0.120192,[11 15] ; [ 9 15],[10.4 15.6] ; [ 9.6 14.4],0
u2,1,0.772059,0.083916,[4 7] ; [4 9],[3.66666667 7.33333333] ; [4.33333333 8.66666667],0
u3,1,0.851054,0.035259,[3 8] ; [4 9],[3.20833333 7.79166667] ; [3.79166667 9.20833333],0
a6,1,0.90291,0.014881,[11 15] ; [11 14],[11.21568627 14.78431373] ; [10.78431373 14.21568627],0
n1,1,0.972671,0.001174,[6 7] ; [5 6],[5.95833333 7.04166667] ; [5.04166667 5.95833333],0
n2,1,0.972671,0.001174,[6 7] ; [5 6],[5.95833333 7.04166667] ; [5.04166667 5.95833333],0
p5,1,0.976486,0.000869,[ 1 24] ; [ 1 23],[ 1.02040816 23.97959184] ; [ 0.97959184 23.02040816],0
