Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.2e-05,19.217898,[ 9 24] ; [38 12],[18.68674699 14.31325301] ; [28.31325301 21.68674699],1
p6,1,0.004646,8.012407,[ 4 28] ; [21 29],[ 9.75609756 22.24390244] ; [15.24390244 34.75609756],0
s7,1,0.007341,7.187532,[ 7 24] ; [24 21],[12.64473684 18.35526316] ; [18.35526316 26.64473684],0
p10,1,0.010128,6.612245,[16 16] ; [38 11],[21.33333333 10.66666667] ; [32.66666667 16.33333333],0
a5,1,0.013349,6.122225,[10 23] ; [29 21],[15.5060241 17.4939759] ; [23.4939759 26.5060241],0
s2,1,0.051526,3.791103,[ 9 24] ; [23 24],[13.2 19.8] ; [18.8 28.2],0
s8,1,0.070183,3.278741,[ 6 27] ; [18 31],[ 9.65853659 23.34146341] ; [14.34146341 34.65853659],0
n2,1,0.072285,3.230359,[8 8] ; [15  4],[10.51428571  5.48571429] ; [12.48571429  6.51428571],0
p9,1,0.109791,2.557227,[21 12] ; [39 10],[24.14634146  8.85365854] ; [35.85365854 13.14634146],0
a3,1,0.150018,2.072069,[14 18] ; [30 20],[17.17073171 14.82926829] ; [26.82926829 23.17073171],0
u1,1,0.150111,2.071123,[ 1 32] ; [ 6 44],[ 2.78313253 30.21686747] ; [ 4.21686747 45.78313253],0
n6,1,0.150526,2.066917,[20 13] ; [37 12],[22.93902439 10.06097561] ; [34.06097561 14.93902439],0
a7,1,0.162864,1.947431,[20 13] ; [22 27],[16.90243902 16.09756098] ; [25.09756098 23.90243902],0
v3,1,0.16576,1.920879,[ 4 29] ; [12 37],[ 6.43902439 26.56097561] ; [ 9.56097561 39.43902439],0
p11,1,0.197901,1.657794,[20 13] ; [37 13],[22.6626506 10.3373494] ; [34.3373494 15.6626506],0
v4,1,0.210609,1.567235,[27  5] ; [34 13],[24.70886076  7.29113924] ; [36.29113924 10.70886076],0
s4,1,0.222163,1.490346,[ 5 28] ; [13 36],[ 7.24390244 25.75609756] ; [10.75609756 38.24390244],0
p5,1,0.254914,1.296172,[ 2 31] ; [ 7 43],[ 3.57831325 29.42168675] ; [ 5.42168675 44.57831325],0
d2,1,0.258087,1.278991,[ 7 26] ; [16 33],[ 9.25609756 23.74390244] ; [13.74390244 35.25609756],0
d4,1,0.281399,1.16032,[24  9] ; [30 19],[21.73170732 11.26829268] ; [32.26829268 16.73170732],0
s6,1,0.298982,1.078728,[14 19] ; [26 22],[16.2962963 16.7037037] ; [23.7037037 24.2962963],0
p4,1,0.301923,1.065682,[14 19] ; [27 23],[16.30120482 16.69879518] ; [24.69879518 25.30120482],0
a4,1,0.342984,0.899245,[ 8 25] ; [17 33],[ 9.93975904 23.06024096] ; [15.06024096 34.93975904],0
p1,1,0.351711,0.867276,[ 1 32] ; [ 4 46],[ 1.98795181 31.01204819] ; [ 3.01204819 46.98795181],0
a2,1,0.369548,0.805184,[ 2 31] ; [ 6 44],[ 3.18072289 29.81927711] ; [ 4.81927711 45.18072289],0
v2,1,0.404681,0.694372,[11 20] ; [22 27],[12.7875 18.2125] ; [20.2125 28.7875],0
u3,1,0.430869,0.620481,[ 8 11] ; [ 6 14],[ 6.82051282 12.17948718] ; [ 7.17948718 12.82051282],0
a6,1,0.498545,0.458033,[14 19] ; [25 25],[15.5060241 17.4939759] ; [23.4939759 26.5060241],0
d3,1,0.499599,0.455788,[20 13] ; [26 23],[18.51219512 14.48780488] ; [27.48780488 21.51219512],0
n3,1,0.507903,0.438386,[11  5] ; [11  8],[10.05714286  5.94285714] ; [11.94285714  7.05714286],0
p7,1,0.528926,0.396455,[15 17] ; [27 23],[16.3902439 15.6097561] ; [25.6097561 24.3902439],0
a1,1,0.536424,0.382208,[ 1 32] ; [ 3 47],[ 1.59036145 31.40963855] ; [ 2.40963855 47.59036145],0
d5,1,0.5562,0.346327,[19 14] ; [32 18],[20.27710843 12.72289157] ; [30.72289157 19.27710843],0
s5,1,0.567413,0.32703,[ 8 24] ; [ 9 37],[ 6.97435897 25.02564103] ; [10.02564103 35.97435897],0
p8,1,0.608359,0.262571,[11 21] ; [20 30],[12.09756098 19.90243902] ; [18.90243902 31.09756098],0
n1,1,0.667779,0.184211,[ 4 12] ; [ 6 13],[ 4.57142857 11.42857143] ; [ 5.42857143 13.57142857],0
b4,1,0.677506,0.172947,[20 13] ; [28 22],[19.08433735 13.91566265] ; [28.91566265 21.08433735],0
v1,1,0.683282,0.166455,[14 18] ; [18 28],[13.12820513 18.87179487] ; [18.87179487 27.12820513],0
r2,1,0.747379,0.103747,[18 13] ; [25 21],[17.31168831 13.68831169] ; [25.68831169 20.31168831],0
s1,1,0.76451,0.089738,[ 1 32] ; [ 1 49],[ 0.79518072 32.20481928] ; [ 1.20481928 48.79518072],0
p12,1,0.803615,0.061838,[ 1 32] ; [ 2 47],[ 1.20731707 31.79268293] ; [ 1.79268293 47.20731707],0
a8,1,0.809894,0.05787,[ 1 29] ; [ 2 43],[ 1.2 28.8] ; [ 1.8 43.2],0
b1,1,0.824326,0.049277,[17 16] ; [27 23],[17.4939759 15.5060241] ; [26.5060241 23.4939759],0
b5,1,0.82603,0.04831,[19 14] ; [30 20],[19.48192771 13.51807229] ; [29.51807229 20.48192771],0
r1,1,0.865796,0.028561,[10 23] ; [14 35],[ 9.65853659 23.34146341] ; [14.34146341 34.65853659],0
b2,1,0.865811,0.028555,[ 4 12] ; [ 9 24],[ 4.24489796 11.75510204] ; [ 8.75510204 24.24489796],0
b3,1,0.865811,0.028555,[ 4 12] ; [ 9 24],[ 4.24489796 11.75510204] ; [ 8.75510204 24.24489796],0
p3,1,0.880112,0.022749,[12 21] ; [19 31],[12.3253012 20.6746988] ; [18.6746988 31.3253012],0
r3,1,0.946104,0.00457,[22 11] ; [31 15],[22.13924051 10.86075949] ; [30.86075949 15.13924051],0
d1,1,0.949872,0.003952,[11 22] ; [17 33],[11.13253012 21.86746988] ; [16.86746988 33.13253012],0
s3,1,0.966699,0.001743,[14 17] ; [21 26],[13.91025641 17.08974359] ; [21.08974359 25.91025641],0
u2,1,1.0,0.0,[10  9] ; [10  9],[10.  9.] ; [10.  9.],0
