Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,7.6e-05,15.644444,[ 7 23] ; [26 10],[15. 15.] ; [18. 18.],1
v3,1,0.003236,8.669491,[ 5 25] ; [19 18],[10.74626866 19.25373134] ; [13.25373134 23.74626866],0
b4,1,0.016178,5.783399,[ 9 21] ; [22 15],[13.88059701 16.11940299] ; [17.11940299 19.88059701],0
s8,1,0.03726,4.33849,[ 9 20] ; [21 16],[13.18181818 15.81818182] ; [16.81818182 20.18181818],0
n5,1,0.056775,3.629182,[17 13] ; [29  8],[20.59701493  9.40298507] ; [25.40298507 11.59701493],0
n4,1,0.056952,3.624004,[18 12] ; [30  7],[21.49253731  8.50746269] ; [26.50746269 10.49253731],0
n6,1,0.098833,2.72427,[21  9] ; [32  5],[23.73134328  6.26865672] ; [29.26865672  7.73134328],0
n2,1,0.103522,2.650421,[11  1] ; [7 4],[9.39130435 2.60869565] ; [8.60869565 2.39130435],0
a3,1,0.115669,2.475,[17 13] ; [27  9],[20. 10.] ; [24. 12.],0
p10,1,0.117623,2.448696,[18 12] ; [28  8],[20.90909091  9.09090909] ; [25.09090909 10.90909091],0
d3,1,0.122102,2.390145,[12 16] ; [23 14],[15.07692308 12.92307692] ; [19.92307692 17.07692308],0
a5,1,0.144895,2.125188,[15 15] ; [25 12],[17.91044776 12.08955224] ; [22.08955224 14.91044776],0
d1,1,0.155786,2.014662,[11 19] ; [20 17],[13.88059701 16.11940299] ; [17.11940299 19.88059701],0
v4,1,0.209986,1.571525,[27  3] ; [36  1],[28.20895522  1.79104478] ; [34.79104478  2.20895522],0
n3,1,0.221433,1.495062,[7 5] ; [9 2],[8.34782609 3.65217391] ; [7.65217391 3.34782609],0
d5,1,0.232557,1.425155,[18 11] ; [28  9],[20.21212121  8.78787879] ; [25.78787879 11.21212121],0
u2,1,0.252781,1.30787,[6 7] ; [7 3],[7.34782609 5.65217391] ; [5.65217391 4.34782609],0
u3,1,0.252781,1.30787,[6 7] ; [7 3],[7.34782609 5.65217391] ; [5.65217391 4.34782609],0
s4,1,0.259177,1.273147,[ 5 24] ; [ 3 34],[ 3.51515152 25.48484848] ; [ 4.48484848 32.51515152],0
s6,1,0.264377,1.24569,[14 14] ; [23 13],[16.1875 11.8125] ; [20.8125 15.1875],0
a6,1,0.294266,1.1,[18 12] ; [26 10],[20. 10.] ; [24. 12.],0
a7,1,0.302871,1.061509,[16 13] ; [25 12],[18.01515152 10.98484848] ; [22.98484848 14.01515152],0
u1,1,0.308315,1.037881,[ 3 27] ; [ 7 30],[ 4.47761194 25.52238806] ; [ 5.52238806 31.47761194],0
s2,1,0.365142,0.82013,[15 15] ; [22 14],[16.81818182 13.18181818] ; [20.18181818 15.81818182],0
p8,1,0.365142,0.82013,[15 15] ; [14 22],[13.18181818 16.81818182] ; [15.81818182 20.18181818],0
d2,1,0.407822,0.685141,[10 20] ; [16 21],[11.64179104 18.35820896] ; [14.35820896 22.64179104],0
a1,1,0.412068,0.672826,[ 1 29] ; [ 3 34],[ 1.79104478 28.20895522] ; [ 2.20895522 34.79104478],0
s1,1,0.431448,0.618923,[ 2 27] ; [ 1 35],[ 1.33846154 27.66153846] ; [ 1.66153846 34.33846154],0
b1,1,0.44381,0.586413,[11 19] ; [17 20],[12.53731343 17.46268657] ; [15.46268657 21.53731343],0
d4,1,0.449331,0.57234,[22  8] ; [30  7],[23.28358209  6.71641791] ; [28.71641791  8.28358209],0
p9,1,0.485711,0.486013,[22  8] ; [29  7],[23.18181818  6.81818182] ; [27.81818182  8.18181818],0
b2,1,0.51583,0.422222,[10  8] ; [ 9 11],[9. 9.] ; [10. 10.],0
b3,1,0.51583,0.422222,[10  8] ; [ 9 11],[9. 9.] ; [10. 10.],0
s7,1,0.564699,0.331633,[15 15] ; [20 15],[16.15384615 13.84615385] ; [18.84615385 16.15384615],0
p3,1,0.656266,0.198092,[ 9 21] ; [13 24],[ 9.85074627 20.14925373] ; [12.14925373 24.85074627],0
r2,1,0.683416,0.166305,[29  1] ; [35  2],[28.65671642  1.34328358] ; [35.34328358  1.65671642],0
p11,1,0.702172,0.146222,[20 10] ; [23 14],[19.25373134 10.74626866] ; [23.74626866 13.25373134],0
p1,1,0.751518,0.10026,[ 4 26] ; [ 4 33],[ 3.58208955 26.41791045] ; [ 4.41791045 32.58208955],0
a8,1,0.76824,0.086835,[ 4 24] ; [ 4 30],[ 3.61290323 24.38709677] ; [ 4.38709677 29.61290323],0
