Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.007989,7.035897,[11  4] ; [ 3 10],[7.5 7.5] ; [6.5 6.5],0
s6,1,0.022066,5.240606,[ 2 13] ; [7 6],[ 4.82142857 10.17857143] ; [4.17857143 8.82142857],0
n5,1,0.036613,4.368319,[7 8] ; [11  2],[9.64285714 5.35714286] ; [8.35714286 4.64285714],0
n4,1,0.058137,3.589744,[ 5 10] ; [9 4],[7.5 7.5] ; [6.5 6.5],0
a4,1,0.077121,3.124546,[7 8] ; [ 2 11],[ 4.82142857 10.17857143] ; [4.17857143 8.82142857],0
p11,1,0.141929,2.156918,[ 4 11] ; [7 6],[5.89285714 9.10714286] ; [5.10714286 7.89285714],0
a3,1,0.17964,1.800598,[9 5] ; [5 8],[7.25925926 6.74074074] ; [6.74074074 6.25925926],0
p1,1,0.215869,1.531624,[ 1 14] ; [ 3 10],[ 2.14285714 12.85714286] ; [ 1.85714286 11.14285714],0
b5,1,0.228871,1.447863,[7 8] ; [9 4],[8.57142857 6.42857143] ; [7.42857143 5.57142857],0
a5,1,0.255623,1.292308,[9 6] ; [5 8],[7.5 7.5] ; [6.5 6.5],0
s2,1,0.262125,1.257498,[ 2 13] ; [4 9],[ 3.21428571 11.78571429] ; [ 2.78571429 10.21428571],0
r1,1,0.274006,1.196581,[ 5 10] ; [ 2 11],[ 3.75 11.25] ; [3.25 9.75],0
b1,1,0.28315,1.151909,[11  4] ; [7 6],[9.64285714 5.35714286] ; [8.35714286 4.64285714],0
u3,1,0.393153,0.729167,[1 5] ; [3 5],[1.71428571 4.28571429] ; [2.28571429 5.71428571],0
v2,1,0.395416,0.722222,[5 8] ; [ 3 10],[4. 9.] ; [4. 9.],0
d5,1,0.431316,0.619277,[8 7] ; [5 8],[6.96428571 8.03571429] ; [6.03571429 6.96428571],0
d1,1,0.468084,0.526496,[ 4 11] ; [ 2 11],[ 3.21428571 11.78571429] ; [ 2.78571429 10.21428571],0
s7,1,0.490279,0.475913,[ 1 12] ; [ 2 10],[ 1.56 11.44] ; [ 1.44 10.56],0
r4,1,0.50198,0.450747,[ 2 13] ; [ 3 10],[ 2.67857143 12.32142857] ; [ 2.32142857 10.67857143],0
v3,1,0.50198,0.450747,[ 2 13] ; [ 3 10],[ 2.67857143 12.32142857] ; [ 2.32142857 10.67857143],0
p4,1,0.511612,0.430769,[ 3 12] ; [4 9],[ 3.75 11.25] ; [3.25 9.75],0
p7,1,0.549076,0.358974,[ 5 10] ; [ 3 10],[ 4.28571429 10.71428571] ; [3.71428571 9.28571429],0
p3,1,0.556812,0.345255,[ 2 12] ; [ 3 10],[ 2.59259259 11.40740741] ; [ 2.40740741 10.59259259],0
p8,1,0.556812,0.345255,[ 2 12] ; [ 3 10],[ 2.59259259 11.40740741] ; [ 2.40740741 10.59259259],0
a1,1,0.630297,0.231658,[ 2 13] ; [ 1 12],[ 1.60714286 13.39285714] ; [ 1.39285714 11.60714286],0
a6,1,0.66171,0.191453,[7 8] ; [5 8],[6.42857143 8.57142857] ; [5.57142857 7.42857143],0
p9,1,0.755794,0.096726,[5 9] ; [5 7],[5.38461538 8.61538462] ; [4.61538462 7.38461538],0
d4,1,0.777607,0.079772,[10  5] ; [8 5],[9.64285714 5.35714286] ; [8.35714286 4.64285714],0
s3,1,0.785351,0.074176,[5 9] ; [4 9],[4.66666667 9.33333333] ; [4.33333333 8.66666667],0
a8,1,0.824653,0.049091,[ 3 12] ; [ 2 10],[ 2.77777778 12.22222222] ; [2.22222222 9.77777778],0
v1,1,0.826824,0.047863,[ 4 11] ; [ 3 10],[ 3.75 11.25] ; [3.25 9.75],0
b3,1,0.875975,0.024359,[3 7] ; [3 6],[3.15789474 6.84210526] ; [2.84210526 6.15789474],0
b2,1,0.875975,0.024359,[3 7] ; [3 6],[3.15789474 6.84210526] ; [2.84210526 6.15789474],0
s1,1,0.877059,0.023932,[ 2 13] ; [ 2 11],[ 2.14285714 12.85714286] ; [ 1.85714286 11.14285714],0
p10,1,0.882577,0.021816,[5 9] ; [5 8],[5.18518519 8.81481481] ; [4.81481481 8.18518519],0
d3,1,0.884799,0.020993,[ 5 10] ; [4 9],[ 4.82142857 10.17857143] ; [4.17857143 8.82142857],0
d2,1,0.884799,0.020993,[ 5 10] ; [4 9],[ 4.82142857 10.17857143] ; [4.17857143 8.82142857],0
v4,1,0.933748,0.006911,[6 9] ; [5 8],[5.89285714 9.10714286] ; [5.10714286 7.89285714],0
b4,1,0.933748,0.006911,[9 6] ; [8 5],[9.10714286 5.89285714] ; [7.89285714 5.10714286],0
r3,1,0.978351,0.000736,[8 7] ; [7 6],[8.03571429 6.96428571] ; [6.96428571 6.03571429],0
n2,1,1.0,0.0,[3 3] ; [2 2],[3. 3.] ; [2. 2.],0
n1,1,1.0,0.0,[3 3] ; [2 2],[3. 3.] ; [2. 2.],0
u2,1,1.0,0.0,[3 3] ; [4 4],[3. 3.] ; [4. 4.],0
n3,1,1.0,0.0,[3 3] ; [2 2],[3. 3.] ; [2. 2.],0
