Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,7e-06,20.14167,[25 34] ; [40  7],[36.17924528 22.82075472] ; [28.82075472 18.17924528],1
a5,1,0.002791,8.939508,[28 33] ; [37 13],[35.72072072 25.27927928] ; [29.27927928 20.72072072],0
v1,1,0.002813,8.925136,[22 37] ; [33 17],[29.7706422 29.2293578] ; [25.2293578 24.7706422],0
r1,1,0.004969,7.890697,[41 20] ; [44  5],[47.13636364 13.86363636] ; [37.86363636 11.13636364],0
s2,1,0.011301,6.417377,[35 26] ; [40 10],[41.21621622 19.78378378] ; [33.78378378 16.21621622],0
a3,1,0.011944,6.319202,[29 31] ; [36 14],[35.45454545 24.54545455] ; [29.54545455 20.45454545],0
u1,1,0.025466,4.991901,[ 1 60] ; [ 6 44],[ 3.84684685 57.15315315] ; [ 3.15315315 46.84684685],0
s3,1,0.032914,4.550221,[32 27] ; [37 13],[37.34862385 21.65137615] ; [31.65137615 18.34862385],0
v3,1,0.033663,4.511724,[17 43] ; [24 26],[22.36363636 37.63636364] ; [18.63636364 31.36363636],0
r4,1,0.036424,4.377139,[51 10] ; [48  2],[54.40540541  6.59459459] ; [44.59459459  5.40540541],0
b4,1,0.043352,4.081609,[42 19] ; [25 25],[36.81981982 24.18018018] ; [30.18018018 19.81981982],0
v2,1,0.047243,3.936698,[27 34] ; [31 18],[32.16363636 28.83636364] ; [25.83636364 23.16363636],0
b2,1,0.064298,3.422909,[ 8 24] ; [13 14],[11.38983051 20.61016949] ; [ 9.61016949 17.38983051],0
b3,1,0.064298,3.422909,[ 8 24] ; [13 14],[11.38983051 20.61016949] ; [ 9.61016949 17.38983051],0
u2,1,0.066907,3.357316,[13 18] ; [10  4],[15.84444444 15.15555556] ; [7.15555556 6.84444444],0
p7,1,0.073114,3.211697,[36 22] ; [39 11],[40.27777778 17.72222222] ; [34.72222222 15.27777778],0
p10,1,0.077231,3.122223,[43 15] ; [43  6],[46.61682243 11.38317757] ; [39.38317757  9.61682243],0
s6,1,0.100371,2.69964,[47 11] ; [46  4],[49.94444444  8.05555556] ; [43.05555556  6.94444444],0
p12,1,0.117942,2.444444,[ 4 56] ; [ 8 42],[ 6.54545455 53.45454545] ; [ 5.45454545 44.54545455],0
n2,1,0.118648,2.435079,[14  1] ; [10  4],[12.4137931  2.5862069] ; [11.5862069  2.4137931],0
n4,1,0.147374,2.099225,[41 20] ; [39 10],[44.36363636 16.63636364] ; [35.63636364 13.36363636],0
n5,1,0.170037,1.882619,[39 20] ; [39 11],[42.22018349 16.77981651] ; [35.77981651 14.22018349],0
u3,1,0.177339,1.81978,[16 16] ; [10  4],[18.08695652 13.91304348] ; [7.91304348 6.08695652],0
p6,1,0.189874,1.718597,[21 38] ; [24 26],[24.35779817 34.64220183] ; [20.64220183 29.35779817],0
a6,1,0.190608,1.712912,[29 32] ; [30 20],[32.42342342 28.57657658] ; [26.57657658 23.42342342],0
p9,1,0.19095,1.71027,[47 11] ; [45  5],[49.40740741  8.59259259] ; [42.59259259  7.40740741],0
a8,1,0.203352,1.618132,[ 8 50] ; [11 36],[10.4952381 47.5047619] ; [ 8.5047619 38.4952381],0
s4,1,0.23058,1.437282,[18 42] ; [10 40],[15.27272727 44.72727273] ; [12.72727273 37.27272727],0
d5,1,0.271443,1.20944,[34 27] ; [33 17],[36.81981982 24.18018018] ; [30.18018018 19.81981982],0
b1,1,0.288845,1.124999,[22 39] ; [23 27],[24.72972973 36.27027027] ; [20.27027027 29.72972973],0
d3,1,0.353484,0.860909,[26 35] ; [17 33],[23.63063063 37.36936937] ; [19.36936937 30.63063063],0
r3,1,0.353891,0.859454,[55  5] ; [48  2],[56.18181818  3.81818182] ; [46.81818182  3.18181818],0
a1,1,0.365457,0.819052,[ 5 56] ; [ 2 48],[ 3.84684685 57.15315315] ; [ 3.15315315 46.84684685],0
a4,1,0.400296,0.707438,[14 47] ; [15 35],[15.93693694 45.06306306] ; [13.06306306 36.93693694],0
p3,1,0.402148,0.701894,[30 30] ; [21 29],[27.81818182 32.18181818] ; [23.18181818 26.81818182],0
n3,1,0.517613,0.418647,[9 6] ; [10  4],[9.82758621 5.17241379] ; [9.17241379 4.82758621],0
p1,1,0.53865,0.378048,[ 6 53] ; [ 7 43],[ 7.03669725 51.96330275] ; [ 5.96330275 44.03669725],0
d4,1,0.589486,0.291148,[42 19] ; [32 18],[40.66666667 20.33333333] ; [33.33333333 16.66666667],0
d2,1,0.622797,0.241956,[10 51] ; [10 40],[10.99099099 50.00900901] ; [ 9.00900901 40.99099099],0
p8,1,0.64997,0.205938,[31 29] ; [28 22],[32.18181818 27.81818182] ; [26.81818182 23.18181818],0
n1,1,0.698791,0.149733,[5 9] ; [6 8],[5.5 8.5] ; [5.5 8.5],0
p11,1,0.709491,0.138786,[47 14] ; [37 13],[46.16216216 14.83783784] ; [37.83783784 12.16216216],0
a7,1,0.717754,0.130655,[37 24] ; [32 18],[37.91891892 23.08108108] ; [31.08108108 18.91891892],0
b5,1,0.76752,0.087392,[31 30] ; [24 26],[30.22522523 30.77477477] ; [24.77477477 25.22522523],0
v4,1,0.772484,0.083594,[55  3] ; [48  2],[55.31481481  2.68518519] ; [47.68518519  2.31481481],0
r2,1,0.783382,0.075578,[54  5] ; [45  5],[53.58715596  5.41284404] ; [45.41284404  4.58715596],0
s1,1,0.79826,0.065331,[ 3 57] ; [ 3 46],[ 3.30275229 56.69724771] ; [ 2.69724771 46.30275229],0
p5,1,0.832279,0.044851,[12 47] ; [11 39],[12.44954128 46.55045872] ; [10.55045872 39.44954128],0
p2,1,0.858048,0.031991,[48 11] ; [40 10],[47.63302752 11.36697248] ; [40.36697248  9.63302752],0
p4,1,0.879207,0.023096,[31 28] ; [27 23],[31.39449541 27.60550459] ; [26.60550459 23.39449541],0
n6,1,0.946941,0.004429,[51  8] ; [43  7],[50.88073394  8.11926606] ; [43.11926606  6.88073394],0
