Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,70.575304,[118   9] ; [10 26],[99.73006135 27.26993865] ; [28.26993865  7.73006135],1
p2,1,2e-06,22.393942,[108  18] ; [18 19],[97.39877301 28.60122699] ; [28.60122699  8.39877301],1
p11,1,6e-06,20.559205,[106  22] ; [17 20],[95.41818182 32.58181818] ; [27.58181818  9.41818182],1
n5,1,0.000143,14.467648,[105  23] ; [19 18],[96.19393939 31.80606061] ; [27.80606061  9.19393939],1
r4,1,0.000865,11.096389,[117  11] ; [26 11],[110.93333333  17.06666667] ; [32.06666667  4.93333333],1
p6,1,0.001099,10.652134,[45 80] ; [ 3 34],[37.03703704 87.96296296] ; [10.96296296 26.03703704],0
p8,1,0.003361,8.600208,[72 54] ; [11 26],[64.1595092 61.8404908] ; [18.8404908 18.1595092],0
v4,1,0.005335,7.762363,[125   3] ; [32  5],[121.79393939   6.20606061] ; [35.20606061  1.79393939],0
v2,1,0.00691,7.296297,[97 27] ; [20 16],[90.675 33.325] ; [26.325  9.675],0
p7,1,0.007198,7.222983,[86 41] ; [15 20],[79.17901235 47.82098765] ; [21.82098765 13.17901235],0
n6,1,0.027432,4.863435,[110  18] ; [26 11],[105.5030303  22.4969697] ; [30.4969697  6.5030303],0
r3,1,0.028011,4.827369,[121   7] ; [30  6],[117.85365854  10.14634146] ; [33.14634146  2.85365854],0
d1,1,0.031948,4.601306,[74 54] ; [14 23],[68.26666667 59.73333333] ; [19.73333333 17.26666667],0
a5,1,0.040613,4.192077,[95 33] ; [21 16],[89.98787879 38.01212121] ; [26.01212121 10.98787879],0
p4,1,0.065274,3.398046,[76 50] ; [15 20],[71.2173913 54.7826087] ; [19.7826087 15.2173913],0
a3,1,0.069726,3.289461,[92 35] ; [21 16],[87.50609756 39.49390244] ; [25.49390244 11.50609756],0
p3,1,0.084465,2.976817,[68 58] ; [14 23],[63.38650307 62.61349693] ; [18.61349693 18.38650307],0
a4,1,0.090548,2.864604,[58 70] ; [11 26],[53.52727273 74.47272727] ; [15.47272727 21.52727273],0
b1,1,0.097771,2.741524,[40 88] ; [17 20],[44.21818182 83.78181818] ; [12.78181818 24.21818182],0
s6,1,0.101112,2.687921,[72 51] ; [16 21],[67.65 55.35] ; [20.35 16.65],0
s1,1,0.103812,2.645982,[  3 123] ; [ 3 34],[  4.63803681 121.36196319] ; [ 1.36196319 35.63803681],0
n1,1,0.143886,2.135897,[ 4 20] ; [4 6],[ 5.64705882 18.35294118] ; [2.35294118 7.64705882],0
u1,1,0.147067,2.102412,[ 23 105] ; [ 3 34],[ 20.16969697 107.83030303] ; [ 5.83030303 31.16969697],0
p5,1,0.151505,2.057029,[ 18 109] ; [ 2 35],[ 15.48780488 111.51219512] ; [ 4.51219512 32.48780488],0
a7,1,0.157257,2.000403,[100  28] ; [24 12],[96.7804878 31.2195122] ; [27.2195122  8.7804878],0
r2,1,0.175678,1.833815,[123   4] ; [33  3],[121.54601227   5.45398773] ; [34.45398773  1.54601227],0
u3,1,0.1929,1.69533,[15 20] ; [10  6],[17.15686275 17.84313725] ; [7.84313725 8.15686275],0
v1,1,0.215216,1.535986,[79 47] ; [19 18],[75.75460123 50.24539877] ; [22.24539877 14.75460123],0
d5,1,0.2255,1.469023,[99 29] ; [25 12],[96.19393939 31.80606061] ; [27.80606061  9.19393939],0
n4,1,0.226407,1.46329,[102  26] ; [26 11],[99.2969697 28.7030303] ; [28.7030303  8.2969697],0
u2,1,0.232014,1.428472,[21 15] ; [6 9],[19.05882353 16.94117647] ; [7.94117647 7.05882353],0
a2,1,0.263684,1.249314,[32 96] ; [ 6 31],[29.47878788 98.52121212] ; [ 8.52121212 28.47878788],0
