Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,24.904241,[ 2 11] ; [23  1],[8.78378378 4.21621622] ; [16.21621622  7.78378378],1
p2,1,5.8e-05,16.151204,[ 2 11] ; [20  4],[7.72972973 5.27027027] ; [14.27027027  9.72972973],1
a5,1,0.002339,9.262706,[ 3 10] ; [18  6],[7.37837838 5.62162162] ; [13.62162162 10.37837838],0
r3,1,0.009414,6.742475,[7 6] ; [21  2],[10.11111111  2.88888889] ; [17.88888889  5.11111111],0
p3,1,0.038208,4.295748,[ 2 11] ; [12 12],[4.91891892 8.08108108] ; [ 9.08108108 14.91891892],0
p11,1,0.040574,4.193729,[6 7] ; [19  5],[8.78378378 4.21621622] ; [16.21621622  7.78378378],0
p8,1,0.051289,3.798825,[ 1 12] ; [ 9 15],[3.51351351 9.48648649] ; [ 6.48648649 17.51351351],0
p7,1,0.068406,3.320866,[ 3 10] ; [13 11],[5.62162162 7.37837838] ; [10.37837838 13.62162162],0
a7,1,0.068406,3.320866,[ 3 10] ; [13 11],[5.62162162 7.37837838] ; [10.37837838 13.62162162],0
p4,1,0.068406,3.320866,[ 3 10] ; [13 11],[5.62162162 7.37837838] ; [10.37837838 13.62162162],0
n1,1,0.098943,2.7225,[1 3] ; [4 1],[2.22222222 1.77777778] ; [2.77777778 2.22222222],0
s8,1,0.103031,2.657991,[ 2 11] ; [10 14],[4.21621622 8.78378378] ; [ 7.78378378 16.21621622],0
v1,1,0.103031,2.657991,[ 2 11] ; [10 14],[4.21621622 8.78378378] ; [ 7.78378378 16.21621622],0
d5,1,0.107688,2.587827,[7 6] ; [19  5],[9.13513514 3.86486486] ; [16.86486486  7.13513514],0
n4,1,0.140176,2.176028,[8 5] ; [20  4],[9.83783784 3.16216216] ; [18.16216216  5.83783784],0
v2,1,0.172773,1.85872,[4 9] ; [13 11],[5.97297297 7.02702703] ; [11.02702703 12.97297297],0
b3,1,0.204008,1.613445,[1 7] ; [ 6 10],[2.33333333 5.66666667] ; [ 4.66666667 11.33333333],0
b2,1,0.204008,1.613445,[1 7] ; [ 6 10],[2.33333333 5.66666667] ; [ 4.66666667 11.33333333],0
a3,1,0.225038,1.47195,[6 7] ; [16  8],[7.72972973 5.27027027] ; [14.27027027  9.72972973],0
r4,1,0.259653,1.270604,[4 9] ; [12 12],[5.62162162 7.37837838] ; [10.37837838 13.62162162],0
a8,1,0.27737,1.179933,[ 1 12] ; [ 5 18],[ 2.16666667 10.83333333] ; [ 3.83333333 19.16666667],0
a4,1,0.292584,1.107692,[ 2 10] ; [ 8 16],[3.33333333 8.66666667] ; [ 6.66666667 17.33333333],0
u2,1,0.310437,1.028815,[1 6] ; [3 5],[1.86666667 5.13333333] ; [2.13333333 5.86666667],0
n5,1,0.319837,0.989611,[9 4] ; [20  4],[10.18918919  2.81081081] ; [18.81081081  5.18918919],0
s3,1,0.361535,0.832555,[5 8] ; [13 11],[6.32432432 6.67567568] ; [11.67567568 12.32432432],0
s5,1,0.41835,0.654947,[ 2 11] ; [ 6 16],[ 2.97142857 10.02857143] ; [ 5.02857143 16.97142857],0
s6,1,0.457868,0.551102,[6 7] ; [13  9],[7.05714286 5.94285714] ; [11.94285714 10.05714286],0
v3,1,0.501273,0.452241,[4 9] ; [ 5 19],[3.16216216 9.83783784] ; [ 5.83783784 18.16216216],0
a6,1,0.50137,0.452036,[5 8] ; [12 12],[5.97297297 7.02702703] ; [11.02702703 12.97297297],0
p1,1,0.509629,0.434829,[ 2 11] ; [ 2 22],[ 1.40540541 11.59459459] ; [ 2.59459459 21.40540541],0
b4,1,0.51465,0.424601,[10  3] ; [16  8],[9.13513514 3.86486486] ; [16.86486486  7.13513514],0
d2,1,0.636831,0.22291,[5 7] ; [12 12],[5.66666667 6.33333333] ; [11.33333333 12.66666667],0
d3,1,0.64155,0.216721,[6 7] ; [13 11],[6.67567568 6.32432432] ; [12.32432432 11.67567568],0
s1,1,0.650722,0.204991,[ 1 12] ; [ 1 23],[ 0.7027027 12.2972973] ; [ 1.2972973 22.7027027],0
r1,1,0.665671,0.186708,[5 8] ; [11 13],[5.62162162 7.37837838] ; [10.37837838 13.62162162],0
b5,1,0.665671,0.186708,[8 5] ; [13 11],[7.37837838 5.62162162] ; [13.62162162 10.37837838],0
u3,1,0.714393,0.133929,[2 5] ; [3 5],[2.33333333 4.66666667] ; [2.66666667 5.33333333],0
s2,1,0.755089,0.097304,[5 8] ; [ 8 16],[4.56756757 8.43243243] ; [ 8.43243243 15.56756757],0
b1,1,0.823181,0.049933,[7 6] ; [12 12],[6.67567568 6.32432432] ; [12.32432432 11.67567568],0
r2,1,0.876681,0.02408,[7 6] ; [13 10],[7.22222222 5.77777778] ; [12.77777778 10.22222222],0
p12,1,0.916676,0.010946,[ 1 12] ; [ 2 21],[ 1.08333333 11.91666667] ; [ 1.91666667 21.08333333],0
d4,1,0.918904,0.010366,[9 4] ; [17  7],[9.13513514 3.86486486] ; [16.86486486  7.13513514],0
s4,1,0.919549,0.010201,[ 2 11] ; [ 4 20],[ 2.10810811 10.89189189] ; [ 3.89189189 20.10810811],0
s7,1,0.931673,0.007351,[4 8] ; [ 8 15],[4.11428571 7.88571429] ; [ 7.88571429 15.11428571],0
d1,1,0.954089,0.003315,[5 8] ; [ 9 15],[4.91891892 8.08108108] ; [ 9.08108108 14.91891892],0
