Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.019172,5.485714,[ 2 26] ; [5 9],[ 4.66666667 23.33333333] ; [ 2.33333333 11.66666667],0
s2,1,0.019172,5.485714,[ 2 26] ; [5 9],[ 4.66666667 23.33333333] ; [ 2.33333333 11.66666667],0
p9,1,0.034356,4.476902,[10 16] ; [ 1 13],[ 7.15 18.85] ; [ 3.85 10.15],0
r2,1,0.036747,4.362101,[11 14] ; [11  3],[14.1025641 10.8974359] ; [7.8974359 6.1025641],0
u2,1,0.058375,3.582959,[ 2 11] ; [3 2],[3.61111111 9.38888889] ; [1.38888889 3.61111111],0
s3,1,0.069905,3.285256,[ 6 21] ; [7 7],[ 8.56097561 18.43902439] ; [4.43902439 9.56097561],0
r3,1,0.079479,3.075515,[10 18] ; [9 5],[12.66666667 15.33333333] ; [6.33333333 7.66666667],0
v2,1,0.09533,2.781979,[ 5 22] ; [6 8],[ 7.24390244 19.75609756] ; [ 3.75609756 10.24390244],0
n5,1,0.119705,2.421176,[19  9] ; [6 8],[16.66666667 11.33333333] ; [8.33333333 5.66666667],0
n3,1,0.145251,2.121429,[8 6] ; [2 6],[6.36363636 7.63636364] ; [3.63636364 4.36363636],0
v1,1,0.150111,2.071118,[ 7 20] ; [ 1 13],[ 5.26829268 21.73170732] ; [ 2.73170732 11.26829268],0
p1,1,0.164742,1.930147,[ 7 21] ; [ 1 13],[ 5.33333333 22.66666667] ; [ 2.66666667 11.33333333],0
s5,1,0.177764,1.816216,[ 2 26] ; [ 3 11],[ 3.33333333 24.66666667] ; [ 1.66666667 12.33333333],0
a6,1,0.185877,1.75,[14 14] ; [ 4 10],[12. 16.] ; [6. 8.],0
s6,1,0.20024,1.640625,[ 5 23] ; [5 9],[ 6.66666667 21.33333333] ; [ 3.33333333 10.66666667],0
d4,1,0.24716,1.339286,[17 11] ; [11  3],[18.66666667  9.33333333] ; [9.33333333 4.66666667],0
b4,1,0.261269,1.262019,[19  9] ; [7 7],[17.33333333 10.66666667] ; [8.66666667 5.33333333],0
s7,1,0.310827,1.02716,[ 5 22] ; [4 8],[ 6.23076923 20.76923077] ; [2.76923077 9.23076923],0
a3,1,0.343599,0.896958,[15 13] ; [9 4],[16.3902439 11.6097561] ; [7.6097561 5.3902439],0
d5,1,0.380564,0.768879,[14 14] ; [9 5],[15.33333333 12.66666667] ; [7.66666667 6.33333333],0
p10,1,0.393165,0.72913,[ 7 20] ; [ 2 12],[ 5.92682927 21.07317073] ; [ 3.07317073 10.92682927],0
a4,1,0.39701,0.717365,[ 8 19] ; [6 8],[ 9.2195122 17.7804878] ; [4.7804878 9.2195122],0
p7,1,0.425031,0.636364,[ 7 21] ; [ 2 12],[ 6. 22.] ; [ 3. 11.],0
s8,1,0.457244,0.552632,[ 2 26] ; [ 2 12],[ 2.66666667 25.33333333] ; [ 1.33333333 12.66666667],0
b5,1,0.508332,0.4375,[13 15] ; [5 9],[12. 16.] ; [6. 8.],0
d1,1,0.508332,0.4375,[11 17] ; [7 7],[12. 16.] ; [6. 8.],0
b1,1,0.512691,0.428571,[13 15] ; [8 6],[14. 14.] ; [7. 7.],0
s1,1,0.558185,0.342857,[ 4 24] ; [ 3 11],[ 4.66666667 23.33333333] ; [ 2.33333333 11.66666667],0
p3,1,0.578403,0.308824,[ 6 22] ; [ 2 12],[ 5.33333333 22.66666667] ; [ 2.66666667 11.33333333],0
p6,1,0.627834,0.235009,[ 1 26] ; [ 1 13],[ 1.31707317 25.68292683] ; [ 0.68292683 13.31707317],0
v3,1,0.653484,0.201536,[ 6 21] ; [ 4 10],[ 6.58536585 20.41463415] ; [ 3.41463415 10.58536585],0
a7,1,0.661076,0.19222,[12 16] ; [7 7],[12.66666667 15.33333333] ; [6.33333333 7.66666667],0
a2,1,0.710119,0.138158,[ 3 25] ; [ 1 13],[ 2.66666667 25.33333333] ; [ 1.33333333 12.66666667],0
n6,1,0.754376,0.09789,[11 16] ; [5 9],[10.53658537 16.46341463] ; [5.46341463 8.53658537],0
p4,1,0.769698,0.085714,[ 5 23] ; [ 2 12],[ 4.66666667 23.33333333] ; [ 2.33333333 11.66666667],0
n2,1,0.794625,0.067761,[7 7] ; [4 5],[6.69565217 7.30434783] ; [4.30434783 4.69565217],0
p11,1,0.813421,0.055703,[ 9 19] ; [ 4 10],[ 8.66666667 19.33333333] ; [4.33333333 9.66666667],0
u3,1,0.813945,0.055385,[ 2 11] ; [1 4],[ 2.16666667 10.83333333] ; [0.83333333 4.16666667],0
n4,1,0.816961,0.053571,[19  9] ; [9 5],[18.66666667  9.33333333] ; [9.33333333 4.66666667],0
d3,1,0.822229,0.050481,[11 17] ; [5 9],[10.66666667 17.33333333] ; [5.33333333 8.66666667],0
a5,1,0.827066,0.047727,[15 13] ; [7 7],[14.66666667 13.33333333] ; [7.33333333 6.66666667],0
b2,1,0.866151,0.028409,[ 9 13] ; [3 5],[ 8.8 13.2] ; [3.2 4.8],0
b3,1,0.866151,0.028409,[ 9 13] ; [3 5],[ 8.8 13.2] ; [3.2 4.8],0
d2,1,0.922633,0.009432,[15 12] ; [8 6],[15.14634146 11.85365854] ; [7.85365854 6.14634146],0
n1,1,0.940259,0.005617,[8 6] ; [5 4],[7.91304348 6.08695652] ; [5.08695652 3.91304348],0
p8,1,0.963746,0.002066,[ 4 23] ; [ 2 12],[ 3.95121951 23.04878049] ; [ 2.04878049 11.95121951],0
s4,1,1.0,0.0,[ 4 24] ; [ 2 12],[ 4. 24.] ; [ 2. 12.],0
a1,1,1.0,0.0,[ 4 24] ; [ 2 12],[ 4. 24.] ; [ 2. 12.],0
a8,1,1.0,0.0,[ 4 24] ; [ 2 12],[ 4. 24.] ; [ 2. 12.],0
