Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.00261,9.061582,[512 103] ; [6 6],[508.0861244 106.9138756] ; [9.9138756 2.0861244],0
a4,1,0.006064,7.531212,[295 316] ; [ 1 11],[290.29855538 320.70144462] ; [5.70144462 6.29855538],0
a8,1,0.010318,6.57907,[ 90 464] ; [5 6],[ 93.15044248 460.84955752] ; [1.84955752 9.15044248],0
p9,1,0.018248,5.57222,[537  68] ; [8 4],[534.40032415  70.59967585] ; [10.59967585  1.40032415],0
a5,1,0.030017,4.708315,[472 142] ; [6 6],[468.8370607 145.1629393] ; [9.1629393 2.8370607],0
b1,1,0.046496,3.963543,[236 379] ; [8 4],[239.33014354 375.66985646] ; [4.66985646 7.33014354],0
r1,1,0.047263,3.935984,[530  82] ; [8 4],[527.65384615  84.34615385] ; [10.34615385  1.65384615],0
v1,1,0.058224,3.587263,[363 238] ; [4 8],[359.81566069 241.18433931] ; [7.18433931 4.81566069],0
a3,1,0.060037,3.536353,[453 158] ; [6 6],[450.15890851 160.84109149] ; [8.84109149 3.15890851],0
s7,1,0.081007,3.044574,[314 270] ; [3 8],[311.1394958 272.8605042] ; [5.8605042 5.1394958],0
p8,1,0.094045,2.80373,[345 255] ; [4 8],[342.15686275 257.84313725] ; [6.84313725 5.15686275],0
r2,1,0.100633,2.695486,[601  12] ; [10  1],[600.22916667  12.77083333] ; [10.77083333  0.22916667],0
s2,1,0.138142,2.198537,[333 274] ; [4 8],[330.46688207 276.53311793] ; [6.53311793 5.46688207],0
a2,1,0.147586,2.097031,[166 449] ; [ 1 11],[163.80382775 451.19617225] ; [3.19617225 8.80382775],0
p3,1,0.148294,2.089709,[332 279] ; [4 8],[329.52808989 281.47191011] ; [6.47191011 5.52808989],0
p10,1,0.261304,1.261836,[524  83] ; [9 3],[522.66720517  84.33279483] ; [10.33279483  1.66720517],0
p4,1,0.261795,1.259242,[400 210] ; [6 6],[398.16720257 211.83279743] ; [7.83279743 4.16720257],0
u2,1,0.275188,1.190702,[90 71] ; [2 4],[88.69461078 72.30538922] ; [3.30538922 2.69461078],0
p2,1,0.311586,1.023941,[523  89] ; [9 3],[521.76923077  90.23076923] ; [10.23076923  1.76923077],0
s6,1,0.377082,0.780195,[437 165] ; [6 4],[435.76143791 166.23856209] ; [7.23856209 2.76143791],0
d1,1,0.440595,0.594732,[375 240] ; [6 6],[373.70813397 241.29186603] ; [7.29186603 4.70813397],0
s4,1,0.476452,0.506973,[ 96 508] ; [ 1 11],[ 95.11038961 508.88961039] ; [ 1.88961039 10.11038961],0
p7,1,0.496829,0.461704,[403 193] ; [7 5],[401.90789474 194.09210526] ; [8.09210526 3.90789474],0
s5,1,0.498256,0.458649,[220 371] ; [3 8],[218.92524917 372.07475083] ; [4.07475083 6.92524917],0
b4,1,0.519978,0.413937,[353 262] ; [8 4],[354.09090909 260.90909091] ; [6.90909091 5.09090909],0
b3,1,0.52637,0.401393,[154 227] ; [2 5],[153.18556701 227.81443299] ; [2.81443299 4.18556701],0
b2,1,0.52637,0.401393,[154 227] ; [2 5],[153.18556701 227.81443299] ; [2.81443299 4.18556701],0
v2,1,0.542106,0.371651,[341 248] ; [8 4],[342.03161398 246.96838602] ; [6.96838602 5.03161398],0
p5,1,0.575178,0.314095,[ 85 523] ; [ 1 11],[ 84.33548387 523.66451613] ; [ 1.66451613 10.33548387],0
d2,1,0.609973,0.260215,[311 300] ; [7 5],[311.87479936 299.12520064] ; [6.12520064 5.87479936],0
s3,1,0.613323,0.255364,[359 245] ; [8 4],[359.85064935 244.14935065] ; [7.14935065 4.85064935],0
s8,1,0.633927,0.226774,[296 313] ; [5 7],[295.18357488 313.81642512] ; [5.81642512 6.18357488],0
b5,1,0.65636,0.197976,[371 244] ; [8 4],[371.74641148 243.25358852] ; [7.25358852 4.74641148],0
u3,1,0.695981,0.152687,[94 68] ; [3 3],[93.53571429 68.46428571] ; [3.46428571 2.53571429],0
a6,1,0.809897,0.057869,[427 184] ; [8 4],[426.6211878 184.3788122] ; [8.3788122 3.6211878],0
v3,1,0.848955,0.036272,[263 329] ; [5 7],[262.67549669 329.32450331] ; [5.32450331 6.67549669],0
d3,1,0.884771,0.021003,[420 192] ; [8 4],[419.76923077 192.23076923] ; [8.23076923 3.76923077],0
p6,1,0.901563,0.015298,[241 363] ; [5 7],[241.20779221 362.79220779] ; [4.79220779 7.20779221],0
a7,1,0.901671,0.015265,[450 163] ; [9 3],[450.1872 162.8128] ; [8.8128 3.1872],0
d4,1,0.904951,0.014259,[501 110] ; [10  2],[501.15730337 109.84269663] ; [9.84269663 2.15730337],0
d5,1,0.941155,0.005449,[505 107] ; [10  2],[505.09615385 106.90384615] ; [9.90384615 2.09615385],0
p12,1,0.96269,0.002188,[ 58 552] ; [ 1 10],[ 57.95491143 552.04508857] ; [1.04508857 9.95491143],0
n6,1,0.96572,0.001847,[564  49] ; [11  1],[563.96  49.04] ; [11.04  0.96],0
