Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.000144,14.44773,[81 10] ; [12 10],[74.89380531 16.10619469] ; [18.10619469  3.89380531],1
p9,1,0.000375,12.650882,[84  7] ; [14  8],[78.92035398 12.07964602] ; [19.07964602  2.92035398],1
r3,1,0.00136,10.259364,[86  5] ; [15  6],[82.0625  8.9375] ; [18.9375  2.0625],0
p8,1,0.013736,6.071724,[58 31] ; [ 8 14],[52.91891892 36.08108108] ; [13.08108108  8.91891892],0
p7,1,0.040652,4.190476,[64 24] ; [11 11],[60. 28.] ; [15.  7.],0
d1,1,0.04387,4.06156,[53 38] ; [ 8 15],[48.69298246 42.30701754] ; [12.30701754 10.69298246],0
p3,1,0.04387,4.06156,[53 38] ; [ 8 15],[48.69298246 42.30701754] ; [12.30701754 10.69298246],0
s7,1,0.096752,2.758285,[57 34] ; [ 9 12],[53.625 37.375] ; [12.375  8.625],0
p6,1,0.0994,2.715152,[42 48] ; [ 6 16],[38.57142857 51.42857143] ; [ 9.42857143 12.57142857],0
b4,1,0.100154,2.70309,[53 38] ; [ 9 14],[49.49122807 41.50877193] ; [12.50877193 10.49122807],0
p2,1,0.129554,2.297838,[79 12] ; [17  6],[76.63157895 14.36842105] ; [19.36842105  3.63157895],0
n1,1,0.159724,1.976839,[ 8 14] ; [1 8],[ 6.38709677 15.61290323] ; [2.61290323 6.38709677],0
d4,1,0.161136,1.963535,[72 19] ; [15  8],[69.44736842 21.55263158] ; [17.55263158  5.44736842],0
a6,1,0.163106,1.945192,[58 33] ; [11 12],[55.07894737 35.92105263] ; [13.92105263  9.07894737],0
n6,1,0.165116,1.926732,[83  7] ; [19  4],[81.23893805  8.76106195] ; [20.76106195  2.23893805],0
s8,1,0.175071,1.83898,[50 41] ; [ 9 14],[47.09649123 43.90350877] ; [11.90350877 11.09649123],0
a7,1,0.186765,1.742953,[58 33] ; [18  5],[60.66666667 30.33333333] ; [15.33333333  7.66666667],0
n4,1,0.216715,1.525991,[74 17] ; [16  7],[71.84210526 19.15789474] ; [18.15789474  4.84210526],0
s6,1,0.238972,1.386648,[77 12] ; [16  5],[75.24545455 13.75454545] ; [17.75454545  3.24545455],0
u2,1,0.239407,1.384083,[14 15] ; [2 6],[12.54054054 16.45945946] ; [3.45945946 4.54054054],0
v3,1,0.242541,1.365766,[26 62] ; [ 4 19],[23.78378378 64.21621622] ; [ 6.21621622 16.78378378],0
r4,1,0.303596,1.05833,[79 12] ; [18  5],[77.42982456 13.57017544] ; [19.57017544  3.42982456],0
s2,1,0.360362,0.83663,[63 26] ; [14  9],[61.1875 27.8125] ; [15.8125  7.1875],0
s3,1,0.392974,0.729719,[66 23] ; [15  8],[64.36607143 24.63392857] ; [16.63392857  6.36607143],0
v4,1,0.409297,0.680841,[87  4] ; [21  2],[86.21052632  4.78947368] ; [21.78947368  1.21052632],0
s5,1,0.421147,0.647111,[42 42] ; [12  8],[43.61538462 40.38461538] ; [10.38461538  9.61538462],0
u3,1,0.476081,0.507827,[15 14] ; [3 5],[14.10810811 14.89189189] ; [3.89189189 4.10810811],0
p12,1,0.480158,0.498505,[ 8 83] ; [ 1 22],[ 7.18421053 83.81578947] ; [ 1.81578947 21.18421053],0
d5,1,0.488415,0.480017,[69 22] ; [19  4],[70.24561404 20.75438596] ; [17.75438596  5.24561404],0
r2,1,0.491459,0.473331,[83  8] ; [19  3],[82.14159292  8.85840708] ; [19.85840708  2.14159292],0
b2,1,0.50459,0.445269,[ 9 40] ; [3 8],[ 9.8 39.2] ; [2.2 8.8],0
b3,1,0.50459,0.445269,[ 9 40] ; [3 8],[ 9.8 39.2] ; [2.2 8.8],0
p4,1,0.509187,0.435738,[62 29] ; [14  9],[60.66666667 30.33333333] ; [15.33333333  7.66666667],0
v2,1,0.521978,0.409984,[41 47] ; [ 9 14],[39.63963964 48.36036036] ; [10.36036036 12.63963964],0
u1,1,0.525336,0.403405,[17 74] ; [ 3 20],[15.96491228 75.03508772] ; [ 4.03508772 18.96491228],0
a8,1,0.528086,0.398074,[ 5 82] ; [ 2 19],[ 5.63888889 81.36111111] ; [ 1.36111111 19.63888889],0
n3,1,0.540158,0.375247,[17  5] ; [6 3],[16.32258065  5.67741935] ; [6.67741935 2.32258065],0
b1,1,0.590389,0.289738,[34 57] ; [10 13],[35.12280702 55.87719298] ; [ 8.87719298 14.12280702],0
r1,1,0.615596,0.252106,[68 23] ; [16  7],[67.05263158 23.94736842] ; [16.94736842  6.05263158],0
d3,1,0.634857,0.225532,[64 27] ; [15  8],[63.06140351 27.93859649] ; [15.93859649  7.06140351],0
v1,1,0.64293,0.214931,[46 44] ; [13 10],[46.99115044 43.00884956] ; [12.00884956 10.99115044],0
p5,1,0.65974,0.193839,[ 9 82] ; [ 3 20],[ 9.57894737 81.42105263] ; [ 2.42105263 20.57894737],0
a4,1,0.667874,0.184099,[39 52] ; [11 12],[39.9122807 51.0877193] ; [10.0877193 12.9122807],0
a2,1,0.709597,0.138679,[19 72] ; [ 4 19],[18.35964912 72.64035088] ; [ 4.64035088 18.35964912],0
a5,1,0.711416,0.136866,[63 28] ; [15  8],[62.26315789 28.73684211] ; [15.73684211  7.26315789],0
s1,1,0.712536,0.135758,[ 6 84] ; [ 1 21],[ 5.625 84.375] ; [ 1.375 20.625],0
d2,1,0.738756,0.111223,[40 51] ; [11 12],[40.71052632 50.28947368] ; [10.28947368 12.71052632],0
a3,1,0.789687,0.071138,[62 29] ; [15  8],[61.46491228 29.53508772] ; [15.53508772  7.46491228],0
n2,1,0.796052,0.066801,[18  4] ; [7 2],[17.74193548  4.25806452] ; [7.25806452 1.74193548],0
a1,1,0.806632,0.059914,[ 3 88] ; [ 1 22],[ 3.19298246 87.80701754] ; [ 0.80701754 22.19298246],0
p1,1,0.87333,0.025418,[ 7 84] ; [ 2 21],[ 7.18421053 83.81578947] ; [ 1.81578947 21.18421053],0
b5,1,0.881339,0.022282,[53 38] ; [13 10],[52.68421053 38.31578947] ; [13.31578947  9.68421053],0
