Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,33.54332,[66  1] ; [27 22],[53.71551724 13.28448276] ; [39.28448276  9.71551724],1
d3,1,0.0,33.406547,[59  8] ; [18 31],[44.47413793 22.52586207] ; [32.52586207 16.47413793],1
d2,1,0.0,26.859901,[49 18] ; [12 37],[35.23275862 31.76724138] ; [25.76724138 23.23275862],1
a5,1,5.6e-05,16.234154,[60  7] ; [28 21],[50.82758621 16.17241379] ; [37.17241379 11.82758621],1
r2,1,0.005007,7.876775,[64  2] ; [39  9],[59.63157895  6.36842105] ; [43.36842105  4.63157895],0
u1,1,0.006704,7.350553,[17 50] ; [ 3 46],[11.55172414 55.44827586] ; [ 8.44827586 40.55172414],0
a2,1,0.007046,7.261116,[19 48] ; [ 4 45],[13.28448276 53.71551724] ; [ 9.71551724 39.28448276],0
n4,1,0.02351,5.130429,[60  7] ; [36 13],[55.44827586 11.55172414] ; [40.55172414  8.44827586],0
u2,1,0.049311,3.864734,[9 7] ; [14  2],[11.5  4.5] ; [11.5  4.5],0
r4,1,0.063017,3.456153,[64  3] ; [42  7],[61.22413793  5.77586207] ; [44.77586207  4.22413793],0
a4,1,0.063119,3.45348,[32 35] ; [15 34],[27.14655172 39.85344828] ; [19.85344828 29.14655172],0
v3,1,0.089965,2.875002,[35 32] ; [17 30],[30.56140351 36.43859649] ; [21.43859649 25.56140351],0
n2,1,0.113846,2.5,[10  2] ; [10  8],[8. 4.] ; [12.  6.],0
b5,1,0.114374,2.492724,[40 27] ; [22 27],[35.81034483 31.18965517] ; [26.18965517 22.81034483],0
p8,1,0.117341,2.452453,[42 22] ; [25 24],[37.94690265 26.05309735] ; [29.05309735 19.94690265],0
b4,1,0.123631,2.370709,[45 22] ; [26 23],[41.00862069 25.99137931] ; [29.99137931 19.00862069],0
s6,1,0.149614,2.076186,[40 26] ; [36 13],[43.6173913 22.3826087] ; [32.3826087 16.6173913],0
n5,1,0.167067,1.909067,[52 14] ; [33 16],[48.7826087 17.2173913] ; [36.2173913 12.7826087],0
