Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.006432,7.425125,[5 2] ; [ 2 13],[2.22727273 4.77272727] ; [ 4.77272727 10.22727273],0
p11,1,0.009578,6.711746,[6 1] ; [ 4 11],[3.18181818 3.81818182] ; [6.81818182 8.18181818],0
s8,1,0.022097,5.238095,[6 1] ; [ 5 10],[3.5 3.5] ; [7.5 7.5],0
v2,1,0.040374,4.202116,[3 4] ; [ 1 14],[1.27272727 5.72727273] ; [ 2.72727273 12.27272727],0
p10,1,0.044888,4.022857,[6 1] ; [6 9],[3.81818182 3.18181818] ; [8.18181818 6.81818182],0
p4,1,0.046708,3.955881,[5 2] ; [ 4 11],[2.86363636 4.13636364] ; [6.13636364 8.86363636],0
v1,1,0.081481,3.035102,[4 3] ; [ 3 12],[2.22727273 4.77272727] ; [ 4.77272727 10.22727273],0
a6,1,0.082735,3.010338,[6 1] ; [7 8],[4.13636364 2.86363636] ; [8.86363636 6.13636364],0
d3,1,0.082735,3.010338,[6 1] ; [7 8],[4.13636364 2.86363636] ; [8.86363636 6.13636364],0
s7,1,0.084978,2.967033,[6 1] ; [6 7],[4.2 2.8] ; [7.8 5.2],0
s6,1,0.094638,2.793651,[5 2] ; [ 5 10],[3.18181818 3.81818182] ; [6.81818182 8.18181818],0
b4,1,0.141407,2.162585,[6 1] ; [8 7],[4.45454545 2.54545455] ; [9.54545455 5.45454545],0
p9,1,0.141407,2.162585,[6 1] ; [8 7],[4.45454545 2.54545455] ; [9.54545455 5.45454545],0
p2,1,0.141407,2.162585,[6 1] ; [8 7],[4.45454545 2.54545455] ; [9.54545455 5.45454545],0
p5,1,0.163178,1.944528,[2 5] ; [ 1 14],[0.95454545 6.04545455] ; [ 2.04545455 12.95454545],0
a2,1,0.163178,1.944528,[2 5] ; [ 1 14],[0.95454545 6.04545455] ; [ 2.04545455 12.95454545],0
p7,1,0.17595,1.831502,[3 2] ; [ 4 11],[1.75 3.25] ; [5.25 9.75],0
s2,1,0.227776,1.454694,[6 1] ; [9 6],[4.77272727 2.22727273] ; [10.22727273  4.77272727],0
p6,1,0.262193,1.257143,[3 4] ; [ 3 12],[1.90909091 5.09090909] ; [ 4.09090909 10.90909091],0
a4,1,0.277291,1.180317,[2 5] ; [8 7],[3.18181818 3.81818182] ; [6.81818182 8.18181818],0
d4,1,0.350122,0.873016,[6 1] ; [10  5],[5.09090909 1.90909091] ; [10.90909091  4.09090909],0
a5,1,0.350122,0.873016,[6 1] ; [10  5],[5.09090909 1.90909091] ; [10.90909091  4.09090909],0
v3,1,0.388072,0.744974,[2 5] ; [ 2 13],[1.27272727 5.72727273] ; [ 2.72727273 12.27272727],0
n6,1,0.421374,0.646479,[5 2] ; [8 7],[4.13636364 2.86363636] ; [8.86363636 6.13636364],0
d1,1,0.451967,0.565714,[4 3] ; [6 9],[3.18181818 3.81818182] ; [6.81818182 8.18181818],0
s5,1,0.512691,0.428571,[3 4] ; [ 4 10],[2.33333333 4.66666667] ; [4.66666667 9.33333333],0
u1,1,0.562591,0.335238,[1 6] ; [ 1 14],[0.63636364 6.36363636] ; [ 1.36363636 13.63636364],0
r1,1,0.647141,0.209524,[4 3] ; [7 8],[3.5 3.5] ; [7.5 7.5],0
n1,1,0.665006,0.1875,[3 1] ; [5 3],[2.66666667 1.33333333] ; [5.33333333 2.66666667],0
n3,1,0.678845,0.171429,[2 2] ; [5 3],[2.33333333 1.66666667] ; [4.66666667 3.33333333],0
b2,1,0.73244,0.116883,[2 5] ; [4 7],[2.33333333 4.66666667] ; [3.66666667 7.33333333],0
b3,1,0.73244,0.116883,[2 5] ; [4 7],[2.33333333 4.66666667] ; [3.66666667 7.33333333],0
n5,1,0.746188,0.104762,[6 1] ; [12  3],[5.72727273 1.27272727] ; [12.27272727  2.72727273],0
n4,1,0.746188,0.104762,[6 1] ; [12  3],[5.72727273 1.27272727] ; [12.27272727  2.72727273],0
p1,1,0.746188,0.104762,[1 6] ; [ 3 12],[1.27272727 5.72727273] ; [ 2.72727273 12.27272727],0
b1,1,0.867258,0.027937,[4 3] ; [8 7],[3.81818182 3.18181818] ; [8.18181818 6.81818182],0
p3,1,0.898977,0.016117,[3 4] ; [6 9],[2.86363636 4.13636364] ; [6.13636364 8.86363636],0
d5,1,0.898977,0.016117,[4 3] ; [9 6],[4.13636364 2.86363636] ; [8.86363636 6.13636364],0
d2,1,0.898977,0.016117,[4 3] ; [9 6],[4.13636364 2.86363636] ; [8.86363636 6.13636364],0
s4,1,0.925558,0.00873,[2 5] ; [ 4 11],[1.90909091 5.09090909] ; [ 4.09090909 10.90909091],0
a3,1,0.925558,0.00873,[5 2] ; [11  4],[5.09090909 1.90909091] ; [10.90909091  4.09090909],0
s1,1,0.951655,0.003676,[1 6] ; [ 2 13],[0.95454545 6.04545455] ; [ 2.04545455 12.95454545],0
a1,1,0.951655,0.003676,[1 6] ; [ 2 13],[0.95454545 6.04545455] ; [ 2.04545455 12.95454545],0
