Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,103.718536,[351  86] ; [ 73 115],[296.4608 140.5392] ; [127.5392  60.4608],1
d3,1,0.0,84.355899,[344  94] ; [ 77 111],[294.56549521 143.43450479] ; [126.43450479  61.56549521],1
a2,1,0.0,43.708297,[149 291] ; [ 16 172],[115.60509554 324.39490446] ; [ 49.39490446 138.60509554],1
u1,1,0.0,29.989097,[115 325] ; [ 13 175],[ 89.68152866 350.31847134] ; [ 38.31847134 149.68152866],1
b5,1,0.0,29.685333,[290 150] ; [ 80 108],[259.23566879 180.76433121] ; [110.76433121  77.23566879],1
r4,1,0.0,27.802205,[410  30] ; [148  40],[390.95541401  49.04458599] ; [167.04458599  20.95541401],1
r1,1,1.5e-05,18.725732,[372  65] ; [132  56],[352.3968  84.6032] ; [151.6032  36.3968],1
d1,1,9e-05,15.331425,[293 147] ; [94 94],[271.14649682 168.85350318] ; [115.85350318  72.14649682],1
r2,1,0.000581,11.83636,[421  15] ; [165  19],[412.09032258  23.90967742] ; [173.90967742  10.09032258],1
d5,1,0.001278,10.374453,[373  65] ; [139  48],[358.8096  79.1904] ; [153.1904  33.8096],0
r3,1,0.001448,10.143192,[414  22] ; [165  23],[404.55769231  31.44230769] ; [174.44230769  13.55769231],0
v4,1,0.002062,9.493682,[418  20] ; [166  21],[409.2672  28.7328] ; [174.7328  12.2672],0
d4,1,0.002287,9.303903,[367  71] ; [137  50],[353.2032  84.7968] ; [150.7968  36.2032],0
b1,1,0.003114,8.739681,[162 278] ; [93 95],[178.66242038 261.33757962] ; [ 76.33757962 111.66242038],0
u3,1,0.003277,8.646304,[69 46] ; [18 33],[60.27108434 54.72891566] ; [26.72891566 24.27108434],0
a5,1,0.003982,8.292143,[351  89] ; [130  58],[337.00636943 102.99363057] ; [143.99363057  44.00636943],0
v2,1,0.008474,6.930414,[253 169] ; [87 93],[238.33887043 183.66112957] ; [101.66112957  78.33887043],0
n2,1,0.018641,5.534919,[65 13] ; [34 18],[59.4 18.6] ; [39.6 12.4],0
p4,1,0.032713,4.560733,[290 146] ; [107  79],[278.2829582 157.7170418] ; [118.7170418  67.2829582],0
u2,1,0.044658,4.031498,[65 49] ; [20 30],[59.08536585 54.91463415] ; [25.91463415 24.08536585],0
a8,1,0.065847,3.383626,[ 72 316] ; [ 22 156],[ 64.43816254 323.56183746] ; [ 29.56183746 148.43816254],0
b3,1,0.081289,3.038936,[100 170] ; [60 70],[108. 162.] ; [52. 78.],0
b2,1,0.081289,3.038936,[100 170] ; [60 70],[108. 162.] ; [52. 78.],0
p10,1,0.112151,2.52365,[373  63] ; [148  36],[366.38064516  69.61935484] ; [154.61935484  29.38064516],0
s7,1,0.119464,2.424334,[212 201] ; [106  76],[220.72941176 192.27058824] ; [97.27058824 84.72941176],0
b4,1,0.122328,2.38726,[261 179] ; [99 89],[252.22929936 187.77070064] ; [107.77070064  80.22929936],0
n3,1,0.127243,2.325824,[58 19] ; [32 19],[54.140625 22.859375] ; [35.859375 15.140625],0
a4,1,0.160206,1.972283,[220 218] ; [ 82 104],[211.98076923 226.01923077] ; [90.01923077 95.98076923],0
s8,1,0.166565,1.913586,[195 238] ; [96 92],[202.90338164 230.09661836] ; [88.09661836 99.90338164],0
p8,1,0.173497,1.852465,[243 187] ; [93 91],[235.30944625 194.69055375] ; [100.69055375  83.30944625],0
p2,1,0.183302,1.770646,[370  69] ; [147  37],[364.30658106  74.69341894] ; [152.69341894  31.30658106],0
n6,1,0.194017,1.686845,[401  37] ; [165  22],[396.6528  41.3472] ; [169.3472  17.6528],0
v1,1,0.250673,1.31955,[253 175] ; [99 84],[246.57283142 181.42716858] ; [105.42716858  77.57283142],0
p1,1,0.26401,1.24761,[ 48 390] ; [ 15 172],[ 44.1504 393.8496] ; [ 18.8496 168.1504],0
s5,1,0.266462,1.234872,[144 276] ; [ 71 111],[150. 270.] ; [ 65. 117.],0
p9,1,0.323066,0.976492,[375  57] ; [155  30],[371.08589951  60.91410049] ; [158.91410049  26.08589951],0
s4,1,0.361446,0.832863,[ 59 370] ; [ 31 156],[ 62.67857143 366.32142857] ; [ 27.32142857 159.67857143],0
p3,1,0.368915,0.807317,[238 199] ; [94 92],[232.87961477 204.12038523] ; [99.12038523 86.87961477],0
s6,1,0.409379,0.680604,[302 127] ; [122  60],[297.70212766 131.29787234] ; [126.29787234  55.70212766],0
s2,1,0.415331,0.663488,[232 199] ; [94 93],[227.35598706 203.64401294] ; [98.64401294 88.35598706],0
p11,1,0.434717,0.610188,[356  84] ; [147  41],[352.42038217  87.57961783] ; [150.57961783  37.42038217],0
p12,1,0.59693,0.279651,[ 44 393] ; [ 16 168],[ 42.22222222 394.77777778] ; [ 17.77777778 166.22222222],0
s1,1,0.612497,0.256554,[ 15 416] ; [  8 177],[ 16.09253247 414.90746753] ; [  6.90746753 178.09253247],0
p6,1,0.628697,0.233831,[176 258] ; [ 70 112],[173.31818182 260.68181818] ; [ 72.68181818 109.31818182],0
p7,1,0.629883,0.23222,[280 148] ; [116  67],[277.39443535 150.60556465] ; [118.60556465  64.39443535],0
a3,1,0.662625,0.190351,[325 111] ; [137  51],[322.80769231 113.19230769] ; [139.19230769  48.80769231],0
n1,1,0.663699,0.189061,[39 36] ; [25 27],[37.79527559 37.20472441] ; [26.20472441 25.79527559],0
d2,1,0.709835,0.138442,[235 202] ; [97 89],[232.87961477 204.12038523] ; [99.12038523 86.87961477],0
p5,1,0.778636,0.079015,[ 64 371] ; [ 29 157],[ 65.14492754 369.85507246] ; [ 27.85507246 158.14492754],0
s3,1,0.824766,0.049026,[249 179] ; [107  80],[247.75284553 180.24715447] ; [108.24715447  78.75284553],0
v3,1,0.884884,0.020961,[187 234] ; [ 81 104],[186.18481848 234.81518152] ; [ 81.81518152 103.18481848],0
a1,1,0.90664,0.013754,[ 27 413] ; [ 12 176],[ 27.32484076 412.67515924] ; [ 11.67515924 176.32484076],0
u4,1,0.910859,0.012534,[ 11 428] ; [  5 183],[ 11.20255183 427.79744817] ; [  4.79744817 183.20255183],0
