Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.000338,12.845104,[ 6 37] ; [ 95 126],[16.45075758 26.54924242] ; [ 84.54924242 136.45075758],1
b2,1,0.000338,12.845104,[ 6 37] ; [ 95 126],[16.45075758 26.54924242] ; [ 84.54924242 136.45075758],1
s5,1,0.012013,6.30894,[37 31] ; [119 195],[27.76963351 40.23036649] ; [128.23036649 185.76963351],0
v2,1,0.017824,5.613407,[34 42] ; [187 126],[43.17737789 32.82262211] ; [177.82262211 135.17737789],0
n1,1,0.018299,5.56727,[ 5 13] ; [34 23],[9.36 8.64] ; [29.64 27.36],0
a8,1,0.020377,5.379283,[ 6 66] ; [ 61 245],[12.76190476 59.23809524] ; [ 54.23809524 251.76190476],0
s2,1,0.022186,5.231147,[68  9] ; [250  77],[60.60891089 16.39108911] ; [257.39108911  69.60891089],0
v3,1,0.092199,2.835554,[27 50] ; [143 170],[33.56410256 43.43589744] ; [136.43589744 176.56410256],0
s1,1,0.094048,2.803689,[ 7 70] ; [ 14 308],[ 4.05263158 72.94736842] ; [ 16.94736842 305.05263158],0
s7,1,0.125827,2.343246,[57 17] ; [214 101],[51.55269923 22.44730077] ; [219.44730077  95.55269923],0
s6,1,0.157796,1.995219,[65  8] ; [264  57],[60.95685279 12.04314721] ; [268.04314721  52.95685279],0
v1,1,0.16317,1.944597,[38 39] ; [182 131],[43.43589744 33.56410256] ; [176.56410256 136.43589744],0
a7,1,0.195879,1.672839,[49 28] ; [232  94],[53.6898263 23.3101737] ; [227.3101737  98.6898263],0
p3,1,0.202867,1.621613,[48 29] ; [176 148],[43.01246883 33.98753117] ; [180.98753117 143.01246883],0
n3,1,0.233713,1.418122,[15  3] ; [40 18],[13.02631579  4.97368421] ; [41.97368421 16.02631579],0
u4,1,0.247924,1.334965,[ 1 76] ; [ 13 314],[ 2.66831683 74.33168317] ; [ 11.33168317 315.66831683],0
d4,1,0.255368,1.293694,[61 16] ; [274  50],[64.32668329 12.67331671] ; [270.67331671  53.32668329],0
r3,1,0.325299,0.967523,[71  5] ; [313  13],[72.59701493  3.40298507] ; [311.40298507  14.59701493],0
a4,1,0.348006,0.880716,[40 37] ; [150 176],[36.30272953 40.69727047] ; [153.69727047 172.30272953],0
u1,1,0.350662,0.871059,[19 58] ; [ 65 262],[16.00990099 60.99009901] ; [ 67.99009901 259.00990099],0
r2,1,0.361317,0.833312,[72  4] ; [311  10],[73.31989924  2.68010076] ; [309.68010076  11.31989924],0
u3,1,0.363836,0.824611,[12  5] ; [47 33],[10.34020619  6.65979381] ; [48.65979381 31.34020619],0
d3,1,0.40836,0.683572,[57 20] ; [225 100],[54.01492537 22.98507463] ; [227.98507463  97.01492537],0
p12,1,0.420033,0.650222,[ 7 70] ; [ 40 283],[ 9.0475 67.9525] ; [ 37.9525 285.0475],0
p8,1,0.420691,0.648384,[44 32] ; [171 153],[40.85 35.15] ; [174.15 149.85],0
r4,1,0.428913,0.625765,[69  8] ; [302  25],[70.71039604  6.28960396] ; [300.28960396  26.71039604],0
u2,1,0.438494,0.60022,[11  6] ; [43 36],[9.5625 7.4375] ; [44.4375 34.5625],0
a6,1,0.443257,0.587835,[53 24] ; [208 116],[50.11720698 26.88279302] ; [210.88279302 113.11720698],0
a1,1,0.449404,0.572155,[ 3 74] ; [ 20 307],[ 4.38366337 72.61633663] ; [ 18.61633663 308.38366337],0
p4,1,0.483583,0.490772,[52 25] ; [205 119],[49.34912718 27.65087282] ; [207.65087282 116.34912718],0
p1,1,0.528991,0.396329,[ 6 71] ; [ 33 292],[ 7.47014925 69.52985075] ; [ 31.52985075 293.47014925],0
p5,1,0.575224,0.314019,[10 67] ; [ 50 272],[11.57894737 65.42105263] ; [ 48.42105263 273.57894737],0
p11,1,0.578484,0.308691,[61 16] ; [268  59],[62.70544554 14.29455446] ; [266.29455446  60.70544554],0
n2,1,0.633924,0.226778,[14  4] ; [48 10],[14.68421053  3.31578947] ; [47.31578947 10.68421053],0
