Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1.2e-05,19.243636,[24  3] ; [1 8],[18.75  8.25] ; [6.25 2.75],1
r4,1,0.000213,13.714286,[25  2] ; [3 6],[21.  6.] ; [7. 2.],1
s5,1,0.005919,7.574879,[15  8] ; [1 8],[11.5 11.5] ; [4.5 4.5],0
v2,1,0.009271,6.769778,[18  7] ; [2 7],[14.70588235 10.29411765] ; [5.29411765 3.70588235],0
v4,1,0.009823,6.666667,[25  2] ; [5 4],[22.5  4.5] ; [7.5 1.5],0
n2,1,0.018881,5.5125,[9 1] ; [3 5],[6.66666667 3.33333333] ; [5.33333333 2.66666667],0
p11,1,0.020137,5.4,[18  9] ; [2 7],[15. 12.] ; [5. 4.],0
v1,1,0.031795,4.609524,[14 13] ; [1 8],[11.25 15.75] ; [3.75 5.25],0
s1,1,0.058137,3.589744,[ 2 24] ; [3 6],[ 3.71428571 22.28571429] ; [1.28571429 7.71428571],0
r2,1,0.058777,3.571566,[26  1] ; [6 2],[24.68571429  2.31428571] ; [7.31428571 0.68571429],0
r1,1,0.060103,3.534545,[21  6] ; [4 5],[18.75  8.25] ; [6.25 2.75],0
s7,1,0.089688,2.879968,[13 13] ; [1 6],[11.03030303 14.96969697] ; [2.96969697 4.03030303],0
a5,1,0.10247,2.666667,[20  7] ; [4 5],[18.  9.] ; [6. 3.],0
b1,1,0.121335,2.4,[10 17] ; [6 3],[12. 15.] ; [4. 5.],0
b2,1,0.131636,2.273099,[ 3 16] ; [2 2],[ 4.13043478 14.86956522] ; [0.86956522 3.13043478],0
b3,1,0.131636,2.273099,[ 3 16] ; [2 2],[ 4.13043478 14.86956522] ; [0.86956522 3.13043478],0
s3,1,0.143201,2.143219,[16 10] ; [3 6],[14.11428571 11.88571429] ; [4.88571429 4.11428571],0
n3,1,0.179712,1.8,[8 2] ; [4 4],[6.66666667 3.33333333] ; [5.33333333 2.66666667],0
s6,1,0.245952,1.346154,[22  4] ; [6 3],[20.8  5.2] ; [7.2 1.8],0
d1,1,0.248213,1.333333,[12 15] ; [6 3],[13.5 13.5] ; [4.5 4.5],0
d2,1,0.248213,1.333333,[12 15] ; [6 3],[13.5 13.5] ; [4.5 4.5],0
s2,1,0.306702,1.044825,[16  9] ; [4 5],[14.70588235 10.29411765] ; [5.29411765 3.70588235],0
b4,1,0.335177,0.928793,[13 14] ; [6 3],[14.25 12.75] ; [4.75 4.25],0
p4,1,0.414216,0.666667,[10 17] ; [2 7],[ 9. 18.] ; [3. 6.],0
a4,1,0.438578,0.6,[11 16] ; [5 4],[12. 15.] ; [4. 5.],0
a7,1,0.438578,0.6,[16 11] ; [4 5],[15. 12.] ; [5. 4.],0
d5,1,0.530869,0.392727,[18  9] ; [7 2],[18.75  8.25] ; [6.25 2.75],0
n6,1,0.605577,0.266667,[23  4] ; [7 2],[22.5  4.5] ; [7.5 1.5],0
d4,1,0.667436,0.184615,[19  8] ; [7 2],[19.5  7.5] ; [6.5 2.5],0
d3,1,0.693012,0.155844,[17 10] ; [5 4],[16.5 10.5] ; [5.5 3.5],0
n4,1,0.693012,0.155844,[17 10] ; [5 4],[16.5 10.5] ; [5.5 3.5],0
n5,1,0.700311,0.148148,[14 13] ; [4 5],[13.5 13.5] ; [4.5 4.5],0
p1,1,0.780826,0.077419,[ 4 23] ; [1 8],[ 3.75 23.25] ; [1.25 7.75],0
a3,1,0.841219,0.040134,[17 10] ; [6 3],[17.25  9.75] ; [5.75 3.25],0
p3,1,0.841219,0.040134,[10 17] ; [3 6],[ 9.75 17.25] ; [3.25 5.75],0
u2,1,0.912637,0.012037,[3 7] ; [1 2],[3.07692308 6.92307692] ; [0.92307692 2.07692308],0
n1,1,0.913906,0.011688,[4 6] ; [3 5],[3.88888889 6.11111111] ; [3.11111111 4.88888889],0
v3,1,0.914143,0.011624,[ 6 19] ; [2 7],[ 5.88235294 19.11764706] ; [2.11764706 6.88235294],0
u1,1,1.0,0.0,[ 3 24] ; [1 8],[ 3. 24.] ; [1. 8.],0
b5,1,1.0,0.0,[15 12] ; [5 4],[15. 12.] ; [5. 4.],0
