Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,24.875127,[26 43] ; [92 32],[42.1865285 26.8134715] ; [75.8134715 48.1865285],1
v3,1,2.9e-05,17.509543,[19 50] ; [72 50],[32.87434555 36.12565445] ; [58.12565445 63.87434555],1
s8,1,0.001823,9.720001,[42 28] ; [100  24],[51.2371134 18.7628866] ; [90.7628866 33.2371134],0
d5,1,0.005174,7.817717,[51 19] ; [109  14],[58.03108808 11.96891192] ; [101.96891192  21.03108808],0
b4,1,0.009242,6.775388,[29 41] ; [76 49],[37.69230769 32.30769231] ; [67.30769231 57.69230769],0
s4,1,0.017484,5.647096,[24 45] ; [ 24 100],[17.16062176 51.83937824] ; [30.83937824 93.16062176],0
n5,1,0.028033,4.826011,[53 17] ; [109  15],[58.45360825 11.54639175] ; [103.54639175  20.45360825],0
a7,1,0.043589,4.072416,[43 27] ; [94 31],[49.17948718 20.82051282] ; [87.82051282 37.17948718],0
p10,1,0.048757,3.883703,[57 13] ; [113  11],[61.34020619  8.65979381] ; [108.65979381  15.34020619],0
r3,1,0.048806,3.882028,[64  6] ; [122   3],[66.76923077  3.23076923] ; [119.23076923   5.76923077],0
d1,1,0.072731,3.220286,[41 29] ; [89 36],[46.66666667 23.33333333] ; [83.33333333 41.66666667],0
p8,1,0.077126,3.124456,[42 28] ; [89 34],[47.51295337 22.48704663] ; [83.48704663 39.51295337],0
s6,1,0.081255,3.039625,[54 16] ; [106  16],[58.33333333 11.66666667] ; [101.66666667  20.33333333],0
r4,1,0.085426,2.95853,[62  8] ; [119   6],[64.97435897  5.02564103] ; [116.02564103   8.97435897],0
p9,1,0.088478,2.90184,[62  8] ; [118   6],[64.94845361  5.05154639] ; [115.05154639   8.94845361],0
r1,1,0.098168,2.735065,[54 16] ; [108  17],[58.15384615 11.84615385] ; [103.84615385  21.15384615],0
s5,1,0.107075,2.596876,[30 34] ; [70 48],[35.16483516 28.83516484] ; [64.83516484 53.16483516],0
a3,1,0.129642,2.29679,[53 17] ; [104  19],[56.94300518 13.05699482] ; [100.05699482  22.94300518],0
n3,1,0.131475,2.275006,[19  5] ; [11  8],[16.74418605  7.25581395] ; [13.25581395  5.74418605],0
a5,1,0.135479,2.228571,[52 18] ; [104  21],[56. 14.] ; [100.  25.],0
n1,1,0.13856,2.193882,[11 13] ; [13  6],[13.39534884 10.60465116] ; [10.60465116  8.39534884],0
d3,1,0.158511,1.988378,[49 21] ; [98 26],[53.04123711 16.95876289] ; [93.95876289 30.04123711],0
b5,1,0.16751,1.905085,[36 34] ; [77 48],[40.56410256 29.43589744] ; [72.43589744 52.56410256],0
a6,1,0.174074,1.847507,[41 29] ; [84 39],[45.33678756 24.66321244] ; [79.66321244 43.33678756],0
n4,1,0.17668,1.825331,[58 12] ; [112  13],[61.02564103  8.97435897] ; [108.97435897  16.02564103],0
p12,1,0.186804,1.742645,[ 7 63] ; [ 21 103],[10.10309278 59.89690722] ; [ 17.89690722 106.10309278],0
p4,1,0.189977,1.717799,[54 16] ; [105  19],[57.37113402 12.62886598] ; [101.62886598  22.37113402],0
n2,1,0.190401,1.714514,[16  8] ; [16  3],[17.86046512  6.13953488] ; [14.13953488  4.86046512],0
u4,1,0.22476,1.473719,[ 1 69] ; [  6 119],[ 2.51282051 67.48717949] ; [  4.48717949 120.51282051],0
p11,1,0.229217,1.445712,[52 18] ; [102  23],[55.28205128 14.71794872] ; [98.71794872 26.28205128],0
p7,1,0.259907,1.269253,[55 13] ; [107  16],[57.67539267 10.32460733] ; [104.32460733  18.67539267],0
p5,1,0.263793,1.248743,[13 57] ; [32 93],[16.15384615 53.84615385] ; [28.84615385 96.15384615],0
a8,1,0.264312,1.246028,[ 8 57] ; [21 91],[10.64971751 54.35028249] ; [18.35028249 93.64971751],0
a2,1,0.305983,1.047935,[17 53] ; [39 86],[20.1025641 49.8974359] ; [35.8974359 89.1025641],0
u1,1,0.309975,1.030781,[16 54] ; [37 88],[19.02564103 50.97435897] ; [33.97435897 91.02564103],0
p3,1,0.315746,1.006486,[46 24] ; [90 34],[49.07216495 20.92783505] ; [86.92783505 37.07216495],0
d4,1,0.340748,0.907615,[58 12] ; [108  15],[60.20725389  9.79274611] ; [105.79274611  17.20725389],0
p1,1,0.36842,0.808987,[13 57] ; [ 17 107],[10.82474227 59.17525773] ; [ 19.17525773 104.82474227],0
s2,1,0.381821,0.764832,[51 19] ; [98 27],[53.48717949 16.51282051] ; [95.51282051 29.48717949],0
a1,1,0.437925,0.601714,[ 4 66] ; [ 11 114],[ 5.38461538 64.61538462] ; [  9.61538462 115.38461538],0
v4,1,0.452816,0.563594,[69  1] ; [121   4],[68.20512821  1.79487179] ; [121.79487179   3.20512821],0
s3,1,0.455882,0.555987,[53 17] ; [87 36],[50.77720207 19.22279793] ; [89.22279793 33.77720207],0
d2,1,0.465341,0.533018,[38 32] ; [74 50],[40.41237113 29.58762887] ; [71.58762887 52.41237113],0
s1,1,0.496353,0.462726,[ 5 65] ; [  6 119],[ 3.94871795 66.05128205] ; [  7.05128205 117.94871795],0
n6,1,0.515761,0.422362,[63  7] ; [114   9],[64.19689119  5.80310881] ; [112.80310881  10.19689119],0
u2,1,0.725622,0.123169,[13  4] ; [15  6],[12.52631579  4.47368421] ; [15.47368421  5.52631579],0
u3,1,0.736151,0.113539,[13  4] ; [17  4],[13.42105263  3.57894737] ; [16.57894737  4.42105263],0
a4,1,0.770763,0.0849,[36 34] ; [67 58],[36.97435897 33.02564103] ; [66.02564103 58.97435897],0
b1,1,0.913075,0.011916,[28 42] ; [51 74],[28.35897436 41.64102564] ; [50.64102564 74.35897436],0
b3,1,0.943473,0.005028,[24 25] ; [44 47],[23.8 25.2] ; [44.2 46.8],0
b2,1,0.943473,0.005028,[24 25] ; [44 47],[23.8 25.2] ; [44.2 46.8],0
p2,1,0.961401,0.002342,[62  8] ; [111  14],[62.1025641  7.8974359] ; [110.8974359  14.1025641],0
