Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,38.147567,[297  54] ; [23 26],[280.8  70.2] ; [39.2  9.8],1
n5,1,0.0,31.491778,[297  55] ; [24 24],[282.48  69.52] ; [38.52  9.48],1
r4,1,0.000144,14.445374,[333  19] ; [39 10],[326.5436409  25.4563591] ; [45.4563591  3.5436409],1
p11,1,0.001375,10.238447,[291  61] ; [31 18],[282.65336658  69.34663342] ; [39.34663342  9.65336658],0
p8,1,0.002293,9.29889,[198 151] ; [16 32],[188.12594458 160.87405542] ; [25.87405542 22.12594458],0
d2,1,0.003197,8.691418,[197 155] ; [16 32],[187.44 164.56] ; [25.56 22.44],0
p4,1,0.003624,8.463341,[245 106] ; [24 25],[236.0475 114.9525] ; [32.9525 16.0475],0
p10,1,0.004448,8.091344,[331  19] ; [41  8],[326.31578947  23.68421053] ; [45.68421053  3.31578947],0
p7,1,0.006858,7.309866,[239 103] ; [23 23],[230.93814433 111.06185567] ; [31.06185567 14.93814433],0
s7,1,0.00993,6.647463,[252  88] ; [27 21],[244.48453608  95.51546392] ; [34.51546392 13.48453608],0
u1,1,0.011645,6.364064,[ 85 267] ; [ 4 45],[ 78.12468828 273.87531172] ; [10.87531172 38.12468828],0
v3,1,0.012284,6.269401,[152 187] ; [11 33],[144.27415144 194.72584856] ; [18.72584856 25.27415144],0
p5,1,0.012657,6.216392,[ 53 294] ; [ 1 47],[ 47.43797468 299.56202532] ; [ 6.56202532 41.43797468],0
s8,1,0.013636,6.084655,[235 116] ; [24 25],[227.2725 123.7275] ; [31.7275 17.2725],0
a4,1,0.013814,6.061703,[181 171] ; [16 33],[172.9276808 179.0723192] ; [24.0723192 24.9276808],0
p3,1,0.015721,5.833825,[201 151] ; [19 30],[193.11720698 158.88279302] ; [26.88279302 22.11720698],0
s6,1,0.018878,5.512784,[308  37] ; [38 11],[302.96954315  42.03045685] ; [43.03045685  5.96954315],0
r1,1,0.021709,5.268972,[290  61] ; [33 15],[284.14285714  66.85714286] ; [38.85714286  9.14285714],0
p2,1,0.024478,5.060441,[306  44] ; [37 12],[300.87719298  49.12280702] ; [42.12280702  6.87719298],0
a5,1,0.024622,5.050307,[280  72] ; [32 17],[273.87531172  78.12468828] ; [38.12468828 10.87531172],0
u2,1,0.035256,4.43274,[40 36] ; [13  3],[43.7826087 32.2173913] ; [9.2173913 6.7826087],0
s5,1,0.035587,4.416793,[175 160] ; [16 29],[168.38157895 166.61842105] ; [22.61842105 22.38157895],0
a3,1,0.042929,4.098208,[275  76] ; [32 17],[269.3925  81.6075] ; [37.6075 11.3925],0
a2,1,0.057958,3.594875,[103 249] ; [ 8 41],[ 97.43640898 254.56359102] ; [13.56359102 35.43640898],0
u3,1,0.059049,3.563894,[48 28] ; [14  2],[51.2173913 24.7826087] ; [10.7826087  5.2173913],0
p6,1,0.071577,3.24647,[165 185] ; [16 32],[159.17085427 190.82914573] ; [21.82914573 26.17085427],0
v2,1,0.077003,3.127044,[206 134] ; [20 23],[200.62663185 139.37336815] ; [25.37336815 17.62663185],0
d5,1,0.083188,3.00149,[297  53] ; [36 12],[292.83919598  57.16080402] ; [40.16080402  7.83919598],0
b2,1,0.109908,2.555547,[ 89 130] ; [ 7 21],[ 85.11740891 133.88259109] ; [10.88259109 17.11740891],0
b3,1,0.109908,2.555547,[ 89 130] ; [ 7 21],[ 85.11740891 133.88259109] ; [10.88259109 17.11740891],0
p12,1,0.176513,1.826745,[ 45 306] ; [ 3 46],[ 42.12 308.88] ; [ 5.88 43.12],0
b5,1,0.217297,1.522134,[212 140] ; [34 15],[215.94014963 136.05985037] ; [30.05985037 18.94014963],0
b1,1,0.281533,1.159675,[130 222] ; [22 27],[133.42643392 218.57356608] ; [18.57356608 30.42643392],0
d1,1,0.294689,1.098076,[235 117] ; [29 20],[231.74064838 120.25935162] ; [32.25935162 16.74064838],0
v1,1,0.296207,1.091192,[206 136] ; [24 22],[202.73195876 139.26804124] ; [27.26804124 18.73195876],0
p1,1,0.358036,0.844769,[ 36 314] ; [ 3 46],[ 34.21052632 315.78947368] ; [ 4.78947368 44.21052632],0
n2,1,0.405168,0.692935,[54 15] ; [14  2],[55.2 13.8] ; [12.8  3.2],0
a7,1,0.412562,0.671406,[262  88] ; [34 15],[259.64912281  90.35087719] ; [36.35087719 12.64912281],0
v4,1,0.432671,0.615643,[343   8] ; [46  2],[342.20300752   8.79699248] ; [46.79699248  1.20300752],0
r2,1,0.509002,0.436118,[341   9] ; [45  2],[340.302267   9.697733] ; [45.697733  1.302267],0
d3,1,0.613764,0.25473,[251 100] ; [36 12],[252.47368421  98.52631579] ; [34.52631579 13.47368421],0
a8,1,0.620658,0.244944,[ 53 274] ; [ 6 39],[ 51.86290323 275.13709677] ; [ 7.13709677 37.86290323],0
n1,1,0.662813,0.190125,[30 39] ; [ 6 10],[29.22352941 39.77647059] ; [6.77647059 9.22352941],0
s4,1,0.681653,0.168271,[ 83 265] ; [13 36],[ 84.1511335 263.8488665] ; [11.8488665 37.1511335],0
r3,1,0.725993,0.122822,[340  11] ; [47  2],[339.5925  11.4075] ; [47.4075  1.5925],0
b4,1,0.733405,0.116008,[203 149] ; [27 22],[201.89526185 150.10473815] ; [28.10473815 20.89526185],0
s3,1,0.76147,0.092143,[310  41] ; [44  5],[310.635  40.365] ; [43.365  5.635],0
d4,1,0.864647,0.029057,[304  47] ; [42  6],[304.37593985  46.62406015] ; [41.62406015  6.37593985],0
a1,1,0.901092,0.015446,[ 20 332] ; [ 3 46],[ 20.18952618 331.81047382] ; [ 2.81047382 46.18952618],0
s1,1,0.962202,0.002246,[ 14 334] ; [ 2 46],[ 14.06060606 333.93939394] ; [ 1.93939394 46.06060606],0
a6,1,0.968614,0.001548,[235 116] ; [32 16],[234.87969925 116.12030075] ; [32.12030075 15.87969925],0
n3,1,0.975848,0.000917,[52 17] ; [12  4],[51.95294118 17.04705882] ; [12.04705882  3.95294118],0
