Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.003859,8.348794,[10  4] ; [ 5 17],[5.83333333 8.16666667] ; [ 9.16666667 12.83333333],0
p3,1,0.005735,7.63183,[8 6] ; [ 3 19],[4.27777778 9.72222222] ; [ 6.72222222 15.27777778],0
n5,1,0.007832,7.071429,[13  1] ; [11 11],[9.33333333 4.66666667] ; [14.66666667  7.33333333],0
a5,1,0.02964,4.730053,[12  2] ; [11 11],[8.94444444 5.05555556] ; [14.05555556  7.94444444],0
p2,1,0.040572,4.193787,[11  2] ; [11 11],[8.17142857 4.82857143] ; [13.82857143  8.17142857],0
p5,1,0.042145,4.129367,[ 4 10] ; [ 1 21],[ 1.94444444 12.05555556] ; [ 3.05555556 18.94444444],0
p8,1,0.045563,3.997669,[8 6] ; [ 5 16],[5.2 8.8] ; [ 7.8 13.2],0
p9,1,0.05085,3.813203,[12  1] ; [13  8],[9.55882353 3.44117647] ; [15.44117647  5.55882353],0
p10,1,0.070156,3.279366,[11  2] ; [12 10],[8.54285714 4.45714286] ; [14.45714286  7.54285714],0
d3,1,0.073753,3.197459,[10  4] ; [ 9 13],[7.38888889 6.61111111] ; [11.61111111 10.38888889],0
b3,1,0.080824,3.048259,[1 9] ; [6 8],[2.91666667 7.08333333] ; [4.08333333 9.91666667],0
b2,1,0.080824,3.048259,[1 9] ; [6 8],[2.91666667 7.08333333] ; [4.08333333 9.91666667],0
p6,1,0.091031,2.856044,[5 8] ; [ 3 19],[ 2.97142857 10.02857143] ; [ 5.02857143 16.97142857],0
u2,1,0.09769,2.742857,[3 2] ; [1 6],[1.66666667 3.33333333] ; [2.33333333 4.66666667],0
r2,1,0.128822,2.306645,[5 9] ; [13  8],[7.2 6.8] ; [10.8 10.2],0
r3,1,0.14298,2.145594,[10  4] ; [19  2],[11.6  2.4] ; [17.4  3.6],0
n4,1,0.143442,2.140642,[11  3] ; [12 10],[8.94444444 5.05555556] ; [14.05555556  7.94444444],0
r4,1,0.226765,1.461039,[ 3 11] ; [ 9 13],[4.66666667 9.33333333] ; [ 7.33333333 14.66666667],0
v1,1,0.23437,1.414141,[6 8] ; [ 5 16],[4.4 9.6] ; [ 6.6 14.4],0
s6,1,0.267783,1.22807,[8 6] ; [ 8 13],[6.4 7.6] ; [ 9.6 11.4],0
a7,1,0.269887,1.217321,[5 9] ; [12 10],[6.61111111 7.38888889] ; [10.38888889 11.61111111],0
a4,1,0.275313,1.190083,[7 7] ; [ 7 15],[5.44444444 8.55555556] ; [ 8.55555556 13.44444444],0
s4,1,0.296715,1.088898,[ 3 11] ; [ 2 20],[ 1.94444444 12.05555556] ; [ 3.05555556 18.94444444],0
s8,1,0.33355,0.935065,[6 8] ; [ 6 16],[4.66666667 9.33333333] ; [ 7.33333333 14.66666667],0
s7,1,0.353588,0.860537,[3 9] ; [ 9 13],[4.23529412 7.76470588] ; [ 7.76470588 14.23529412],0
d2,1,0.400394,0.707143,[9 5] ; [11 11],[7.77777778 6.22222222] ; [12.22222222  9.77777778],0
b5,1,0.400394,0.707143,[9 5] ; [11 11],[7.77777778 6.22222222] ; [12.22222222  9.77777778],0
a6,1,0.494125,0.467532,[8 6] ; [10 12],[7. 7.] ; [11. 11.],0
u1,1,0.5456,0.36526,[ 1 13] ; [ 3 19],[ 1.55555556 12.44444444] ; [ 2.44444444 19.55555556],0
r1,1,0.59256,0.286364,[7 7] ; [ 9 13],[6.22222222 7.77777778] ; [ 9.77777778 12.22222222],0
s2,1,0.598901,0.276657,[4 9] ; [ 5 17],[3.34285714 9.65714286] ; [ 5.65714286 16.34285714],0
n2,1,0.621014,0.244444,[2 1] ; [4 4],[1.63636364 1.36363636] ; [4.36363636 3.63636364],0
n1,1,0.621014,0.244444,[1 2] ; [4 4],[1.36363636 1.63636364] ; [3.63636364 4.36363636],0
a2,1,0.628745,0.233766,[ 2 12] ; [ 2 20],[ 1.55555556 12.44444444] ; [ 2.44444444 19.55555556],0
v2,1,0.67558,0.175144,[8 6] ; [11 11],[7.38888889 6.61111111] ; [11.61111111 10.38888889],0
s3,1,0.686254,0.16317,[5 8] ; [10 12],[5.57142857 7.42857143] ; [ 9.42857143 12.57142857],0
d5,1,0.693012,0.155844,[10  4] ; [17  5],[10.5  3.5] ; [16.5  5.5],0
b4,1,0.693012,0.155844,[10  4] ; [17  5],[10.5  3.5] ; [16.5  5.5],0
u3,1,0.735317,0.114286,[1 4] ; [2 5],[1.25 3.75] ; [1.75 5.25],0
b1,1,0.789993,0.070926,[7 7] ; [10 12],[6.61111111 7.38888889] ; [10.38888889 11.61111111],0
a3,1,0.808976,0.058442,[9 5] ; [15  7],[9.33333333 4.66666667] ; [14.66666667  7.33333333],0
d4,1,0.810366,0.057578,[11  3] ; [18  4],[11.27777778  2.72222222] ; [17.72222222  4.27777778],0
v3,1,0.810366,0.057578,[ 3 11] ; [ 4 18],[ 2.72222222 11.27777778] ; [ 4.27777778 17.72222222],0
p1,1,0.836664,0.042503,[ 1 13] ; [ 2 20],[ 1.16666667 12.83333333] ; [ 1.83333333 20.16666667],0
s5,1,0.869467,0.027006,[ 3 11] ; [ 5 16],[ 3.2 10.8] ; [ 4.8 16.2],0
n6,1,0.98101,0.000567,[10  3] ; [17  5],[10.02857143  2.97142857] ; [16.97142857  5.02857143],0
a8,1,1.0,0.0,[2 9] ; [ 4 18],[2. 9.] ; [ 4. 18.],0
d1,1,1.0,0.0,[7 7] ; [11 11],[7. 7.] ; [11. 11.],0
