Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,159.729958,[ 33 210] ; [167  70],[101.25 141.75] ; [ 98.75 138.25],1
d3,1,0.0,139.764066,[ 90 152] ; [214  26],[152.63070539  89.36929461] ; [151.36929461  88.63070539],1
d5,1,0.0,133.537353,[126 118] ; [234   6],[181.48760331  62.51239669] ; [178.51239669  61.48760331],1
d4,1,0.0,124.706563,[136 107] ; [235   3],[187.42827443  55.57172557] ; [183.57172557  54.42827443],1
a4,1,0.0,68.94041,[ 53 188] ; [142  98],[ 97.7027027 143.2972973] ; [ 97.2972973 142.7027027],1
a2,1,0.0,68.444216,[ 12 232] ; [ 84 157],[ 48.29690722 195.70309278] ; [ 47.70309278 193.29690722],1
u1,1,0.0,50.747588,[  5 239] ; [ 57 184],[ 31.19175258 212.80824742] ; [ 30.80824742 210.19175258],1
a5,1,0.0,39.967247,[125 118] ; [190  51],[158.15082645  84.84917355] ; [156.84917355  84.15082645],1
a3,1,0.0,37.813951,[119 121] ; [184  56],[151.5  88.5] ; [151.5  88.5],1
a6,1,1e-06,24.315741,[137 106] ; [186  54],[162.50310559  80.49689441] ; [160.49689441  79.50310559],1
r1,1,3.5e-05,17.111982,[154  89] ; [192  47],[174.43568465  68.56431535] ; [171.56431535  67.43568465],1
v2,1,5.3e-05,16.35093,[ 95 137] ; [138  93],[116.75161987 115.24838013] ; [116.24838013 114.75161987],1
a7,1,0.000185,13.972721,[152  90] ; [188  52],[170.70539419  71.29460581] ; [169.29460581  70.70539419],1
r4,1,0.005607,7.672459,[183  61] ; [205  36],[195.2  48.8] ; [192.8  48.2],0
s7,1,0.006003,7.549512,[ 39 189] ; [ 64 166],[ 51.27510917 176.72489083] ; [ 51.72489083 178.27510917],0
p4,1,0.00697,7.280804,[101 139] ; [129 108],[115.72327044 124.27672956] ; [114.27672956 122.72327044],0
r2,1,0.007067,7.255895,[207  33] ; [222  15],[215.8490566  24.1509434] ; [213.1509434  23.8490566],0
