Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1.1e-05,19.410244,[37 90] ; [32 17],[49.78977273 77.21022727] ; [19.21022727 29.78977273],1
p4,1,1.1e-05,19.337736,[44 83] ; [35 14],[57.00568182 69.99431818] ; [21.99431818 27.00568182],1
p7,1,0.001053,10.731488,[61 64] ; [36 11],[70.49418605 54.50581395] ; [26.50581395 20.49418605],0
s7,1,0.001324,10.308737,[36 88] ; [27 22],[45.15606936 78.84393064] ; [17.84393064 31.15606936],0
a2,1,0.001353,10.269332,[ 12 115] ; [14 35],[ 18.76136364 108.23863636] ; [ 7.23863636 41.76136364],0
s4,1,0.005696,7.644058,[ 20 107] ; [17 32],[ 26.69886364 100.30113636] ; [10.30113636 38.69886364],0
u3,1,0.005934,7.570256,[24 24] ; [12  1],[28.32786885 19.67213115] ; [7.67213115 5.32786885],0
a5,1,0.01356,6.094578,[79 48] ; [40  9],[85.86931818 41.13068182] ; [33.13068182 15.86931818],0
r4,1,0.01687,5.709846,[104  23] ; [47  2],[108.96022727  18.03977273] ; [42.03977273  6.96022727],0
p1,1,0.020557,5.363925,[  7 118] ; [ 8 40],[ 10.83815029 114.16184971] ; [ 4.16184971 43.83815029],0
a4,1,0.021371,5.296309,[41 86] ; [25 24],[47.625 79.375] ; [18.375 30.625],0
s8,1,0.027938,4.8319,[42 85] ; [25 24],[48.34659091 78.65340909] ; [18.65340909 30.34659091],0
u1,1,0.044359,4.042835,[ 10 117] ; [ 9 40],[ 13.71022727 113.28977273] ; [ 5.28977273 43.71022727],0
d2,1,0.046107,3.977666,[44 83] ; [25 24],[49.78977273 77.21022727] ; [19.21022727 29.78977273],0
u2,1,0.046205,3.974106,[26 22] ; [11  2],[29.1147541 18.8852459] ; [7.8852459 5.1147541],0
b1,1,0.054542,3.696028,[33 94] ; [20 29],[38.24431818 88.75568182] ; [14.75568182 34.24431818],0
s6,1,0.055989,3.652377,[72 54] ; [35 13],[77.48275862 48.51724138] ; [29.51724138 18.48275862],0
s2,1,0.058413,3.581871,[52 74] ; [28 21],[57.6 68.4] ; [22.4 26.6],0
s5,1,0.069849,3.286568,[33 87] ; [19 26],[37.81818182 82.18181818] ; [14.18181818 30.81818182],0
d1,1,0.074939,3.171375,[64 63] ; [32 17],[69.27272727 57.72727273] ; [26.72727273 22.27272727],0
n6,1,0.077265,3.121516,[80 47] ; [37 11],[84.90857143 42.09142857] ; [32.09142857 15.90857143],0
n4,1,0.098956,2.722295,[45 82] ; [24 25],[49.78977273 77.21022727] ; [19.21022727 29.78977273],0
p12,1,0.107446,2.591397,[  5 122] ; [ 5 44],[  7.21590909 119.78409091] ; [ 2.78409091 46.21590909],0
d3,1,0.112068,2.524812,[91 36] ; [40  8],[95.06857143 31.93142857] ; [35.93142857 12.06857143],0
r2,1,0.121987,2.391626,[115  11] ; [47  1],[117.31034483   8.68965517] ; [44.68965517  3.31034483],0
a3,1,0.124856,2.355322,[77 49] ; [36 13],[81.36 44.64] ; [31.64 17.36],0
p8,1,0.132091,2.267758,[51 75] ; [26 23],[55.44 70.56] ; [21.56 27.44],0
v4,1,0.146262,2.110807,[115  10] ; [48  1],[117.09770115   7.90229885] ; [45.90229885  3.09770115],0
d5,1,0.194158,1.685781,[94 33] ; [40  8],[97.24571429 29.75428571] ; [36.75428571 11.24571429],0
r3,1,0.194948,1.679825,[118   9] ; [48  1],[119.78409091   7.21590909] ; [46.21590909  2.78409091],0
a6,1,0.250883,1.318378,[79 48] ; [35 14],[82.26136364 44.73863636] ; [31.73863636 17.26136364],0
a1,1,0.253928,1.301564,[  5 122] ; [ 4 45],[  6.49431818 120.50568182] ; [ 2.50568182 46.49431818],0
v1,1,0.282496,1.155044,[45 77] ; [22 26],[48.08235294 73.91764706] ; [18.91764706 29.08235294],0
d4,1,0.347147,0.88386,[104  23] ; [43  6],[106.07386364  20.92613636] ; [40.92613636  8.07386364],0
p10,1,0.398114,0.714016,[104  22] ; [43  6],[105.84  20.16] ; [41.16  7.84],0
b4,1,0.446443,0.579668,[75 52] ; [32 17],[77.21022727 49.78977273] ; [29.78977273 19.21022727],0
b5,1,0.465039,0.533739,[78 49] ; [33 16],[80.09659091 46.90340909] ; [30.90340909 18.09659091],0
n1,1,0.4795,0.5,[ 7 25] ; [ 5 11],[ 8. 24.] ; [ 4. 12.],0
a8,1,0.526326,0.40148,[ 11 103] ; [ 3 43],[  9.975 104.025] ; [ 4.025 41.975],0
b2,1,0.529545,0.395265,[21 46] ; [11 18],[22.33333333 44.66666667] ; [ 9.66666667 19.33333333],0
b3,1,0.529545,0.395265,[21 46] ; [11 18],[22.33333333 44.66666667] ; [ 9.66666667 19.33333333],0
v2,1,0.626319,0.237085,[59 59] ; [26 22],[60.42168675 57.57831325] ; [24.57831325 23.42168675],0
s3,1,0.754916,0.097447,[64 60] ; [24 25],[63.07514451 60.92485549] ; [24.92485549 24.07514451],0
s1,1,0.760053,0.093276,[  4 123] ; [ 2 47],[  4.32954545 122.67045455] ; [ 1.67045455 47.32954545],0
n2,1,0.831013,0.045541,[21 11] ; [10  6],[20.66666667 11.33333333] ; [10.33333333  5.66666667],0
p11,1,0.838586,0.041495,[94 33] ; [37 12],[94.52840909 32.47159091] ; [36.47159091 12.52840909],0
a7,1,0.862046,0.030196,[99 28] ; [38 10],[99.42285714 27.57714286] ; [37.57714286 10.42285714],0
v3,1,0.865413,0.028726,[31 87] ; [12 36],[30.56626506 87.43373494] ; [12.43373494 35.56626506],0
r1,1,0.90117,0.015421,[94 32] ; [37 12],[94.32 31.68] ; [36.68 12.32],0
p5,1,0.94605,0.004579,[  8 117] ; [ 3 46],[  7.90229885 117.09770115] ; [ 3.09770115 45.90229885],0
p2,1,0.99601,2.5e-05,[102  23] ; [40  9],[102.01149425  22.98850575] ; [39.98850575  9.01149425],0
n3,1,1.0,0.0,[24  8] ; [12  4],[24.  8.] ; [12.  4.],0
