Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,32.150871,[49 34] ; [77  3],[64.1595092 18.8404908] ; [61.8404908 18.1595092],1
v4,1,0.0,30.640013,[52 31] ; [78  2],[66.19631902 16.80368098] ; [63.80368098 16.19631902],1
r2,1,0.0,30.390382,[41 36] ; [73  6],[56.26923077 20.73076923] ; [57.73076923 21.26923077],1
p10,1,3.2e-05,17.279931,[39 42] ; [63 16],[51.6375 29.3625] ; [50.3625 28.6375],1
n6,1,3.8e-05,16.951243,[46 37] ; [68 12],[58.04907975 24.95092025] ; [55.95092025 24.04907975],1
p9,1,0.000265,13.303009,[47 33] ; [67 12],[57.35849057 22.64150943] ; [56.64150943 22.35849057],1
n2,1,0.001914,9.630708,[18 15] ; [23  2],[23.32758621  9.67241379] ; [17.67241379  7.32758621],0
b1,1,0.002649,9.035005,[48 36] ; [27 53],[38.41463415 45.58536585] ; [36.58536585 43.41463415],0
s6,1,0.008348,6.957312,[28 56] ; [43 37],[36.36585366 47.63414634] ; [34.63414634 45.36585366],0
p11,1,0.017178,5.678101,[47 37] ; [59 21],[54.29268293 29.70731707] ; [51.70731707 28.29268293],0
s5,1,0.025227,5.008204,[12 68] ; [23 54],[17.8343949 62.1656051] ; [17.1656051 59.8343949],0
a7,1,0.030693,4.67003,[39 45] ; [50 29],[45.86503067 38.13496933] ; [43.13496933 35.86503067],0
s8,1,0.043086,4.092008,[14 70] ; [24 56],[19.46341463 64.53658537] ; [18.53658537 61.46341463],0
s2,1,0.063676,3.438957,[26 58] ; [36 44],[31.75609756 52.24390244] ; [30.24390244 49.75609756],0
b5,1,0.065634,3.388975,[46 38] ; [55 25],[51.73170732 32.26829268] ; [49.26829268 30.73170732],0
p2,1,0.093645,2.810574,[51 32] ; [59 21],[56.01226994 26.98773006] ; [53.98773006 26.01226994],0
a6,1,0.109528,2.56102,[41 43] ; [49 31],[46.09756098 37.90243902] ; [43.90243902 36.09756098],0
v2,1,0.122352,2.386948,[28 55] ; [18 61],[23.56790123 59.43209877] ; [22.43209877 56.56790123],0
p4,1,0.122715,2.382325,[34 50] ; [42 38],[38.92682927 45.07317073] ; [37.07317073 42.92682927],0
p7,1,0.137074,2.210502,[34 48] ; [42 37],[38.70807453 43.29192547] ; [37.29192547 41.70807453],0
p3,1,0.139185,2.18695,[26 57] ; [34 46],[30.55214724 52.44785276] ; [29.44785276 50.55214724],0
d5,1,0.13934,2.18523,[48 36] ; [54 25],[52.56441718 31.43558282] ; [49.43558282 29.56441718],0
u3,1,0.166451,1.914618,[14 28] ; [18 19],[17.01265823 24.98734177] ; [14.98734177 22.01265823],0
p12,1,0.22665,1.461764,[ 2 81] ; [ 5 75],[ 3.56441718 79.43558282] ; [ 3.43558282 76.56441718],0
n1,1,0.255045,1.295455,[ 9 24] ; [10 14],[11. 22.] ; [ 8. 16.],0
n3,1,0.25766,1.281289,[19 14] ; [18  7],[21.05172414 11.94827586] ; [15.94827586  9.05172414],0
b4,1,0.260878,1.26409,[42 42] ; [47 33],[45.58536585 38.41463415] ; [43.41463415 36.58536585],0
a5,1,0.268851,1.2226,[40 44] ; [45 35],[43.53658537 40.46341463] ; [41.46341463 38.53658537],0
p6,1,0.273322,1.2,[17 63] ; [23 57],[20. 60.] ; [20. 60.],0
u2,1,0.289495,1.121968,[17 26] ; [19 18],[19.35 23.65] ; [16.65 20.35],0
a4,1,0.310447,1.028773,[21 62] ; [26 54],[23.93251534 59.06748466] ; [23.06748466 56.93251534],0
a2,1,0.337528,0.919797,[ 5 79] ; [ 8 72],[ 6.65853659 77.34146341] ; [ 6.34146341 73.65853659],0
a8,1,0.344835,0.892374,[ 6 75] ; [ 9 67],[ 7.7388535 73.2611465] ; [ 7.2611465 68.7388535],0
p8,1,0.349603,0.874899,[27 55] ; [32 48],[29.86419753 52.13580247] ; [29.13580247 50.86419753],0
s3,1,0.35252,0.864364,[31 51] ; [36 44],[33.91358025 48.08641975] ; [33.08641975 46.91358025],0
d2,1,0.445458,0.582182,[31 52] ; [25 54],[28.69135802 54.30864198] ; [27.30864198 51.69135802],0
p1,1,0.491658,0.472896,[ 5 79] ; [ 7 73],[ 6.14634146 77.85365854] ; [ 5.85365854 74.14634146],0
p5,1,0.511766,0.430455,[ 6 77] ; [ 8 71],[ 7.17283951 75.82716049] ; [ 6.82716049 72.17283951],0
d1,1,0.544986,0.366377,[30 54] ; [25 55],[28.17073171 55.82926829] ; [26.82926829 53.17073171],0
s4,1,0.555765,0.34709,[20 64] ; [16 64],[18.43902439 65.56097561] ; [17.56097561 62.43902439],0
u1,1,0.56648,0.328609,[ 6 78] ; [ 4 76],[ 5.12195122 78.87804878] ; [ 4.87804878 75.12195122],0
a3,1,0.578316,0.308965,[41 42] ; [43 37],[42.77300613 40.22699387] ; [41.22699387 38.77300613],0
d3,1,0.6427,0.215229,[39 44] ; [40 39],[40.47530864 42.52469136] ; [38.52469136 40.47530864],0
v1,1,0.675522,0.17521,[25 55] ; [22 56],[23.79746835 56.20253165] ; [23.20253165 54.79746835],0
d4,1,0.688606,0.160599,[51 33] ; [51 29],[52.24390244 31.75609756] ; [49.75609756 30.24390244],0
s7,1,0.700662,0.147784,[22 57] ; [23 52],[23.08441558 55.91558442] ; [21.91558442 53.08441558],0
s1,1,0.788939,0.071657,[ 5 79] ; [ 4 76],[ 4.6097561 79.3902439] ; [ 4.3902439 75.6097561],0
n4,1,0.834925,0.043426,[48 36] ; [47 33],[48.65853659 35.34146341] ; [46.34146341 33.65853659],0
b2,1,0.840125,0.040696,[16 36] ; [13 32],[15.54639175 36.45360825] ; [13.45360825 31.54639175],0
b3,1,0.840125,0.040696,[16 36] ; [13 32],[15.54639175 36.45360825] ; [13.45360825 31.54639175],0
n5,1,0.878725,0.023282,[53 30] ; [52 28],[53.46625767 29.53374233] ; [51.53374233 28.46625767],0
a1,1,0.930045,0.007707,[ 6 78] ; [ 6 74],[ 6.14634146 77.85365854] ; [ 5.85365854 74.14634146],0
