Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,46.115949,[ 1 71] ; [61 67],[22.32 49.68] ; [39.68 88.32],1
d3,1,0.0,28.814911,[23 49] ; [91 37],[41.04 30.96] ; [72.96 55.04],1
d4,1,3e-06,21.979818,[34 38] ; [101  26],[48.84422111 23.15577889] ; [86.15577889 40.84422111],1
p2,1,0.002729,8.980131,[48 24] ; [107  19],[56.36363636 15.63636364] ; [98.63636364 27.36363636],0
p4,1,0.005081,7.850211,[24 46] ; [70 57],[33.40101523 36.59898477] ; [60.59898477 66.40101523],0
a7,1,0.007007,7.271237,[39 33] ; [92 34],[47.63636364 24.36363636] ; [83.36363636 42.63636364],0
a4,1,0.007314,7.194202,[ 8 64] ; [35 93],[15.48 56.52] ; [ 27.52 100.48],0
a3,1,0.014687,5.953631,[27 45] ; [71 57],[35.28 36.72] ; [62.72 65.28],0
p3,1,0.017649,5.630614,[19 53] ; [55 72],[26.77386935 45.22613065] ; [47.22613065 79.77386935],0
r3,1,0.019685,5.439644,[66  6] ; [125   2],[69.10552764  2.89447236] ; [121.89447236   5.10552764],0
a6,1,0.026348,4.933061,[31 41] ; [76 52],[38.52 33.48] ; [68.48 59.52],0
v3,1,0.028736,4.783361,[16 54] ; [47 76],[22.84974093 47.15025907] ; [40.15025907 82.84974093],0
p10,1,0.037572,4.324316,[48 23] ; [101  24],[53.9744898 17.0255102] ; [95.0255102 29.9744898],0
v2,1,0.048091,3.906802,[26 40] ; [67 56],[32.47619048 33.52380952] ; [60.52380952 62.47619048],0
p8,1,0.050096,3.838234,[28 43] ; [68 58],[34.59898477 36.40101523] ; [61.40101523 64.59898477],0
s7,1,0.05186,3.780295,[18 51] ; [50 75],[24.18556701 44.81443299] ; [43.81443299 81.18556701],0
n4,1,0.056306,3.642987,[41 30] ; [91 37],[47.09547739 23.90452261] ; [84.90452261 43.09547739],0
v1,1,0.0742,3.187564,[25 46] ; [60 64],[30.94871795 40.05128205] ; [54.05128205 69.94871795],0
r1,1,0.093211,2.818027,[42 30] ; [89 38],[47.39698492 24.60301508] ; [83.60301508 43.39698492],0
r4,1,0.102019,2.673693,[56 16] ; [111  17],[60.12 11.88] ; [106.88  21.12],0
p9,1,0.105465,2.620887,[53 18] ; [106  20],[57.30456853 13.69543147] ; [101.69543147  24.30456853],0
r2,1,0.108858,2.570723,[61 10] ; [118   9],[64.18686869  6.81313131] ; [114.81313131  12.18686869],0
p6,1,0.119124,2.428803,[19 51] ; [47 76],[23.93782383 46.06217617] ; [42.06217617 80.93782383],0
s2,1,0.124663,2.357734,[25 46] ; [59 68],[30.12121212 40.87878788] ; [53.87878788 73.12121212],0
