Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,25.878183,[42 30] ; [ 6 43],[28.56198347 43.43801653] ; [19.43801653 29.56198347],1
a3,1,5e-06,21.035535,[55 17] ; [17 32],[42.84297521 29.15702479] ; [29.15702479 19.84297521],1
a6,1,0.000248,13.429881,[52 21] ; [19 31],[42.13821138 30.86178862] ; [28.86178862 21.13821138],1
d2,1,0.000713,11.45423,[42 29] ; [14 36],[32.85950413 38.14049587] ; [23.14049587 26.85950413],1
d5,1,0.00331,8.628232,[54 19] ; [24 26],[46.29268293 26.70731707] ; [31.70731707 18.29268293],0
d1,1,0.004209,8.191363,[41 32] ; [15 35],[33.23577236 39.76422764] ; [22.76422764 27.23577236],0
n5,1,0.010815,6.495467,[53 19] ; [25 24],[46.41322314 25.58677686] ; [31.58677686 17.41322314],0
a7,1,0.014846,5.93466,[49 23] ; [23 27],[42.49180328 29.50819672] ; [29.50819672 20.49180328],0
d3,1,0.022753,5.187281,[43 30] ; [19 31],[36.79674797 36.20325203] ; [25.20325203 24.79674797],0
s5,1,0.036669,4.365725,[14 56] ; [ 3 45],[10.08474576 59.91525424] ; [ 6.91525424 41.08474576],0
d4,1,0.047132,3.940685,[56 17] ; [30 20],[51.04065041 21.95934959] ; [34.95934959 15.04065041],0
s7,1,0.073414,3.204988,[18 51] ; [ 6 42],[14.15384615 54.84615385] ; [ 9.84615385 38.15384615],0
s1,1,0.103554,2.649931,[ 3 69] ; [ 6 44],[ 5.31147541 66.68852459] ; [ 3.68852459 46.31147541],0
b3,1,0.131325,2.276771,[24 27] ; [ 9 21],[20.77777778 30.22222222] ; [12.22222222 17.77777778],0
b2,1,0.131325,2.276771,[24 27] ; [ 9 21],[20.77777778 30.22222222] ; [12.22222222 17.77777778],0
s3,1,0.138997,2.189026,[17 56] ; [ 6 42],[13.87603306 59.12396694] ; [ 9.12396694 38.87603306],0
u3,1,0.146959,2.103535,[ 6 12] ; [18 15],[8.47058824 9.52941176] ; [15.52941176 17.47058824],0
s8,1,0.148647,2.086077,[16 56] ; [ 6 44],[12.98360656 59.01639344] ; [ 9.01639344 40.98360656],0
n4,1,0.174695,1.842186,[49 23] ; [28 22],[45.44262295 26.55737705] ; [31.55737705 18.44262295],0
p6,1,0.177228,1.82072,[ 6 66] ; [ 8 41],[ 8.33057851 63.66942149] ; [ 5.66942149 43.33057851],0
p10,1,0.229841,1.441847,[35 37] ; [18 30],[31.8 40.2] ; [21.2 26.8],0
v2,1,0.232994,1.422492,[30 40] ; [15 32],[26.92307692 43.07692308] ; [18.07692308 28.92307692],0
p5,1,0.234382,1.41407,[ 7 65] ; [ 2 48],[ 5.31147541 66.68852459] ; [ 3.68852459 46.31147541],0
a1,1,0.245279,1.349994,[ 9 64] ; [ 3 47],[ 7.12195122 65.87804878] ; [ 4.87804878 45.12195122],0
r1,1,0.24752,1.337249,[45 27] ; [26 24],[41.90163934 30.09836066] ; [29.09836066 20.90163934],0
p9,1,0.264545,1.244816,[35 35] ; [19 29],[32.03389831 37.96610169] ; [21.96610169 26.03389831],0
a8,1,0.33473,0.930512,[ 8 60] ; [ 3 44],[ 6.50434783 61.49565217] ; [ 4.49565217 42.50434783],0
p12,1,0.337152,0.921229,[ 4 69] ; [ 1 49],[ 2.96747967 70.03252033] ; [ 2.03252033 47.96747967],0
b5,1,0.343256,0.898234,[36 37] ; [29 21],[38.57723577 34.42276423] ; [26.42276423 23.57723577],0
p1,1,0.343828,0.896105,[ 8 65] ; [ 3 47],[ 6.52845528 66.47154472] ; [ 4.47154472 45.52845528],0
r3,1,0.364659,0.821784,[53 19] ; [33 17],[50.75409836 21.24590164] ; [35.24590164 14.75409836],0
n3,1,0.37324,0.792848,[14 14] ; [12  7],[15.4893617 12.5106383] ; [10.5106383  8.4893617],0
b4,1,0.470439,0.520945,[39 34] ; [30 20],[40.95121951 32.04878049] ; [28.04878049 21.95121951],0
p3,1,0.470955,0.519734,[20 52] ; [11 39],[18.29508197 53.70491803] ; [12.70491803 37.29508197],0
v4,1,0.500384,0.454122,[53 19] ; [34 16],[51.3442623 20.6557377] ; [35.6557377 14.3442623],0
u2,1,0.623298,0.241259,[ 7 10] ; [16 17],[7.82 9.18] ; [15.18 17.82],0
s4,1,0.650438,0.205349,[ 9 62] ; [ 5 45],[ 8.21487603 62.78512397] ; [ 5.78512397 44.21487603],0
b1,1,0.658648,0.19517,[38 35] ; [24 26],[36.79674797 36.20325203] ; [25.20325203 24.79674797],0
p8,1,0.730905,0.118283,[14 58] ; [11 39],[14.75409836 57.24590164] ; [10.24590164 39.75409836],0
p11,1,0.760154,0.093195,[33 40] ; [24 26],[33.82926829 39.17073171] ; [23.17073171 26.82926829],0
u4,1,0.786076,0.073664,[ 1 72] ; [ 1 49],[ 1.18699187 71.81300813] ; [ 0.81300813 49.18699187],0
n2,1,0.789065,0.07157,[19 13] ; [12  7],[19.45098039 12.54901961] ; [11.54901961  7.45098039],0
v3,1,0.827144,0.047684,[21 48] ; [14 35],[20.46610169 48.53389831] ; [14.53389831 34.46610169],0
r4,1,0.847154,0.037153,[44 29] ; [31 19],[44.51219512 28.48780488] ; [30.48780488 19.51219512],0
v1,1,0.850774,0.035393,[16 55] ; [12 38],[16.42975207 54.57024793] ; [11.57024793 38.42975207],0
n1,1,0.879192,0.023102,[14 17] ; [ 9 10],[14.26 16.74] ; [ 8.74 10.26],0
p7,1,0.895241,0.017339,[17 54] ; [12 36],[17.30252101 53.69747899] ; [11.69747899 36.30252101],0
s6,1,0.920936,0.009851,[21 51] ; [15 35],[21.24590164 50.75409836] ; [14.75409836 35.24590164],0
n6,1,0.928876,0.007967,[46 25] ; [32 18],[45.76859504 25.23140496] ; [32.23140496 17.76859504],0
p4,1,0.928886,0.007965,[16 56] ; [11 37],[16.2 55.8] ; [10.8 37.2],0
r2,1,0.948141,0.00423,[56 13] ; [40  9],[56.13559322 12.86440678] ; [39.86440678  9.13559322],0
