Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.000142,14.481436,[24 13] ; [ 1 14],[17.78846154 19.21153846] ; [7.21153846 7.78846154],1
a5,1,0.016188,5.782343,[27 12] ; [ 5 10],[23.11111111 15.88888889] ; [8.88888889 6.11111111],0
d5,1,0.031012,4.652308,[32  7] ; [8 7],[28.88888889 10.11111111] ; [11.11111111  3.88888889],0
p9,1,0.032016,4.597627,[30  9] ; [7 8],[26.72222222 12.27777778] ; [10.27777778  4.72222222],0
v2,1,0.05152,3.791296,[25 13] ; [5 9],[21.92307692 16.07692308] ; [8.07692308 5.92307692],0
d4,1,0.089576,2.881974,[32  7] ; [9 6],[29.61111111  9.38888889] ; [11.38888889  3.61111111],0
s7,1,0.107128,2.596091,[16 22] ; [10  5],[18.64150943 19.35849057] ; [7.35849057 7.64150943],0
s8,1,0.10787,2.585158,[17 22] ; [ 3 12],[14.44444444 24.55555556] ; [5.55555556 9.44444444],0
d3,1,0.124064,2.365249,[27 12] ; [7 8],[24.55555556 14.44444444] ; [9.44444444 5.55555556],0
u2,1,0.142117,2.154882,[5 7] ; [6 2],[6.6 5.4] ; [4.4 3.6],0
n1,1,0.204008,1.613445,[ 6 10] ; [1 7],[ 4.66666667 11.33333333] ; [2.33333333 5.66666667],0
s3,1,0.225672,1.467933,[21 17] ; [11  4],[22.94339623 15.05660377] ; [9.05660377 5.94339623],0
a3,1,0.242818,1.364161,[25 14] ; [7 8],[23.11111111 15.88888889] ; [8.88888889 6.11111111],0
d1,1,0.253212,1.305495,[17 22] ; [ 4 11],[15.16666667 23.83333333] ; [5.83333333 9.16666667],0
u3,1,0.284117,1.14729,[5 8] ; [5 3],[6.19047619 6.80952381] ; [3.80952381 4.19047619],0
n6,1,0.30218,1.064548,[26 12] ; [8 7],[24.37735849 13.62264151] ; [9.62264151 5.37735849],0
p8,1,0.313682,1.015107,[11 28] ; [6 8],[12.50943396 26.49056604] ; [4.49056604 9.50943396],0
a6,1,0.322221,0.979912,[24 15] ; [7 8],[22.38888889 16.61111111] ; [8.61111111 6.38888889],0
a4,1,0.336509,0.923684,[13 26] ; [ 3 12],[11.55555556 27.44444444] ; [ 4.44444444 10.55555556],0
r1,1,0.336509,0.923684,[13 26] ; [ 3 12],[11.55555556 27.44444444] ; [ 4.44444444 10.55555556],0
p7,1,0.361499,0.83268,[19 17] ; [10  5],[20.47058824 15.52941176] ; [8.52941176 6.47058824],0
s2,1,0.393456,0.728234,[21 18] ; [10  5],[22.38888889 16.61111111] ; [8.61111111 6.38888889],0
p10,1,0.438716,0.59964,[24 13] ; [8 7],[22.76923077 14.23076923] ; [9.23076923 5.76923077],0
v4,1,0.441502,0.592375,[25 11] ; [12  3],[26.11764706  9.88235294] ; [10.88235294  4.11764706],0
s1,1,0.474601,0.511243,[ 1 38] ; [ 1 14],[ 1.44444444 37.55555556] ; [ 0.55555556 14.44444444],0
p1,1,0.474601,0.511243,[ 1 38] ; [ 1 14],[ 1.44444444 37.55555556] ; [ 0.55555556 14.44444444],0
p2,1,0.504918,0.444585,[31  7] ; [11  4],[30.11320755  7.88679245] ; [11.88679245  3.11320755],0
b5,1,0.519249,0.415385,[27 12] ; [9 6],[26. 13.] ; [10.  5.],0
s5,1,0.523373,0.40724,[11 27] ; [5 8],[11.92156863 26.07843137] ; [4.07843137 8.92156863],0
p4,1,0.564976,0.331162,[19 20] ; [6 9],[18.05555556 20.94444444] ; [6.94444444 8.05555556],0
b1,1,0.564976,0.331162,[19 20] ; [6 9],[18.05555556 20.94444444] ; [6.94444444 8.05555556],0
r2,1,0.635696,0.224416,[20 13] ; [8 7],[19.25 13.75] ; [8.75 6.25],0
n4,1,0.645885,0.211128,[26 13] ; [9 6],[25.27777778 13.72222222] ; [9.72222222 5.27777778],0
n2,1,0.759463,0.09375,[11  5] ; [5 3],[10.66666667  5.33333333] ; [5.33333333 2.66666667],0
n5,1,0.759905,0.093395,[23 14] ; [10  5],[23.48076923 13.51923077] ; [9.51923077 5.48076923],0
p11,1,0.767445,0.087449,[27 12] ; [11  4],[27.44444444 11.55555556] ; [10.55555556  4.44444444],0
n3,1,0.769698,0.085714,[9 7] ; [5 3],[9.33333333 6.66666667] ; [4.66666667 3.33333333],0
d2,1,0.779765,0.07819,[14 25] ; [6 9],[14.44444444 24.55555556] ; [5.55555556 9.44444444],0
r3,1,0.820171,0.051677,[29  9] ; [11  4],[28.67924528  9.32075472] ; [11.32075472  3.67924528],0
p3,1,0.830821,0.045646,[14 24] ; [6 9],[14.33962264 23.66037736] ; [5.66037736 9.33962264],0
b2,1,0.85554,0.033144,[ 5 19] ; [2 9],[ 4.8 19.2] ; [2.2 8.8],0
b3,1,0.85554,0.033144,[ 5 19] ; [2 9],[ 4.8 19.2] ; [2.2 8.8],0
a1,1,0.897436,0.016615,[ 3 36] ; [ 1 14],[ 2.88888889 36.11111111] ; [ 1.11111111 13.88888889],0
a7,1,0.972996,0.001146,[21 18] ; [8 7],[20.94444444 18.05555556] ; [8.05555556 6.94444444],0
b4,1,0.972996,0.001146,[21 18] ; [8 7],[20.94444444 18.05555556] ; [8.05555556 6.94444444],0
p6,1,0.979178,0.000681,[10 28] ; [ 4 11],[10.03773585 27.96226415] ; [ 3.96226415 11.03773585],0
