Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,133.482775,[ 2 43] ; [207  31],[33.23321555 11.76678445] ; [175.76678445  62.23321555],1
v4,1,0.0,59.680932,[22 23] ; [219  17],[38.59430605  6.40569395] ; [202.40569395  33.59430605],1
p11,1,0.0,54.423115,[10 35] ; [185  53],[31.00706714 13.99293286] ; [163.99293286  74.00706714],1
p2,1,0.0,37.915233,[14 31] ; [182  54],[31.38790036 13.61209964] ; [164.61209964  71.38790036],1
n6,1,0.0,27.930184,[17 27] ; [185  53],[31.5177305 12.4822695] ; [170.4822695  67.5177305],1
p9,1,1e-06,24.148537,[15 27] ; [174  61],[28.65703971 13.34296029] ; [160.34296029  74.65703971],1
r1,1,1e-06,23.321519,[16 29] ; [172  65],[30. 15.] ; [158.  79.],1
v2,1,6e-06,20.443758,[ 7 37] ; [121 107],[20.70588235 23.29411765] ; [107.29411765 120.70588235],1
a1,1,1e-05,19.501723,[ 7 38] ; [  4 234],[ 1.74911661 43.25088339] ; [  9.25088339 228.74911661],1
r2,1,1.1e-05,19.400465,[28 15] ; [212  23],[37.12230216  5.87769784] ; [202.87769784  32.12230216],1
n3,1,0.00016,14.254436,[ 9 16] ; [45 12],[16.46341463  8.53658537] ; [37.53658537 19.46341463],1
a7,1,0.00016,14.245633,[18 27] ; [165  73],[29.09893993 15.90106007] ; [153.90106007  84.09893993],1
p10,1,0.000293,13.117316,[17 27] ; [159  77],[27.65714286 16.34285714] ; [148.34285714  87.65714286],1
d4,1,0.001473,10.112394,[24 21] ; [181  56],[32.71276596 12.28723404] ; [172.28723404  64.71276596],0
b1,1,0.001588,9.973231,[28 17] ; [ 88 150],[18.44522968 26.55477032] ; [ 97.55477032 140.44522968],0
v1,1,0.001645,9.908472,[ 8 37] ; [100 134],[17.41935484 27.58064516] ; [ 90.58064516 143.41935484],0
p7,1,0.003682,8.434527,[13 31] ; [126 110],[21.84285714 22.15714286] ; [117.15714286 118.84285714],0
a6,1,0.004882,7.922484,[21 24] ; [163  75],[29.25795053 15.74204947] ; [154.74204947  83.25795053],0
