Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,2e-06,22.347448,[ 3 14] ; [49 13],[11.18987342  5.81012658] ; [40.81012658 21.18987342],1
p8,1,0.000752,11.35579,[9 8] ; [56  7],[13.8125  3.1875] ; [51.1875 11.8125],1
p11,1,0.00379,8.381858,[10  7] ; [56  7],[14.025  2.975] ; [51.975 11.025],0
v2,1,0.009606,6.70654,[ 5 12] ; [40 22],[9.6835443 7.3164557] ; [35.3164557 26.6835443],0
s7,1,0.013594,6.090064,[9 7] ; [50  9],[12.58666667  3.41333333] ; [46.41333333 12.58666667],0
s8,1,0.015587,5.848916,[ 7 10] ; [45 17],[11.18987342  5.81012658] ; [40.81012658 21.18987342],0
p4,1,0.029236,4.753687,[12  4] ; [58  4],[14.35897436  1.64102564] ; [55.64102564  6.35897436],0
p2,1,0.034597,4.464964,[12  5] ; [57  6],[14.6625  2.3375] ; [54.3375  8.6625],0
s1,1,0.03614,4.390497,[ 4 13] ; [ 4 59],[ 1.7 15.3] ; [ 6.3 56.7],0
p1,1,0.060173,3.532617,[8 9] ; [15 48],[ 4.8875 12.1125] ; [18.1125 44.8875],0
p12,1,0.064479,3.418256,[ 2 15] ; [22 41],[ 5.1 11.9] ; [18.9 44.1],0
u3,1,0.074982,3.170437,[1 3] ; [11  4],[2.52631579 1.47368421] ; [9.47368421 5.52631579],0
d4,1,0.103887,2.64483,[12  5] ; [54  8],[14.20253165  2.79746835] ; [51.79746835 10.20253165],0
n3,1,0.115993,2.470604,[1 3] ; [9 4],[2.35294118 1.64705882] ; [7.64705882 5.35294118],0
s2,1,0.148678,2.085757,[9 8] ; [45 18],[11.475  5.525] ; [42.525 20.475],0
s3,1,0.148992,2.082544,[9 7] ; [47 16],[11.34177215  4.65822785] ; [44.65822785 18.34177215],0
b5,1,0.171772,1.867414,[11  6] ; [29 34],[8.5 8.5] ; [31.5 31.5],0
a1,1,0.191637,1.704985,[ 1 16] ; [12 51],[ 2.7625 14.2375] ; [10.2375 52.7625],0
p10,1,0.209102,1.577635,[13  3] ; [57  5],[14.35897436  1.64102564] ; [55.64102564  6.35897436],0
a8,1,0.214056,1.543782,[ 1 14] ; [12 47],[ 2.63513514 12.36486486] ; [10.36486486 48.63513514],0
b4,1,0.218647,1.513226,[12  5] ; [34 29],[9.775 7.225] ; [36.225 26.775],0
b1,1,0.219692,1.50638,[9 8] ; [23 40],[ 6.8 10.2] ; [25.2 37.8],0
r2,1,0.245959,1.346111,[14  3] ; [57  5],[15.27848101  1.72151899] ; [55.72151899  6.27848101],0
u1,1,0.274294,1.195145,[ 5 12] ; [11 52],[ 3.4 13.6] ; [12.6 50.4],0
p3,1,0.288853,1.124958,[12  5] ; [51 11],[13.55696203  3.44303797] ; [49.44303797 12.55696203],0
p9,1,0.289822,1.120448,[15  2] ; [60  3],[15.9375  1.0625] ; [59.0625  3.9375],0
v3,1,0.291874,1.110957,[8 9] ; [38 24],[9.89873418 7.10126582] ; [36.10126582 25.89873418],0
n2,1,0.301409,1.067949,[2 2] ; [10  3],[2.82352941 1.17647059] ; [9.17647059 3.82352941],0
s4,1,0.32076,0.985845,[ 1 15] ; [10 53],[ 2.2278481 13.7721519] ; [ 8.7721519 54.2278481],0
d2,1,0.378692,0.774942,[10  7] ; [29 33],[8.39240506 8.60759494] ; [30.60759494 31.39240506],0
n5,1,0.523659,0.406681,[16  1] ; [56  7],[15.3  1.7] ; [56.7  6.3],0
s5,1,0.566339,0.328846,[10  6] ; [42 18],[10.94736842  5.05263158] ; [41.05263158 18.94736842],0
r1,1,0.569401,0.323685,[13  4] ; [52 11],[13.8125  3.1875] ; [51.1875 11.8125],0
a7,1,0.591431,0.288115,[11  6] ; [45 18],[11.9  5.1] ; [44.1 18.9],0
r4,1,0.602029,0.271947,[16  1] ; [61  2],[16.3625  0.6375] ; [60.6375  2.3625],0
a2,1,0.673772,0.177221,[ 2 15] ; [10 53],[ 2.55 14.45] ; [ 9.45 53.55],0
b3,1,0.688815,0.160371,[5 6] ; [24 22],[5.59649123 5.40350877] ; [23.40350877 22.59649123],0
b2,1,0.688815,0.160371,[5 6] ; [24 22],[5.59649123 5.40350877] ; [23.40350877 22.59649123],0
d3,1,0.728869,0.120153,[12  5] ; [41 21],[11.40506329  5.59493671] ; [41.59493671 20.40506329],0
a4,1,0.741713,0.108627,[ 6 11] ; [25 38],[ 6.5875 10.4125] ; [24.4125 38.5875],0
u2,1,0.750042,0.101496,[3 1] ; [10  5],[2.73684211 1.26315789] ; [10.26315789  4.73684211],0
a5,1,0.773892,0.082534,[13  4] ; [46 17],[12.5375  4.4625] ; [46.4625 16.5375],0
n4,1,0.775374,0.081426,[16  1] ; [58  5],[15.725  1.275] ; [58.275  4.725],0
v1,1,0.81343,0.055698,[11  6] ; [42 20],[11.40506329  5.59493671] ; [41.59493671 20.40506329],0
v4,1,0.850796,0.035383,[16  1] ; [60  3],[16.15  0.85] ; [59.85  3.15],0
d5,1,0.934153,0.006826,[13  4] ; [48 14],[13.12658228  3.87341772] ; [47.87341772 14.12658228],0
a6,1,0.955171,0.00316,[10  7] ; [36 26],[9.89873418 7.10126582] ; [36.10126582 25.89873418],0
a3,1,0.980786,0.00058,[13  4] ; [48 15],[12.9625  4.0375] ; [48.0375 14.9625],0
d1,1,0.994463,4.8e-05,[10  7] ; [37 26],[9.9875 7.0125] ; [37.0125 25.9875],0
