Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.4e-05,17.181818,[29  4] ; [ 7 14],[22. 11.] ; [14.  7.],1
d4,1,0.003069,8.766234,[17 16] ; [19  2],[22. 11.] ; [14.  7.],0
p8,1,0.020926,5.332955,[ 2 30] ; [ 6 14],[ 4.92307692 27.07692308] ; [ 3.07692308 16.92307692],0
n6,1,0.028004,4.8278,[19 13] ; [ 6 15],[15.09433962 16.90566038] ; [ 9.90566038 11.09433962],0
a3,1,0.121491,2.397989,[16 16] ; [15  6],[18.71698113 13.28301887] ; [12.28301887  8.71698113],0
n1,1,0.13147,2.275064,[9 8] ; [2 7],[7.19230769 9.80769231] ; [3.80769231 5.19230769],0
a6,1,0.146542,2.107881,[16 17] ; [ 6 15],[13.44444444 19.55555556] ; [ 8.55555556 12.44444444],0
d5,1,0.146542,2.107881,[17 16] ; [15  6],[19.55555556 13.44444444] ; [12.44444444  8.55555556],0
a4,1,0.147766,2.095157,[ 9 23] ; [10 11],[11.47169811 20.52830189] ; [ 7.52830189 13.47169811],0
d3,1,0.164915,1.928571,[11 22] ; [11 10],[13.44444444 19.55555556] ; [ 8.55555556 12.44444444],0
p4,1,0.174658,1.842503,[ 8 25] ; [ 2 19],[ 6.11111111 26.88888889] ; [ 3.88888889 17.11111111],0
v3,1,0.174658,1.842503,[ 8 25] ; [ 2 19],[ 6.11111111 26.88888889] ; [ 3.88888889 17.11111111],0
r3,1,0.182689,1.77561,[17 15] ; [15  6],[19.32075472 12.67924528] ; [12.67924528  8.32075472],0
d1,1,0.198943,1.650115,[10 23] ; [10 11],[12.22222222 20.77777778] ; [ 7.77777778 13.22222222],0
s7,1,0.200514,1.638627,[ 5 26] ; [ 6 13],[ 6.82 24.18] ; [ 4.18 14.82],0
p11,1,0.202251,1.626046,[13 20] ; [12  9],[15.27777778 17.72222222] ; [ 9.72222222 11.27777778],0
p1,1,0.236289,1.402597,[ 5 28] ; [ 1 20],[ 3.66666667 29.33333333] ; [ 2.33333333 18.66666667],0
r1,1,0.245885,1.346533,[12 21] ; [11 10],[14.05555556 18.94444444] ; [ 8.94444444 12.05555556],0
s5,1,0.255527,1.292829,[ 3 30] ; [ 4 16],[ 4.35849057 28.64150943] ; [ 2.64150943 17.35849057],0
v2,1,0.267996,1.226977,[ 9 23] ; [ 9 12],[10.86792453 21.13207547] ; [ 7.13207547 13.86792453],0
n3,1,0.319499,0.990997,[ 7 10] ; [5 3],[8.16 8.84] ; [3.84 4.16],0
a7,1,0.334971,0.929584,[16 17] ; [13  8],[17.72222222 15.27777778] ; [11.27777778  9.72222222],0
d2,1,0.340107,0.910027,[14 18] ; [12  9],[15.69811321 16.30188679] ; [10.30188679 10.69811321],0
s2,1,0.358784,0.842146,[ 6 26] ; [ 2 19],[ 4.83018868 27.16981132] ; [ 3.16981132 17.83018868],0
s8,1,0.382616,0.762281,[ 6 27] ; [ 2 19],[ 4.88888889 28.11111111] ; [ 3.11111111 17.88888889],0
a8,1,0.394879,0.723864,[ 6 26] ; [ 2 18],[ 4.92307692 27.07692308] ; [ 3.07692308 16.92307692],0
b4,1,0.416872,0.659115,[20 13] ; [15  6],[21.38888889 11.61111111] ; [13.61111111  7.38888889],0
b2,1,0.418492,0.654545,[ 7 14] ; [7 8],[ 8.16666667 12.83333333] ; [5.83333333 9.16666667],0
b3,1,0.418492,0.654545,[ 7 14] ; [7 8],[ 8.16666667 12.83333333] ; [5.83333333 9.16666667],0
u2,1,0.423206,0.641394,[ 3 14] ; [2 4],[ 3.69565217 13.30434783] ; [1.30434783 4.69565217],0
v1,1,0.550846,0.355804,[ 9 24] ; [ 4 16],[ 8.09433962 24.90566038] ; [ 4.90566038 15.09433962],0
p7,1,0.616674,0.25057,[ 6 27] ; [ 5 16],[ 6.72222222 26.27777778] ; [ 4.27777778 16.72222222],0
p10,1,0.69281,0.15606,[12 19] ; [ 7 14],[11.32692308 19.67307692] ; [ 7.67307692 13.32692308],0
r4,1,0.723428,0.125232,[ 8 25] ; [ 6 15],[ 8.55555556 24.44444444] ; [ 5.44444444 15.55555556],0
a2,1,0.76717,0.087662,[ 4 29] ; [ 2 19],[ 3.66666667 29.33333333] ; [ 2.33333333 18.66666667],0
s6,1,0.777096,0.080148,[ 9 24] ; [ 5 16],[ 8.55555556 24.44444444] ; [ 5.44444444 15.55555556],0
b1,1,0.780133,0.077922,[16 17] ; [11 10],[16.5 16.5] ; [10.5 10.5],0
