Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,37.615452,[197  52] ; [11 25],[181.72631579  67.27368421] ; [26.27368421  9.72631579],1
s3,1,0.0,33.109774,[185  61] ; [10 26],[170.10638298  75.89361702] ; [24.89361702 11.10638298],1
s7,1,1e-06,24.534898,[170  69] ; [10 25],[157.00729927  81.99270073] ; [22.99270073 12.00729927],1
s8,1,0.001897,9.647002,[154  94] ; [13 24],[145.31929825 102.68070175] ; [21.68070175 15.31929825],0
b5,1,0.004124,8.228302,[144 106] ; [12 25],[135.88850174 114.11149826] ; [20.11149826 16.88850174],0
s4,1,0.024696,5.045098,[ 69 176] ; [ 4 33],[ 63.42198582 181.57801418] ; [ 9.57801418 27.42198582],0
r4,1,0.049003,3.875234,[241   9] ; [33  4],[238.67595819  11.32404181] ; [35.32404181  1.67595819],0
p9,1,0.052691,3.753694,[224  22] ; [29  7],[220.70212766  25.29787234] ; [32.29787234  3.70212766],0
n5,1,0.088869,2.894741,[199  50] ; [25 12],[195.02097902  53.97902098] ; [28.97902098  8.02097902],0
v2,1,0.125635,2.345626,[139 105] ; [26 11],[143.27402135 100.72597865] ; [21.72597865 15.27402135],0
b3,1,0.135197,2.231793,[60 90] ; [13 10],[63.29479769 86.70520231] ; [ 9.70520231 13.29479769],0
b2,1,0.135197,2.231793,[60 90] ; [13 10],[63.29479769 86.70520231] ; [ 9.70520231 13.29479769],0
d3,1,0.151897,2.053094,[183  66] ; [23 14],[179.34965035  69.65034965] ; [26.65034965 10.34965035],0
p12,1,0.173691,1.850794,[ 34 216] ; [ 2 34],[ 31.46853147 218.53146853] ; [ 4.53146853 31.46853147],0
a2,1,0.193009,1.694497,[ 73 177] ; [ 7 30],[ 69.68641115 180.31358885] ; [10.31358885 26.68641115],0
a8,1,0.203365,1.618041,[ 32 196] ; [ 2 31],[ 29.70114943 198.29885057] ; [ 4.29885057 28.70114943],0
p4,1,0.209247,1.576627,[170  77] ; [21 15],[166.70318021  80.29681979] ; [24.29681979 11.70318021],0
n6,1,0.230314,1.438923,[223  24] ; [31  6],[220.9084507  26.0915493] ; [33.0915493  3.9084507],0
p2,1,0.249466,1.326294,[211  39] ; [33  3],[213.28671329  36.71328671] ; [30.71328671  5.28671329],0
a7,1,0.281471,1.159971,[175  75] ; [22 14],[172.2027972  77.7972028] ; [24.7972028 11.2027972],0
a5,1,0.296782,1.088596,[201  49] ; [27 10],[198.60627178  51.39372822] ; [29.39372822  7.60627178],0
r1,1,0.296976,1.087722,[211  37] ; [29  8],[208.84210526  39.15789474] ; [31.15789474  5.84210526],0
b1,1,0.307132,1.042969,[ 93 157] ; [17 20],[ 95.81881533 154.18118467] ; [14.18118467 22.81881533],0
p6,1,0.307919,1.039581,[118 128] ; [14 22],[115.14893617 130.85106383] ; [16.85106383 19.14893617],0
p11,1,0.393627,0.727709,[194  56] ; [31  6],[195.99303136  54.00696864] ; [29.00696864  7.99303136],0
u3,1,0.395269,0.722672,[38 18] ; [6 5],[36.7761194 19.2238806] ; [7.2238806 3.7761194],0
r2,1,0.39902,0.711277,[242   7] ; [35  2],[241.16433566   7.83566434] ; [35.83566434  1.16433566],0
v1,1,0.405648,0.691519,[152  96] ; [24 11],[154.23321555  93.76678445] ; [21.76678445 13.23321555],0
p8,1,0.44321,0.587959,[147 100] ; [19 17],[144.88339223 102.11660777] ; [21.11660777 14.88339223],0
a3,1,0.446983,0.578292,[194  55] ; [26 10],[192.21052632  56.78947368] ; [27.78947368  8.21052632],0
p1,1,0.481671,0.495078,[ 30 218] ; [ 6 31],[ 31.32631579 216.67368421] ; [ 4.67368421 32.32631579],0
d2,1,0.506364,0.441574,[130 118] ; [21 15],[131.85915493 116.14084507] ; [19.14084507 16.85915493],0
a4,1,0.550779,0.355923,[128 122] ; [17 20],[126.30662021 123.69337979] ; [18.69337979 18.30662021],0
u1,1,0.56146,0.337182,[ 58 192] ; [ 7 30],[ 56.62020906 193.37979094] ; [ 8.37979094 28.62020906],0
s1,1,0.63818,0.221131,[ 11 235] ; [ 1 35],[ 10.46808511 235.53191489] ; [ 1.53191489 34.46808511],0
r3,1,0.646989,0.209717,[238  11] ; [35  1],[238.51578947  10.48421053] ; [34.48421053  1.51578947],0
b4,1,0.668692,0.183136,[153  97] ; [24 13],[154.18118467  95.81881533] ; [22.81881533 14.18118467],0
d1,1,0.741586,0.108737,[162  88] ; [25 12],[162.89198606  87.10801394] ; [24.10801394 12.89198606],0
p3,1,0.74313,0.107395,[145 104] ; [22 14],[145.90526316 103.09473684] ; [21.09473684 14.90526316],0
p10,1,0.759848,0.093441,[218  30] ; [31  5],[217.43661972  30.56338028] ; [31.56338028  4.43661972],0
v3,1,0.761951,0.09176,[110 137] ; [17 19],[110.84452297 136.15547703] ; [16.15547703 19.84452297],0
u2,1,0.785245,0.074251,[31 25] ; [6 4],[31.39393939 24.60606061] ; [5.60606061 4.39393939],0
p5,1,0.800562,0.063817,[ 51 199] ; [ 8 28],[ 51.57342657 198.42657343] ; [ 7.42657343 28.57342657],0
d4,1,0.814939,0.054784,[217  31] ; [31  5],[216.56338028  31.43661972] ; [31.43661972  4.56338028],0
a6,1,0.817776,0.053087,[159  89] ; [23 14],[158.37192982  89.62807018] ; [23.62807018 13.37192982],0
p7,1,0.907797,0.013414,[177  65] ; [26 10],[176.71223022  65.28776978] ; [26.28776978  9.71223022],0
n2,1,0.927209,0.008346,[50  9] ; [5 1],[49.92307692  9.07692308] ; [5.07692308 0.92307692],0
n1,1,0.935881,0.006472,[28 30] ; [3 3],[28.09375 29.90625] ; [2.90625 3.09375],0
n4,1,0.939418,0.005776,[193  55] ; [29  8],[193.17894737  54.82105263] ; [28.82105263  8.17894737],0
