Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,30.383768,[ 8 75] ; [19 14],[19.31896552 63.68103448] ; [ 7.68103448 25.31896552],1
s6,1,2e-06,22.700882,[25 58] ; [26  7],[36.49137931 46.50862069] ; [14.50862069 18.49137931],1
s2,1,5e-06,20.740515,[18 64] ; [22 11],[28.52173913 53.47826087] ; [11.47826087 21.52173913],1
s3,1,0.001519,10.055353,[29 52] ; [22 10],[36.55752212 44.44247788] ; [14.44247788 17.55752212],0
v1,1,0.002138,9.426857,[23 58] ; [19 13],[30.10619469 50.89380531] ; [11.89380531 20.10619469],0
s5,1,0.002718,8.98774,[ 7 73] ; [10 22],[12.14285714 67.85714286] ; [ 4.85714286 27.14285714],0
s4,1,0.0037,8.425545,[ 6 77] ; [ 9 24],[10.73275862 72.26724138] ; [ 4.26724138 28.73275862],0
u3,1,0.005257,7.788992,[15 20] ; [10  1],[19.02173913 15.97826087] ; [5.97826087 5.02173913],0
p10,1,0.006868,7.307088,[38 43] ; [24  8],[44.44247788 36.55752212] ; [17.55752212 14.44247788],0
v2,1,0.026505,4.922791,[26 52] ; [17 13],[31.05555556 46.94444444] ; [11.94444444 18.05555556],0
n2,1,0.033031,4.544169,[23 15] ; [12  1],[26.07843137 11.92156863] ; [8.92156863 4.07843137],0
d1,1,0.038716,4.273265,[28 55] ; [18 15],[32.9137931 50.0862069] ; [13.0862069 19.9137931],0
v4,1,0.041167,4.169126,[60 23] ; [28  3],[64.07017544 18.92982456] ; [23.92982456  7.07017544],0
d3,1,0.058941,3.566943,[43 39] ; [23  9],[47.47368421 34.52631579] ; [18.52631579 13.47368421],0
p9,1,0.072446,3.226718,[46 35] ; [24  8],[50.17699115 30.82300885] ; [19.82300885 12.17699115],0
p2,1,0.090474,2.865918,[43 39] ; [23 10],[47.06086957 34.93913043] ; [18.93913043 14.06086957],0
d5,1,0.090851,2.859227,[54 29] ; [26  6],[57.73913043 25.26086957] ; [22.26086957  9.73913043],0
a6,1,0.111079,2.538805,[49 34] ; [24  8],[52.68695652 30.31304348] ; [20.31304348 11.68695652],0
u2,1,0.116836,2.459228,[20 16] ; [9 2],[22.21276596 13.78723404] ; [6.78723404 4.21276596],0
a4,1,0.11951,2.423727,[30 53] ; [ 7 26],[26.47413793 56.52586207] ; [10.52586207 22.47413793],0
n1,1,0.155378,2.018643,[13 24] ; [7 5],[15.10204082 21.89795918] ; [4.89795918 7.10204082],0
p7,1,0.164882,1.928874,[28 51] ; [15 15],[31.16513761 47.83486239] ; [11.83486239 18.16513761],0
r2,1,0.169526,1.887133,[65 17] ; [28  3],[67.48672566 14.51327434] ; [25.51327434  5.48672566],0
p8,1,0.184257,1.762951,[21 60] ; [12 19],[23.86607143 57.13392857] ; [ 9.13392857 21.86607143],0
d4,1,0.215456,1.53438,[55 28] ; [25  7],[57.73913043 25.26086957] ; [22.26086957  9.73913043],0
r3,1,0.217315,1.522015,[61 22] ; [27  5],[63.51304348 19.48695652] ; [24.48695652  7.51304348],0
a7,1,0.251485,1.315036,[51 32] ; [24  9],[53.6637931 29.3362069] ; [21.3362069 11.6637931],0
a8,1,0.281286,1.160865,[ 8 74] ; [ 5 24],[ 9.6036036 72.3963964] ; [ 3.3963964 25.6036036],0
p11,1,0.329798,0.949689,[42 41] ; [20 13],[44.36206897 38.63793103] ; [17.63793103 15.36206897],0
a3,1,0.354567,0.857046,[47 35] ; [22 11],[49.2 32.8] ; [19.8 13.2],0
r4,1,0.380135,0.770266,[48 35] ; [22 11],[50.0862069 32.9137931] ; [19.9137931 13.0862069],0
p4,1,0.380718,0.768382,[23 59] ; [12 21],[24.95652174 57.04347826] ; [10.04347826 22.95652174],0
u1,1,0.383384,0.759824,[ 4 79] ; [ 3 30],[ 5.00862069 77.99137931] ; [ 1.99137931 31.00862069],0
b4,1,0.390665,0.73687,[50 33] ; [17 16],[47.93965517 35.06034483] ; [19.06034483 13.93965517],0
n5,1,0.39334,0.728591,[40 42] ; [19 14],[42.06956522 39.93043478] ; [16.93043478 16.06956522],0
a5,1,0.42646,0.632445,[41 42] ; [19 14],[42.93103448 40.06896552] ; [17.06896552 15.93103448],0
n4,1,0.462595,0.53961,[39 44] ; [18 15],[40.78448276 42.21551724] ; [16.21551724 16.78448276],0
p6,1,0.505275,0.443839,[11 69] ; [ 6 26],[12.14285714 67.85714286] ; [ 4.85714286 27.14285714],0
n3,1,0.532375,0.389857,[22 15] ; [9 4],[22.94 14.06] ; [8.06 4.94],0
b1,1,0.576974,0.311152,[38 45] ; [17 16],[39.35344828 43.64655172] ; [15.64655172 17.35344828],0
s1,1,0.660174,0.193312,[ 7 73] ; [ 2 30],[ 6.42857143 73.57142857] ; [ 2.57142857 29.42857143],0
r1,1,0.684702,0.164881,[52 31] ; [22 11],[52.94827586 30.05172414] ; [21.05172414 11.94827586],0
b2,1,0.746405,0.104577,[13 32] ; [ 5 15],[12.46153846 32.53846154] ; [ 5.53846154 14.46153846],0
b3,1,0.746405,0.104577,[13 32] ; [ 5 15],[12.46153846 32.53846154] ; [ 5.53846154 14.46153846],0
a2,1,0.789059,0.071574,[11 72] ; [ 5 28],[11.44827586 71.55172414] ; [ 4.55172414 28.44827586],0
p12,1,0.857197,0.03238,[ 2 80] ; [ 1 32],[ 2.13913043 79.86086957] ; [ 0.86086957 32.13913043],0
d2,1,0.859075,0.031525,[30 53] ; [11 21],[29.59130435 53.40869565] ; [11.40869565 20.59130435],0
p5,1,0.88077,0.022498,[ 3 78] ; [ 1 31],[ 2.86725664 78.13274336] ; [ 1.13274336 30.86725664],0
v3,1,0.937446,0.006159,[19 60] ; [ 7 23],[18.8440367 60.1559633] ; [ 7.1559633 22.8440367],0
b5,1,0.979942,0.000632,[48 35] ; [19 14],[47.93965517 35.06034483] ; [19.06034483 13.93965517],0
