Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.752302,[10 29] ; [42 13],[21.57446809 17.42553191] ; [30.42553191 24.57446809],1
s6,1,0.000512,12.071122,[ 8 31] ; [30 23],[16.10869565 22.89130435] ; [21.89130435 31.10869565],1
v4,1,0.001588,9.974056,[20 19] ; [45 10],[26.96808511 12.03191489] ; [38.03191489 16.96808511],0
b3,1,0.003354,8.604249,[16 11] ; [ 7 25],[10.52542373 16.47457627] ; [12.47457627 19.52542373],0
b2,1,0.003354,8.604249,[16 11] ; [ 7 25],[10.52542373 16.47457627] ; [12.47457627 19.52542373],0
r3,1,0.005024,7.870731,[18 21] ; [41 14],[24.4787234 14.5212766] ; [34.5212766 20.4787234],0
r2,1,0.005338,7.761171,[25 12] ; [49  5],[30.08791209  6.91208791] ; [43.91208791 10.08791209],0
s7,1,0.016324,5.767641,[ 5 31] ; [18 30],[ 9.85714286 26.14285714] ; [13.14285714 34.85714286],0
s2,1,0.02257,5.201295,[ 7 32] ; [22 33],[12.03191489 26.96808511] ; [16.96808511 38.03191489],0
n3,1,0.023706,5.116031,[ 5 10] ; [20  9],[8.52272727 6.47727273] ; [16.47727273 12.52272727],0
v3,1,0.03479,4.455443,[ 7 31] ; [20 31],[11.52808989 26.47191011] ; [15.47191011 35.52808989],0
u2,1,0.034846,4.45269,[ 2 12] ; [9 9],[4.8125 9.1875] ; [ 6.1875 11.8125],0
a7,1,0.046369,3.968139,[19 20] ; [38 17],[23.64893617 15.35106383] ; [33.35106383 21.64893617],0
s5,1,0.049276,3.865922,[ 4 34] ; [14 37],[ 7.68539326 30.31460674] ; [10.31460674 40.68539326],0
u3,1,0.051181,3.802326,[ 3 11] ; [10  8],[5.6875 8.3125] ; [ 7.3125 10.6875],0
v2,1,0.051938,3.777768,[10 28] ; [25 29],[14.45652174 23.54347826] ; [20.54347826 33.45652174],0
d4,1,0.055075,3.679818,[24 15] ; [43 11],[28.09677419 10.90322581] ; [38.90322581 15.09677419],0
a1,1,0.058057,3.592048,[ 8 31] ; [ 4 51],[ 4.9787234 34.0212766] ; [ 7.0212766 47.9787234],0
a2,1,0.091629,2.845524,[ 5 34] ; [15 40],[ 8.29787234 30.70212766] ; [11.70212766 43.29787234],0
p6,1,0.119447,2.424552,[ 3 34] ; [11 44],[ 5.63043478 31.36956522] ; [ 8.36956522 46.63043478],0
a8,1,0.12353,2.371985,[ 2 36] ; [ 8 43],[ 4.26966292 33.73033708] ; [ 5.73033708 45.26966292],0
u1,1,0.144559,2.128747,[ 2 37] ; [ 8 47],[ 4.14893617 34.85106383] ; [ 5.85106383 49.14893617],0
d5,1,0.147047,2.102623,[25 14] ; [42 12],[28.09677419 10.90322581] ; [38.90322581 15.09677419],0
p1,1,0.208833,1.5795,[ 6 33] ; [ 4 51],[ 4.14893617 34.85106383] ; [ 5.85106383 49.14893617],0
n6,1,0.249532,1.32592,[18 21] ; [32 23],[20.74468085 18.25531915] ; [29.25531915 25.74468085],0
v1,1,0.261019,1.263343,[ 8 31] ; [17 38],[10.37234043 28.62765957] ; [14.62765957 40.37234043],0
d1,1,0.263152,1.252101,[16 23] ; [29 26],[18.67021277 20.32978723] ; [26.32978723 28.67021277],0
b4,1,0.263152,1.252101,[16 23] ; [29 26],[18.67021277 20.32978723] ; [26.32978723 28.67021277],0
d3,1,0.283452,1.150463,[18 21] ; [31 23],[20.5483871 18.4516129] ; [28.4516129 25.5483871],0
p10,1,0.288967,1.124426,[10 27] ; [20 33],[12.33333333 24.66666667] ; [17.66666667 35.33333333],0
n2,1,0.306119,1.047346,[7 8] ; [20 12],[8.61702128 6.38297872] ; [18.38297872 13.61702128],0
b1,1,0.307106,1.04308,[24 15] ; [28 27],[21.57446809 17.42553191] ; [30.42553191 24.57446809],0
b5,1,0.401036,0.705219,[20 19] ; [33 22],[21.9893617 17.0106383] ; [31.0106383 23.9893617],0
a4,1,0.409809,0.679354,[15 23] ; [26 28],[16.93478261 21.06521739] ; [24.06521739 29.93478261],0
s3,1,0.417293,0.657926,[13 25] ; [23 31],[14.86956522 23.13043478] ; [21.13043478 32.86956522],0
p9,1,0.42872,0.626289,[11 23] ; [22 32],[12.75 21.25] ; [20.25 33.75],0
p7,1,0.472367,0.516433,[12 27] ; [13 41],[10.48387097 28.51612903] ; [14.51612903 39.48387097],0
s1,1,0.539241,0.376948,[ 4 35] ; [ 8 47],[ 4.9787234 34.0212766] ; [ 7.0212766 47.9787234],0
a3,1,0.563784,0.333195,[25 14] ; [37 16],[26.2826087 12.7173913] ; [35.7173913 17.2826087],0
a5,1,0.566038,0.329357,[24 15] ; [37 18],[25.30851064 13.69148936] ; [35.69148936 19.30851064],0
p8,1,0.605547,0.26671,[ 6 32] ; [11 44],[ 6.94623656 31.05376344] ; [10.05376344 44.94623656],0
n1,1,0.761554,0.092076,[7 8] ; [13 18],[6.52173913 8.47826087] ; [13.47826087 17.52173913],0
s4,1,0.803334,0.062018,[ 7 32] ; [11 44],[ 7.46808511 31.53191489] ; [10.53191489 44.46808511],0
p4,1,0.806749,0.05984,[ 8 31] ; [12 41],[ 8.47826087 30.52173913] ; [11.52173913 41.47826087],0
n4,1,0.808865,0.058511,[21 18] ; [31 24],[21.57446809 17.42553191] ; [30.42553191 24.57446809],0
p3,1,0.832441,0.044762,[ 9 29] ; [12 43],[ 8.58064516 29.41935484] ; [12.41935484 42.58064516],0
a6,1,0.849246,0.036131,[21 18] ; [28 26],[20.5483871 18.4516129] ; [28.4516129 25.5483871],0
n5,1,0.857798,0.032105,[22 17] ; [30 25],[21.57446809 17.42553191] ; [30.42553191 24.57446809],0
d2,1,0.861113,0.03061,[19 19] ; [28 26],[19.41304348 18.58695652] ; [27.58695652 26.41304348],0
