Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,138.372045,[348  49] ; [47 83],[297.56166983  99.43833017] ; [97.43833017 32.56166983],1
n6,1,0.0,34.216552,[357  41] ; [88 41],[336.07210626  61.92789374] ; [108.92789374  20.07210626],1
p11,1,3e-05,17.405945,[326  73] ; [84 47],[308.66037736  90.33962264] ; [101.33962264  29.66037736],1
s4,1,0.000173,14.102684,[ 75 317] ; [46 85],[ 90.69216061 301.30783939] ; [ 30.30783939 100.69216061],1
s7,1,0.000422,12.430892,[237 148] ; [55 71],[220. 165.] ; [72. 54.],1
a8,1,0.0005,12.114195,[ 60 301] ; [  5 116],[ 48.68257261 312.31742739] ; [ 16.31742739 104.68257261],1
u1,1,0.000743,11.379444,[ 94 305] ; [ 13 118],[ 80.55283019 318.44716981] ; [ 26.44716981 104.55283019],1
a5,1,0.000911,10.999231,[311  88] ; [83 48],[296.61509434 102.38490566] ; [97.38490566 33.61509434],1
a3,1,0.001594,9.96709,[294 103] ; [78 53],[279.70454545 117.29545455] ; [92.29545455 38.70454545],0
r1,1,0.001743,9.802539,[339  59] ; [95 35],[327.14393939  70.85606061] ; [106.85606061  23.14393939],0
d2,1,0.002479,9.15581,[209 188] ; [49 82],[193.98863636 203.01136364] ; [64.01136364 66.98863636],0
p10,1,0.00394,8.311292,[336  60] ; [95 34],[325.09714286  70.90285714] ; [105.90285714  23.09714286],0
p6,1,0.004303,8.151344,[157 238] ; [33 95],[143.49904398 251.50095602] ; [46.50095602 81.49904398],0
p4,1,0.0054,7.740417,[255 143] ; [66 65],[241.50850662 156.49149338] ; [79.49149338 51.50850662],0
a4,1,0.007685,7.105383,[192 204] ; [46 85],[178.83870968 217.16129032] ; [59.16129032 71.83870968],0
s8,1,0.011819,6.337851,[223 174] ; [57 74],[210.53030303 186.46969697] ; [69.46969697 61.53030303],0
p9,1,0.012125,6.292516,[347  48] ; [101  27],[338.35564054  56.64435946] ; [109.64435946  18.35564054],0
p12,1,0.012205,6.280817,[ 35 362] ; [  3 128],[ 28.5719697 368.4280303] ; [  9.4280303 121.5719697],0
p2,1,0.014203,6.012754,[340  58] ; [99 31],[330.91287879  67.08712121] ; [108.08712121  21.91287879],0
r4,1,0.016632,5.734746,[369  30] ; [112  19],[362.11132075  36.88867925] ; [118.88867925  12.11132075],0
a2,1,0.017745,5.621168,[115 284] ; [ 24 107],[104.64339623 294.35660377] ; [34.35660377 96.64339623],0
v4,1,0.020863,5.338224,[385  12] ; [120  10],[380.42694497  16.57305503] ; [124.57305503   5.42694497],0
d1,1,0.038081,4.301421,[248 151] ; [68 63],[237.89433962 161.10566038] ; [78.10566038 52.89433962],0
v3,1,0.056737,3.630294,[154 232] ; [38 87],[145.0332681 240.9667319] ; [46.9667319 78.0332681],0
d5,1,0.062586,3.467504,[337  60] ; [102  29],[330.08143939  66.91856061] ; [108.91856061  22.08143939],0
