Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.00013,14.643345,[ 6 34] ; [28 24],[14.7826087 25.2173913] ; [19.2173913 32.7826087],1
s6,1,0.000639,11.659919,[11 27] ; [34 18],[19. 19.] ; [26. 26.],1
s7,1,0.001887,9.656744,[ 5 33] ; [22 28],[11.65909091 26.34090909] ; [15.34090909 34.65909091],0
p4,1,0.035456,4.423077,[15 25] ; [31 21],[20. 20.] ; [26. 26.],0
s5,1,0.039204,4.251988,[ 5 34] ; [16 35],[ 9.1 29.9] ; [11.9 39.1],0
s4,1,0.040936,4.178644,[ 2 38] ; [10 41],[ 5.27472527 34.72527473] ; [ 6.72527473 44.27472527],0
p9,1,0.046354,3.968686,[10 28] ; [24 27],[14.51685393 23.48314607] ; [19.48314607 31.51685393],0
a8,1,0.047678,3.921296,[ 2 34] ; [10 38],[ 5.14285714 30.85714286] ; [ 6.85714286 41.14285714],0
b4,1,0.050557,3.822899,[18 22] ; [34 18],[22.60869565 17.39130435] ; [29.39130435 22.60869565],0
n5,1,0.099726,2.709926,[19 21] ; [33 18],[22.85714286 17.14285714] ; [29.14285714 21.85714286],0
n2,1,0.133672,2.249335,[9 5] ; [14  2],[10.73333333  3.26666667] ; [12.26666667  3.73333333],0
d2,1,0.222694,1.486928,[20 20] ; [19 32],[17.14285714 22.85714286] ; [21.85714286 29.14285714],0
d1,1,0.228049,1.452986,[18 22] ; [17 35],[15.2173913 24.7826087] ; [19.7826087 32.2173913],0
b2,1,0.239004,1.38646,[ 3 18] ; [ 9 23],[ 4.75471698 16.24528302] ; [ 7.24528302 24.75471698],0
b3,1,0.239004,1.38646,[ 3 18] ; [ 9 23],[ 4.75471698 16.24528302] ; [ 7.24528302 24.75471698],0
s8,1,0.255682,1.291988,[ 7 31] ; [15 37],[ 9.28888889 28.71111111] ; [12.71111111 39.28888889],0
s1,1,0.288057,1.128682,[ 1 38] ; [ 4 48],[ 2.14285714 36.85714286] ; [ 2.85714286 49.14285714],0
n1,1,0.295694,1.093514,[4 9] ; [8 8],[5.37931034 7.62068966] ; [6.62068966 9.37931034],0
u3,1,0.345647,0.889375,[ 8 13] ; [13 12],[ 9.58695652 11.41304348] ; [11.41304348 13.58695652],0
v3,1,0.351102,0.869471,[ 8 32] ; [14 35],[ 9.88764045 30.11235955] ; [12.11235955 36.88764045],0
a4,1,0.35926,0.84048,[11 29] ; [19 33],[13.04347826 26.95652174] ; [16.95652174 35.04347826],0
n6,1,0.366799,0.81448,[28 11] ; [32 19],[26. 13.] ; [34. 17.],0
p5,1,0.393339,0.728595,[ 2 38] ; [ 5 46],[ 3.07692308 36.92307692] ; [ 3.92307692 47.07692308],0
r3,1,0.430044,0.622706,[34  6] ; [47  5],[35.2173913  4.7826087] ; [45.7826087  6.2173913],0
p11,1,0.439717,0.59702,[24 16] ; [27 25],[22.17391304 17.82608696] ; [28.82608696 23.17391304],0
a1,1,0.445908,0.581031,[ 1 39] ; [ 3 49],[ 1.73913043 38.26086957] ; [ 2.26086957 49.73913043],0
r2,1,0.447117,0.577949,[36  4] ; [44  8],[34.7826087  5.2173913] ; [45.2173913  6.7826087],0
p1,1,0.457165,0.552826,[ 3 37] ; [ 2 49],[ 2.1978022 37.8021978] ; [ 2.8021978 48.1978022],0
r1,1,0.474994,0.510336,[25 14] ; [37 15],[26.57142857 12.42857143] ; [35.42857143 16.57142857],0
p2,1,0.479307,0.50044,[29 11] ; [41 11],[30.43478261  9.56521739] ; [39.56521739 12.43478261],0
v4,1,0.498794,0.457502,[37  3] ; [45  6],[36.04395604  3.95604396] ; [45.95604396  5.04395604],0
a2,1,0.524496,0.405044,[ 5 35] ; [ 9 43],[ 6.08695652 33.91304348] ; [ 7.91304348 44.08695652],0
n3,1,0.525741,0.402618,[10  4] ; [13  3],[10.73333333  3.26666667] ; [12.26666667  3.73333333],0
d5,1,0.547772,0.361324,[26 14] ; [30 21],[24.61538462 15.38461538] ; [31.38461538 19.61538462],0
b5,1,0.591573,0.287895,[29 11] ; [35 17],[27.82608696 12.17391304] ; [36.17391304 15.82608696],0
a5,1,0.594472,0.283414,[23 17] ; [27 25],[21.73913043 18.26086957] ; [28.26086957 23.73913043],0
a3,1,0.606357,0.265514,[19 21] ; [27 24],[20.21978022 19.78021978] ; [25.78021978 25.21978022],0
n4,1,0.611541,0.257937,[23 17] ; [32 19],[24.17582418 15.82417582] ; [30.82417582 20.17582418],0
