Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,4e-06,21.110964,[23  6] ; [ 9 30],[13.64705882 15.35294118] ; [18.35294118 20.64705882],1
a5,1,0.000574,11.857949,[27  2] ; [22 18],[20.5942029  8.4057971] ; [28.4057971 11.5942029],1
s6,1,0.001096,10.658747,[24  5] ; [17 22],[17.48529412 11.51470588] ; [23.51470588 15.48529412],0
s5,1,0.011985,6.313135,[13 15] ; [ 7 32],[ 8.35820896 19.64179104] ; [11.64179104 27.35820896],0
r1,1,0.07507,3.168534,[25  4] ; [27 13],[21.85507246  7.14492754] ; [30.14492754  9.85507246],0
a2,1,0.113298,2.507599,[ 7 22] ; [ 4 36],[ 4.62318841 24.37681159] ; [ 6.37681159 33.62318841],0
d5,1,0.115361,2.479196,[25  4] ; [28 12],[22.27536232  6.72463768] ; [30.72463768  9.27536232],0
s8,1,0.122018,2.391228,[14 15] ; [12 28],[10.92753623 18.07246377] ; [15.07246377 24.92753623],0
d4,1,0.126959,2.329305,[27  2] ; [32  8],[24.79710145  4.20289855] ; [34.20289855  5.79710145],0
a1,1,0.168692,1.894526,[ 3 26] ; [ 1 39],[ 1.68115942 27.31884058] ; [ 2.31884058 37.68115942],0
p12,1,0.183967,1.765284,[ 4 24] ; [ 2 38],[ 2.47058824 25.52941176] ; [ 3.52941176 36.47058824],0
r4,1,0.196727,1.666509,[27  2] ; [33  7],[25.2173913  3.7826087] ; [34.7826087  5.2173913],0
a4,1,0.227356,1.457328,[12 17] ; [11 29],[ 9.66666667 19.33333333] ; [13.33333333 26.66666667],0
d2,1,0.239401,1.384118,[15 14] ; [15 25],[12.60869565 16.39130435] ; [17.39130435 22.60869565],0
p4,1,0.248359,1.332512,[14 14] ; [14 25],[11.70149254 16.29850746] ; [16.29850746 22.70149254],0
s7,1,0.297953,1.083333,[12 14] ; [13 26],[10. 16.] ; [15. 24.],0
p1,1,0.317508,0.999184,[ 1 27] ; [ 4 36],[ 2.05882353 25.94117647] ; [ 2.94117647 37.05882353],0
b5,1,0.327274,0.959655,[17 12] ; [28 12],[18.91304348 10.08695652] ; [26.08695652 13.91304348],0
p10,1,0.331766,0.941991,[20  8] ; [24 16],[18.11764706  9.88235294] ; [25.88235294 14.11764706],0
a8,1,0.342038,0.902778,[ 1 25] ; [ 4 35],[ 2. 24.] ; [ 3. 36.],0
n2,1,0.342806,0.899908,[6 3] ; [5 6],[4.95 4.05] ; [6.05 4.95],0
v4,1,0.397942,0.714537,[26  3] ; [38  2],[26.89855072  2.10144928] ; [37.10144928  2.89855072],0
n1,1,0.413247,0.669439,[2 7] ; [ 1 10],[1.35 7.65] ; [1.65 9.35],0
d1,1,0.428679,0.626399,[18 11] ; [21 19],[16.39130435 12.60869565] ; [22.60869565 17.39130435],0
u3,1,0.445009,0.583333,[6 3] ; [6 6],[5.14285714 3.85714286] ; [6.85714286 5.14285714],0
s4,1,0.461109,0.543201,[ 8 21] ; [ 8 32],[ 6.72463768 22.27536232] ; [ 9.27536232 30.72463768],0
p3,1,0.461567,0.542092,[13 15] ; [15 25],[11.52941176 16.47058824] ; [16.47058824 23.52941176],0
v1,1,0.478453,0.502388,[17 12] ; [20 20],[15.55072464 13.44927536] ; [21.44927536 18.55072464],0
u2,1,0.484423,0.488889,[8 2] ; [8 4],[7.27272727 2.72727273] ; [8.72727273 3.27272727],0
n3,1,0.492353,0.47138,[7 2] ; [7 4],[6.3 2.7] ; [7.7 3.3],0
a6,1,0.514221,0.425469,[21  8] ; [26 14],[19.75362319  9.24637681] ; [27.24637681 12.75362319],0
v2,1,0.518252,0.41737,[19  9] ; [30 10],[20.17647059  7.82352941] ; [28.82352941 11.17647059],0
p8,1,0.549184,0.358781,[15 13] ; [18 21],[13.79104478 14.20895522] ; [19.20895522 19.79104478],0
p11,1,0.589358,0.291348,[17 12] ; [26 14],[18.07246377 10.92753623] ; [24.92753623 15.07246377],0
a7,1,0.680828,0.169195,[22  7] ; [32  8],[22.69565217  6.30434783] ; [31.30434783  8.69565217],0
d3,1,0.680828,0.169195,[22  7] ; [32  8],[22.69565217  6.30434783] ; [31.30434783  8.69565217],0
