Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.005105,7.841881,[16 12] ; [65 13],[21.39622642  6.60377358] ; [59.60377358 18.39622642],0
p6,1,0.012282,6.269628,[19  9] ; [31 46],[13.33333333 14.66666667] ; [36.66666667 40.33333333],0
u1,1,0.022525,5.204752,[11 17] ; [14 64],[ 6.60377358 21.39622642] ; [18.39622642 59.60377358],0
v2,1,0.067713,3.337612,[21  7] ; [42 34],[16.96153846 11.03846154] ; [46.03846154 29.96153846],0
s6,1,0.081149,3.041742,[22  6] ; [47 31],[18.22641509  9.77358491] ; [50.77358491 27.22641509],0
d4,1,0.082924,3.006632,[26  2] ; [61 17],[22.98113208  5.01886792] ; [64.01886792 13.98113208],0
b5,1,0.083163,3.001982,[21  7] ; [44 34],[17.16981132 10.83018868] ; [47.83018868 30.16981132],0
a4,1,0.094193,2.801221,[17 11] ; [33 45],[13.20754717 14.79245283] ; [36.79245283 41.20754717],0
d5,1,0.106022,2.612545,[26  2] ; [62 16],[23.24528302  4.75471698] ; [64.75471698 13.24528302],0
d1,1,0.131847,2.270619,[20  8] ; [43 35],[16.64150943 11.35849057] ; [46.35849057 31.64150943],0
r1,1,0.131921,2.269748,[21  7] ; [68 10],[23.50943396  4.49056604] ; [65.49056604 12.50943396],0
n6,1,0.170651,1.877218,[26  2] ; [64 14],[23.77358491  4.22641509] ; [66.22641509 11.77358491],0
a8,1,0.189394,1.722329,[ 2 22] ; [14 56],[ 4.08510638 19.91489362] ; [11.91489362 58.08510638],0
s7,1,0.192892,1.69539,[18  7] ; [43 32],[15.25  9.75] ; [45.75 29.25],0
p9,1,0.211836,1.558834,[23  5] ; [70  7],[24.8  3.2] ; [68.2  8.8],0
n5,1,0.218336,1.515274,[23  5] ; [54 23],[20.53333333  7.46666667] ; [56.46666667 20.53333333],0
p5,1,0.269183,1.220906,[ 2 26] ; [12 66],[ 3.69811321 24.30188679] ; [10.30188679 67.69811321],0
u3,1,0.27198,1.206734,[5 1] ; [13  9],[3.85714286 2.14285714] ; [14.14285714  7.85714286],0
d2,1,0.284167,1.147052,[18 10] ; [41 37],[15.58490566 12.41509434] ; [43.41509434 34.58490566],0
p7,1,0.295642,1.09375,[17 11] ; [55 22],[19.2  8.8] ; [52.8 24.2],0
b2,1,0.37997,0.770799,[9 7] ; [25 32],[7.45205479 8.54794521] ; [26.54794521 30.45205479],0
b3,1,0.37997,0.770799,[9 7] ; [25 32],[7.45205479 8.54794521] ; [26.54794521 30.45205479],0
a2,1,0.382101,0.76393,[ 8 20] ; [16 62],[ 6.33962264 21.66037736] ; [17.66037736 60.33962264],0
s5,1,0.387931,0.745416,[11 16] ; [24 52],[ 9.17475728 17.82524272] ; [25.82524272 50.17475728],0
b1,1,0.407725,0.685424,[ 9 19] ; [32 46],[10.83018868 17.16981132] ; [30.16981132 47.83018868],0
d3,1,0.412383,0.671921,[20  8] ; [49 29],[18.22641509  9.77358491] ; [50.77358491 27.22641509],0
n4,1,0.470024,0.521918,[24  4] ; [62 16],[22.71698113  5.28301887] ; [63.28301887 14.71698113],0
a3,1,0.485372,0.48677,[22  6] ; [56 22],[20.60377358  7.39622642] ; [57.39622642 20.60377358],0
v1,1,0.510407,0.433233,[18 10] ; [44 33],[16.53333333 11.46666667] ; [45.46666667 31.53333333],0
p8,1,0.586495,0.295851,[14 14] ; [42 33],[15.22330097 12.77669903] ; [40.77669903 34.22330097],0
u2,1,0.594853,0.282828,[4 2] ; [17  5],[4.5 1.5] ; [16.5  5.5],0
