Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,72.371473,[11 75] ; [69 21],[39.09090909 46.90909091] ; [40.90909091 49.09090909],1
s6,1,0.0,36.653233,[33 52] ; [75 15],[52.45714286 32.54285714] ; [55.54285714 34.45714286],1
s8,1,0.002238,9.343141,[24 63] ; [45 45],[33.91525424 53.08474576] ; [35.08474576 54.91525424],0
s7,1,0.002643,9.038812,[23 63] ; [43 45],[32.62068966 53.37931034] ; [33.37931034 54.62068966],0
n3,1,0.011743,6.349206,[12  9] ; [24  3],[15.75  5.25] ; [20.25  6.75],0
n2,1,0.013555,6.095238,[10 11] ; [22  5],[14.  7.] ; [18.  9.],0
s5,1,0.016446,5.754532,[19 64] ; [33 49],[26.15757576 56.84242424] ; [25.84242424 56.15757576],0
d2,1,0.033022,4.544661,[27 60] ; [42 48],[33.91525424 53.08474576] ; [35.08474576 54.91525424],0
a2,1,0.042354,4.120994,[ 8 79] ; [18 72],[12.77966102 74.22033898] ; [13.22033898 76.77966102],0
r3,1,0.077871,3.108776,[80  7] ; [88  2],[82.57627119  4.42372881] ; [85.42372881  4.57627119],0
s4,1,0.121632,2.396173,[14 73] ; [23 67],[18.18644068 68.81355932] ; [18.81355932 71.18644068],0
n1,1,0.13057,2.285714,[ 3 18] ; [ 9 18],[ 5.25 15.75] ; [ 6.75 20.25],0
u1,1,0.156644,2.006333,[ 6 81] ; [12 78],[ 8.84745763 78.15254237] ; [ 9.15254237 80.84745763],0
b5,1,0.167376,1.906293,[59 28] ; [52 38],[54.55932203 32.44067797] ; [56.44067797 33.55932203],0
v3,1,0.189197,1.72386,[26 57] ; [19 66],[22.23214286 60.76785714] ; [22.76785714 62.23214286],0
b4,1,0.208308,1.583144,[48 39] ; [58 32],[52.10169492 34.89830508] ; [53.89830508 36.10169492],0
p12,1,0.212312,1.555587,[ 3 84] ; [ 7 83],[ 4.91525424 82.08474576] ; [ 5.08474576 84.91525424],0
a3,1,0.22298,1.485091,[53 34] ; [62 27],[56.84659091 30.15340909] ; [58.15340909 30.84659091],0
p5,1,0.223612,1.481042,[ 8 79] ; [ 4 84],[ 5.96571429 81.03428571] ; [ 6.03428571 81.96571429],0
r2,1,0.223612,1.481042,[79  8] ; [84  4],[81.03428571  5.96571429] ; [81.96571429  6.03428571],0
a8,1,0.233275,1.420783,[ 9 70] ; [ 5 77],[ 6.86956522 72.13043478] ; [ 7.13043478 74.86956522],0
a6,1,0.266534,1.2345,[53 34] ; [62 28],[56.52542373 30.47457627] ; [58.47457627 31.52542373],0
v2,1,0.278284,1.17545,[40 45] ; [46 37],[43.51190476 41.48809524] ; [42.48809524 40.51190476],0
p10,1,0.293616,1.102966,[70 17] ; [76 12],[72.58285714 14.41714286] ; [73.41714286 14.58285714],0
p8,1,0.296026,1.092013,[42 45] ; [36 53],[38.55681818 48.44318182] ; [39.44318182 49.55681818],0
r1,1,0.340914,0.906991,[62 25] ; [69 20],[64.75568182 22.24431818] ; [66.24431818 22.75568182],0
a7,1,0.34659,0.885902,[70 16] ; [68 22],[67.43181818 18.56818182] ; [70.56818182 19.43181818],0
d4,1,0.356642,0.849684,[71 16] ; [78 12],[73.23728814 13.76271186] ; [75.76271186 14.23728814],0
p2,1,0.393738,0.727367,[69 18] ; [75 14],[71.18181818 15.81818182] ; [72.81818182 16.18181818],0
a5,1,0.425598,0.634805,[55 32] ; [62 28],[57.50847458 29.49152542] ; [59.49152542 30.50847458],0
r4,1,0.430107,0.622534,[77 10] ; [76 14],[75.20338983 11.79661017] ; [77.79661017 12.20338983],0
a4,1,0.441852,0.591468,[29 58] ; [35 55],[31.45762712 55.54237288] ; [32.54237288 57.45762712],0
u2,1,0.456567,0.554299,[19 15] ; [17  9],[20.4 13.6] ; [15.6 10.4],0
p11,1,0.464443,0.535165,[67 20] ; [65 25],[64.88135593 22.11864407] ; [67.11864407 22.88135593],0
b2,1,0.474071,0.512472,[18 30] ; [15 34],[16.32989691 31.67010309] ; [16.67010309 32.32989691],0
b3,1,0.474071,0.512472,[18 30] ; [15 34],[16.32989691 31.67010309] ; [16.67010309 32.32989691],0
d1,1,0.509357,0.435389,[45 42] ; [51 39],[47.18644068 39.81355932] ; [48.81355932 41.18644068],0
a1,1,0.55116,0.355243,[ 4 83] ; [ 6 84],[ 4.91525424 82.08474576] ; [ 5.08474576 84.91525424],0
p1,1,0.592653,0.286221,[ 6 81] ; [ 8 80],[ 6.96 80.04] ; [ 7.04 80.96],0
d5,1,0.601242,0.273127,[64 22] ; [70 20],[65.47727273 20.52272727] ; [68.52272727 21.47727273],0
n4,1,0.624199,0.240009,[36 51] ; [34 56],[34.40677966 52.59322034] ; [35.59322034 54.40677966],0
b1,1,0.6344,0.226141,[27 60] ; [25 65],[25.55932203 61.44067797] ; [26.44067797 63.55932203],0
v4,1,0.726078,0.122743,[81  6] ; [84  5],[81.5625  5.4375] ; [83.4375  5.5625],0
d3,1,0.732548,0.116785,[65 21] ; [66 24],[64.01136364 21.98863636] ; [66.98863636 23.01136364],0
s1,1,0.733887,0.115572,[ 3 84] ; [ 4 86],[ 3.44067797 83.55932203] ; [ 3.55932203 86.44067797],0
p6,1,0.754916,0.097447,[25 60] ; [24 64],[24.07514451 60.92485549] ; [24.92485549 63.07514451],0
p3,1,0.782884,0.075935,[34 53] ; [37 53],[34.89830508 52.10169492] ; [36.10169492 53.89830508],0
p4,1,0.79717,0.066055,[37 50] ; [40 50],[37.84745763 49.15254237] ; [39.15254237 50.84745763],0
u3,1,0.831547,0.045249,[20 14] ; [16 10],[20.4 13.6] ; [15.6 10.4],0
p7,1,0.930744,0.007553,[49 38] ; [49 37],[49.28323699 37.71676301] ; [48.71676301 37.28323699],0
n6,1,0.958032,0.002769,[58 29] ; [59 30],[57.83522727 29.16477273] ; [59.16477273 29.83522727],0
v1,1,0.975466,0.000946,[35 52] ; [34 51],[34.90116279 52.09883721] ; [34.09883721 50.90116279],0
