Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,104.079247,[ 8 49] ; [151  24],[39.06465517 17.93534483] ; [119.93534483  55.06465517],1
s6,1,1e-06,23.50168,[35 22] ; [154  18],[47.04366812  9.95633188] ; [141.95633188  30.04366812],1
v4,1,0.000141,14.493823,[48  9] ; [168   4],[53.76419214  3.23580786] ; [162.23580786   9.76419214],1
s8,1,0.001287,10.36064,[26 30] ; [122  52],[36.03478261 19.96521739] ; [111.96521739  62.03478261],0
r2,1,0.001425,10.173202,[48  8] ; [167   5],[52.80701754  3.19298246] ; [162.19298246   9.80701754],0
s5,1,0.003947,8.308185,[12 45] ; [72 98],[21.09251101 35.90748899] ; [ 62.90748899 107.09251101],0
s4,1,0.051163,3.802918,[ 6 51] ; [ 39 136],[11.05603448 45.94396552] ; [ 33.94396552 141.05603448],0
r4,1,0.05372,3.721368,[46 11] ; [158  17],[50.12068966  6.87931034] ; [153.87931034  21.12068966],0
r1,1,0.057009,3.622342,[43 14] ; [150  24],[47.62337662  9.37662338] ; [145.37662338  28.62337662],0
d1,1,0.066588,3.365188,[28 29] ; [110  65],[33.90517241 23.09482759] ; [104.09482759  70.90517241],0
v2,1,0.080165,3.061558,[26 29] ; [102  66],[31.56950673 23.43049327] ; [96.43049327 71.56950673],0
u3,1,0.086335,2.941415,[5 7] ; [23 10],[7.46666667 4.53333333] ; [20.53333333 12.46666667],0
n4,1,0.09927,2.717228,[41 16] ; [142  31],[45.35217391 11.64782609] ; [137.64782609  35.35217391],0
r3,1,0.101417,2.683122,[52  5] ; [168   6],[54.28571429  2.71428571] ; [165.71428571   8.28571429],0
b4,1,0.110062,2.553336,[28 29] ; [107  68],[33.16810345 23.83189655] ; [101.83189655  73.16810345],0
b3,1,0.126608,2.333605,[19 22] ; [40 81],[14.93209877 26.06790123] ; [44.06790123 76.93209877],0
b2,1,0.126608,2.333605,[19 22] ; [40 81],[14.93209877 26.06790123] ; [44.06790123 76.93209877],0
p9,1,0.136813,2.213441,[44 12] ; [151  23],[47.47826087  8.52173913] ; [147.52173913  26.47826087],0
a1,1,0.157732,1.995832,[ 4 53] ; [  5 170],[ 2.2112069 54.7887931] ; [  6.7887931 168.2112069],0
n5,1,0.216614,1.526661,[41 16] ; [138  35],[44.36086957 12.63913043] ; [134.63913043  38.36086957],0
p7,1,0.230431,1.438202,[28 29] ; [99 71],[31.88986784 25.11013216] ; [95.11013216 74.88986784],0
u2,1,0.24513,1.350848,[5 7] ; [19 12],[6.69767442 5.30232558] ; [17.30232558 13.69767442],0
p1,1,0.245157,1.350695,[ 2 55] ; [ 14 161],[ 3.93103448 53.06896552] ; [ 12.06896552 162.93103448],0
p12,1,0.301412,1.067938,[ 5 51] ; [  9 166],[ 3.39393939 52.60606061] ; [ 10.60606061 164.39393939],0
p11,1,0.36307,0.827248,[42 15] ; [139  36],[44.46982759 12.53017241] ; [136.53017241  38.46982759],0
d4,1,0.39032,0.737946,[45 12] ; [146  28],[47.12987013  9.87012987] ; [143.87012987  30.12987013],0
d3,1,0.411952,0.673161,[37 20] ; [123  51],[39.48051948 17.51948052] ; [120.51948052  53.48051948],0
v3,1,0.43136,0.61916,[21 34] ; [73 92],[23.5 31.5] ; [70.5 94.5],0
p8,1,0.437857,0.601891,[23 34] ; [80 93],[25.52608696 31.47391304] ; [77.47391304 95.52608696],0
p5,1,0.445167,0.582928,[ 7 50] ; [ 15 155],[ 5.52422907 51.47577093] ; [ 16.47577093 153.52422907],0
d5,1,0.45195,0.565756,[45 12] ; [145  29],[46.88311688 10.11688312] ; [143.11688312  30.88311688],0
b5,1,0.503286,0.448,[32 25] ; [107  68],[34.15086207 22.84913793] ; [104.84913793  70.15086207],0
p10,1,0.503959,0.446591,[46 11] ; [147  27],[47.62337662  9.37662338] ; [145.37662338  28.62337662],0
u1,1,0.524592,0.404855,[14 43] ; [ 36 139],[12.28448276 44.71551724] ; [ 37.71551724 137.28448276],0
a2,1,0.556327,0.346103,[14 43] ; [ 50 125],[15.72413793 41.27586207] ; [ 48.27586207 126.72413793],0
n3,1,0.561625,0.336898,[9 6] ; [28 13],[9.91071429 5.08928571] ; [27.08928571 13.91071429],0
p4,1,0.572209,0.319,[29 28] ; [96 78],[30.84415584 26.15584416] ; [94.15584416 79.84415584],0
a8,1,0.579869,0.306447,[ 8 42] ; [ 31 128],[ 9.33014354 40.66985646] ; [ 29.66985646 129.33014354],0
a7,1,0.665777,0.186582,[38 19] ; [122  53],[39.31034483 17.68965517] ; [120.68965517  54.31034483],0
n6,1,0.690885,0.158129,[46 10] ; [146  27],[46.95196507  9.04803493] ; [145.04803493  27.95196507],0
a4,1,0.708365,0.139915,[24 32] ; [80 95],[25.21212121 30.78787879] ; [78.78787879 96.21212121],0
a3,1,0.715793,0.132559,[45 12] ; [142  33],[45.94396552 11.05603448] ; [141.05603448  33.94396552],0
p3,1,0.719429,0.12904,[24 33] ; [78 96],[25.16883117 31.83116883] ; [76.83116883 97.16883117],0
b1,1,0.72024,0.128263,[24 33] ; [ 69 106],[22.84913793 34.15086207] ; [ 70.15086207 104.84913793],0
s1,1,0.737547,0.112294,[ 2 54] ; [  8 165],[ 2.44541485 53.55458515] ; [  7.55458515 165.44541485],0
p2,1,0.789395,0.07134,[45 12] ; [141  34],[45.69827586 11.30172414] ; [140.30172414  34.69827586],0
a6,1,0.807943,0.059088,[37 20] ; [116  58],[37.75324675 19.24675325] ; [115.24675325  58.75324675],0
v1,1,0.819344,0.052162,[27 27] ; [87 81],[27.72972973 26.27027027] ; [86.27027027 81.72972973],0
a5,1,0.845205,0.038119,[45 12] ; [136  39],[44.46982759 12.53017241] ; [136.53017241  38.46982759],0
n2,1,0.936053,0.006437,[12  3] ; [34  8],[12.10526316  2.89473684] ; [33.89473684  8.10526316],0
d2,1,0.965181,0.001906,[30 27] ; [91 83],[29.85714286 27.14285714] ; [91.14285714 82.85714286],0
n1,1,0.98276,0.000467,[7 8] ; [19 22],[6.96428571 8.03571429] ; [19.03571429 21.96428571],0
