Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,33.419261,[107  27] ; [ 7 21],[94.2962963 39.7037037] ; [19.7037037  8.2962963],1
r3,1,0.0,27.932665,[116  17] ; [12 16],[105.73913043  27.26086957] ; [22.26086957  5.73913043],1
p2,1,1.7e-05,18.464156,[99 32] ; [ 9 18],[89.5443038 41.4556962] ; [18.4556962  8.5443038],1
p8,1,0.0004,12.533683,[61 69] ; [ 3 25],[52.65822785 77.34177215] ; [11.34177215 16.65822785],1
r2,1,0.000909,11.003416,[116  15] ; [17 10],[110.2721519  20.7278481] ; [22.7278481  4.2721519],1
r1,1,0.001384,10.226684,[91 43] ; [10 18],[83.54320988 50.45679012] ; [17.45679012 10.54320988],0
n6,1,0.001522,10.052116,[105  28] ; [14 14],[98.30434783 34.69565217] ; [20.69565217  7.30434783],0
p9,1,0.003407,8.575689,[99 31] ; [13 14],[92.7388535 37.2611465] ; [19.2611465  7.7388535],0
v3,1,0.009405,6.744203,[41 87] ; [ 2 25],[35.50967742 92.49032258] ; [ 7.49032258 19.50967742],0
u2,1,0.011195,6.434127,[26 26] ; [ 2 13],[21.73134328 30.26865672] ; [6.26865672 8.73134328],0
p11,1,0.012347,6.260279,[99 35] ; [14 14],[93.4691358 40.5308642] ; [19.5308642  8.4691358],0
p7,1,0.017226,5.673217,[74 56] ; [ 9 19],[68.29113924 61.70886076] ; [14.70886076 13.29113924],0
v1,1,0.018781,5.52183,[54 76] ; [ 5 23],[48.5443038 81.4556962] ; [10.4556962 17.5443038],0
a5,1,0.02221,5.229291,[84 50] ; [11 17],[78.58024691 55.41975309] ; [16.41975309 11.58024691],0
s6,1,0.024618,5.050533,[54 76] ; [ 5 22],[48.85350318 81.14649682] ; [10.14649682 16.85350318],0
p10,1,0.027657,4.849348,[87 43] ; [12 15],[81.97452229 48.02547771] ; [17.02547771  9.97452229],0
n1,1,0.034145,4.487435,[11 31] ; [8 6],[14.25 27.75] ; [4.75 9.25],0
d5,1,0.067037,3.354126,[87 47] ; [13 15],[82.71604938 51.28395062] ; [17.28395062 10.71604938],0
p6,1,0.079316,3.078866,[36 93] ; [ 3 23],[32.45806452 96.54193548] ; [ 6.54193548 19.45806452],0
p1,1,0.087156,2.92613,[ 10 123] ; [ 5 23],[ 12.39130435 120.60869565] ; [ 2.60869565 25.39130435],0
p4,1,0.095993,2.770882,[59 70] ; [ 8 20],[55.05095541 73.94904459] ; [11.94904459 16.05095541],0
a6,1,0.098995,2.721663,[61 73] ; [ 8 20],[57.07407407 76.92592593] ; [11.92592593 16.07407407],0
b5,1,0.111696,2.530065,[70 64] ; [10 18],[66.17283951 67.82716049] ; [13.82716049 14.17283951],0
s4,1,0.111907,2.527081,[ 14 119] ; [ 6 22],[ 16.52173913 116.47826087] ; [ 3.47826087 24.52173913],0
v2,1,0.129893,2.293784,[54 76] ; [ 7 20],[50.50955414 79.49044586] ; [10.49044586 16.50955414],0
n2,1,0.142497,2.150782,[30 12] ; [7 7],[27.75 14.25] ; [9.25 4.75],0
p3,1,0.151601,2.05607,[52 80] ; [ 7 21],[48.675 83.325] ; [10.325 17.675],0
a3,1,0.157892,1.994303,[81 52] ; [13 15],[77.65217391 55.34782609] ; [16.34782609 11.65217391],0
b1,1,0.164278,1.934397,[62 72] ; [17 11],[65.34567901 68.65432099] ; [13.65432099 14.34567901],0
n3,1,0.165205,1.925926,[29 10] ; [7 6],[27. 12.] ; [9. 4.],0
s8,1,0.176245,1.829004,[ 29 103] ; [ 3 25],[ 26.4 105.6] ; [ 5.6 22.4],0
a1,1,0.289359,1.122601,[  4 130] ; [ 2 26],[  4.96296296 129.03703704] ; [ 1.03703704 26.96296296],0
b4,1,0.344129,0.89499,[80 54] ; [14 14],[77.75308642 56.24691358] ; [16.24691358 11.75308642],0
b3,1,0.367039,0.813666,[31 44] ; [11 10],[32.8125 42.1875] ; [ 9.1875 11.8125],0
b2,1,0.367039,0.813666,[31 44] ; [11 10],[32.8125 42.1875] ; [ 9.1875 11.8125],0
d2,1,0.521959,0.41002,[60 73] ; [14 13],[61.5125 71.4875] ; [12.4875 14.5125],0
s5,1,0.523856,0.406295,[31 97] ; [ 5 22],[29.72903226 98.27096774] ; [ 6.27096774 20.72903226],0
a2,1,0.52941,0.395524,[  9 125] ; [ 1 27],[  8.27160494 125.72839506] ; [ 1.72839506 26.27160494],0
u3,1,0.593879,0.284326,[18 35] ; [ 4 11],[17.14705882 35.85294118] ; [ 4.85294118 10.14705882],0
n5,1,0.602639,0.271033,[96 36] ; [19  9],[94.875 37.125] ; [20.125  7.875],0
n4,1,0.645327,0.211842,[96 37] ; [19  9],[95. 38.] ; [20.  8.],0
a4,1,0.647924,0.208528,[48 85] ; [11 16],[49.04375 83.95625] ; [ 9.95625 17.04375],0
d3,1,0.656953,0.197245,[49 85] ; [ 9 19],[47.97530864 86.02469136] ; [10.02469136 17.97530864],0
d4,1,0.766719,0.088012,[87 47] ; [19  9],[87.67901235 46.32098765] ; [18.32098765  9.67901235],0
s7,1,0.809113,0.058356,[31 96] ; [ 6 21],[30.51298701 96.48701299] ; [ 6.48701299 20.51298701],0
p5,1,0.889681,0.01924,[ 13 119] ; [ 3 25],[ 13.2 118.8] ; [ 2.8 25.2],0
d1,1,0.903381,0.014736,[51 83] ; [11 17],[51.28395062 82.71604938] ; [10.71604938 17.28395062],0
s1,1,0.956331,0.002998,[  5 127] ; [ 1 27],[  4.95 127.05] ; [ 1.05 26.95],0
p12,1,0.977666,0.000784,[  5 126] ; [ 1 26],[  4.97468354 126.02531646] ; [ 1.02531646 25.97468354],0
s3,1,0.997565,9e-06,[34 97] ; [ 7 20],[33.99367089 97.00632911] ; [ 7.00632911 19.99367089],0
