Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,54.048131,[54 72] ; [313  91],[87.2490566 38.7509434] ; [279.7509434 124.2490566],1
p11,1,0.0,34.900157,[68 59] ; [324  81],[93.57894737 33.42105263] ; [298.42105263 106.57894737],1
p10,1,0.0,32.569701,[68 58] ; [318  81],[92.64 33.36] ; [293.36 105.64],1
n4,1,0.0,30.056348,[66 61] ; [312  92],[90.40677966 36.59322034] ; [287.59322034 116.40677966],1
r3,1,0.0,26.934409,[99 28] ; [378  25],[114.3  12.7] ; [362.7  40.3],1
r4,1,1e-06,24.365396,[87 40] ; [354  51],[105.27631579  21.72368421] ; [335.72368421  69.27631579],1
p2,1,1e-06,23.486079,[75 52] ; [323  79],[95.55009452 31.44990548] ; [302.44990548  99.55009452],1
v4,1,2e-06,22.353223,[100  25] ; [379  24],[113.39962121  11.60037879] ; [365.60037879  37.39962121],1
p9,1,3.2e-05,17.278445,[79 47] ; [319  76],[96.25335893 29.74664107] ; [301.74664107  93.25335893],1
s6,1,0.000876,11.073136,[53 74] ; [235 166],[69.27272727 57.72727273] ; [218.72727273 182.27272727],1
d1,1,0.002168,9.401182,[53 74] ; [232 173],[68.03571429 58.96428571] ; [216.96428571 188.03571429],0
b1,1,0.003307,8.629894,[64 63] ; [145 260],[49.89285714 77.10714286] ; [159.10714286 245.89285714],0
a1,1,0.003324,8.62055,[ 11 116] ; [ 11 394],[  5.2518797 121.7481203] ; [ 16.7481203 388.2518797],0
s5,1,0.00521,7.805222,[ 18 106] ; [106 290],[29.56923077 94.43076923] ; [ 94.43076923 301.56923077],0
s8,1,0.005254,7.789917,[30 97] ; [149 253],[42.97353497 84.02646503] ; [136.02646503 265.97353497],0
p4,1,0.008986,6.825652,[45 81] ; [197 205],[57.75 68.25] ; [184.25 217.75],0
p3,1,0.00935,6.754626,[36 91] ; [166 237],[48.40377358 78.59622642] ; [153.59622642 249.40377358],0
p8,1,0.009377,6.74963,[39 87] ; [176 224],[51.50190114 74.49809886] ; [163.49809886 236.50190114],0
v3,1,0.010126,6.61257,[31 85] ; [155 234],[42.72475248 73.27524752] ; [143.27524752 245.72475248],0
u1,1,0.010875,6.48571,[  9 118] ; [ 65 340],[ 17.66541353 109.33458647] ; [ 56.33458647 348.66541353],0
v2,1,0.012163,6.286882,[48 68] ; [212 176],[59.84126984 56.15873016] ; [200.15873016 187.84126984],0
r2,1,0.013257,6.134487,[106  19] ; [369  31],[113.0952381  11.9047619] ; [361.9047619  38.0952381],0
s7,1,0.013795,6.064231,[32 85] ; [154 232],[43.26441352 73.73558648] ; [142.73558648 243.26441352],0
d5,1,0.014802,5.939915,[87 39] ; [322  83],[97.05084746 28.94915254] ; [311.94915254  93.05084746],0
s1,1,0.023632,5.121462,[  8 118] ; [  9 390],[  4.08 121.92] ; [ 12.92 386.08],0
d2,1,0.036225,4.386485,[48 78] ; [196 206],[58.22727273 67.77272727] ; [185.77272727 216.22727273],0
s2,1,0.042344,4.121391,[39 87] ; [165 237],[48.68181818 77.31818182] ; [155.31818182 246.68181818],0
p7,1,0.044616,4.033098,[50 73] ; [203 195],[59.7293666 63.2706334] ; [193.2706334 204.7293666],0
v1,1,0.066067,3.378132,[47 76] ; [185 203],[55.84344423 67.15655577] ; [176.15655577 211.84344423],0
d4,1,0.077184,3.123221,[92 33] ; [327  77],[99.00756144 25.99243856] ; [319.99243856  84.00756144],0
b3,1,0.081709,3.030584,[20 57] ; [ 89 153],[26.31034483 50.68965517] ; [ 82.68965517 159.31034483],0
b2,1,0.081709,3.030584,[20 57] ; [ 89 153],[26.31034483 50.68965517] ; [ 82.68965517 159.31034483],0
u3,1,0.089384,2.885428,[27 17] ; [61 70],[22.12571429 21.87428571] ; [65.87428571 65.12571429],0
p12,1,0.112614,2.517147,[  3 123] ; [ 24 380],[  6.41886792 119.58113208] ; [ 20.58113208 383.41886792],0
r1,1,0.122674,2.382841,[90 36] ; [314  88],[96.40909091 29.59090909] ; [307.59090909  94.40909091],0
p5,1,0.125771,2.34394,[  5 120] ; [ 32 367],[  8.82633588 116.17366412] ; [ 28.17366412 370.82633588],0
a8,1,0.149066,2.081785,[ 12 108] ; [ 56 311],[ 16.75564682 103.24435318] ; [ 51.24435318 315.75564682],0
u2,1,0.177648,1.817189,[27 17] ; [64 65],[23.14450867 20.85549133] ; [67.85549133 61.14450867],0
a2,1,0.196223,1.670262,[ 22 105] ; [ 92 313],[27.21428571 99.78571429] ; [ 86.78571429 318.21428571],0
d3,1,0.245708,1.347544,[74 52] ; [261 144],[79.49152542 46.50847458] ; [255.50847458 149.49152542],0
a4,1,0.249125,1.328202,[47 80] ; [172 230],[52.57655955 74.42344045] ; [166.42344045 235.57655955],0
n2,1,0.346299,0.886972,[29 15] ; [70 25],[31.3381295 12.6618705] ; [67.6618705 27.3381295],0
u4,1,0.365082,0.820335,[  1 126] ; [  8 397],[  2.14849624 124.85150376] ; [  6.85150376 398.14849624],0
n3,1,0.384452,0.756417,[26 16] ; [66 29],[28.20437956 13.79562044] ; [63.79562044 31.20437956],0
a5,1,0.429882,0.623143,[85 42] ; [286 119],[88.56578947 38.43421053] ; [282.43421053 122.56578947],0
