Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000154,14.322773,[10 99] ; [18 37],[18.6097561 90.3902439] ; [ 9.3902439 45.6097561],1
p7,1,0.000266,13.29252,[34 72] ; [32 19],[44.56050955 61.43949045] ; [21.43949045 29.56050955],1
p2,1,0.002728,8.980925,[63 46] ; [44 10],[71.55214724 37.44785276] ; [35.44785276 18.55214724],0
p11,1,0.005711,7.639291,[59 50] ; [42 13],[67.12804878 41.87195122] ; [33.87195122 21.12804878],0
s8,1,0.015504,5.858231,[19 89] ; [19 36],[25.17791411 82.82208589] ; [12.82208589 42.17791411],0
p4,1,0.017104,5.685718,[24 84] ; [22 33],[30.47852761 77.52147239] ; [15.52147239 39.47852761],0
a7,1,0.028567,4.793545,[66 42] ; [43 12],[72.2208589 35.7791411] ; [36.7791411 18.2208589],0
p10,1,0.042695,4.107432,[64 43] ; [41 13],[69.7826087 37.2173913] ; [35.2173913 18.7826087],0
p9,1,0.045746,3.99093,[68 37] ; [44 11],[73.5 31.5] ; [38.5 16.5],0
a4,1,0.063877,3.433745,[37 72] ; [11 44],[31.90243902 77.09756098] ; [16.09756098 38.90243902],0
p5,1,0.073453,3.204114,[  1 107] ; [ 3 51],[  2.66666667 105.33333333] ; [ 1.33333333 52.66666667],0
s7,1,0.086609,2.936297,[21 82] ; [18 37],[25.42405063 77.57594937] ; [13.57594937 41.42405063],0
b1,1,0.123593,2.371191,[43 66] ; [15 40],[38.54878049 70.45121951] ; [19.45121951 35.54878049],0
d2,1,0.14806,2.092127,[40 69] ; [14 41],[35.8902439 73.1097561] ; [18.1097561 36.8902439],0
b4,1,0.16201,1.95536,[66 43] ; [27 28],[61.81097561 47.18902439] ; [31.18902439 23.81097561],0
d3,1,0.164589,1.931549,[64 43] ; [39 16],[68.0308642 38.9691358] ; [34.9691358 20.0308642],0
a3,1,0.179894,1.798499,[63 45] ; [26 29],[58.96932515 49.03067485] ; [30.03067485 24.96932515],0
b3,1,0.191207,1.708292,[12 40] ; [ 9 15],[14.36842105 37.63157895] ; [ 6.63157895 17.36842105],0
