Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000374,12.658333,[ 9 23] ; [22  8],[16. 16.] ; [15. 15.],1
s4,1,0.024941,5.027947,[12 20] ; [ 4 27],[ 8.12698413 23.87301587] ; [ 7.87301587 23.12698413],0
v3,1,0.034721,4.458859,[ 7 23] ; [14 14],[10.86206897 19.13793103] ; [10.13793103 17.86206897],0
a6,1,0.069944,3.284324,[15 16] ; [22  9],[18.5 12.5] ; [18.5 12.5],0
a8,1,0.095119,2.78553,[ 4 26] ; [ 8 17],[ 6.54545455 23.45454545] ; [ 5.45454545 19.54545455],0
a5,1,0.123995,2.366118,[19 13] ; [24  7],[21.84126984 10.15873016] ; [21.15873016  9.84126984],0
s8,1,0.163431,1.942192,[14 18] ; [19 12],[16.76190476 15.23809524] ; [16.23809524 14.76190476],0
s1,1,0.17337,1.85356,[ 4 28] ; [ 1 30],[ 2.53968254 29.46031746] ; [ 2.46031746 28.53968254],0
n6,1,0.176099,1.830246,[27  5] ; [21  9],[24.77419355  7.22580645] ; [23.22580645  6.77419355],0
p3,1,0.235799,1.405534,[15 17] ; [10 21],[12.6984127 19.3015873] ; [12.3015873 18.6984127],0
p1,1,0.246751,1.341608,[ 5 27] ; [ 2 29],[ 3.55555556 28.44444444] ; [ 3.44444444 27.55555556],0
u4,1,0.286296,1.136956,[ 1 31] ; [ 3 28],[ 2.03174603 29.96825397] ; [ 1.96825397 29.03174603],0
a2,1,0.353296,0.861582,[ 7 25] ; [10 21],[ 8.63492063 23.36507937] ; [ 8.36507937 22.63492063],0
p9,1,0.362856,0.827985,[18 12] ; [15 16],[16.2295082 13.7704918] ; [16.7704918 14.2295082],0
a3,1,0.364697,0.821655,[24  8] ; [20 11],[22.34920635  9.65079365] ; [21.65079365  9.34920635],0
p2,1,0.364697,0.821655,[24  8] ; [20 11],[22.34920635  9.65079365] ; [21.65079365  9.34920635],0
b3,1,0.374166,0.789781,[10 10] ; [10 17],[ 8.5106383 11.4893617] ; [11.4893617 15.5106383],0
b2,1,0.374166,0.789781,[10 10] ; [10 17],[ 8.5106383 11.4893617] ; [11.4893617 15.5106383],0
p11,1,0.378784,0.774645,[14 18] ; [17 14],[15.74603175 16.25396825] ; [15.25396825 15.74603175],0
u2,1,0.387094,0.748052,[4 4] ; [7 3],[4.88888889 3.11111111] ; [6.11111111 3.88888889],0
d3,1,0.40856,0.682987,[20 11] ; [23  8],[21.5  9.5] ; [21.5  9.5],0
r1,1,0.41388,0.667629,[23  9] ; [25  6],[24.38095238  7.61904762] ; [23.61904762  7.38095238],0
n4,1,0.420515,0.648875,[24  8] ; [25  5],[25.29032258  6.70967742] ; [23.70967742  6.29032258],0
p8,1,0.437343,0.603243,[11 20] ; [14 17],[12.5 18.5] ; [12.5 18.5],0
d2,1,0.442235,0.590476,[16 15] ; [19 12],[17.5 13.5] ; [17.5 13.5],0
b4,1,0.475978,0.508065,[20 12] ; [22  9],[21.33333333 10.66666667] ; [20.66666667 10.33333333],0
s2,1,0.475978,0.508065,[20 12] ; [22  9],[21.33333333 10.66666667] ; [20.66666667 10.33333333],0
n2,1,0.484423,0.488889,[8 4] ; [8 2],[8.72727273 3.27272727] ; [7.27272727 2.72727273],0
p7,1,0.50969,0.434704,[15 16] ; [12 18],[13.72131148 17.27868852] ; [13.27868852 16.72131148],0
s5,1,0.533365,0.387977,[ 9 20] ; [12 19],[10.15 18.85] ; [10.85 20.15],0
a7,1,0.534645,0.385555,[22 10] ; [19 12],[20.82539683 11.17460317] ; [20.17460317 10.82539683],0
p4,1,0.535351,0.384224,[19 13] ; [16 15],[17.77777778 14.22222222] ; [17.22222222 13.77777778],0
d5,1,0.543524,0.369048,[23  8] ; [25  6],[24.  7.] ; [24.  7.],0
p6,1,0.60204,0.27193,[13 18] ; [11 20],[12. 19.] ; [12. 19.],0
u3,1,0.635848,0.224213,[5 3] ; [8 3],[5.47368421 2.52631579] ; [7.52631579 3.47368421],0
p5,1,0.655965,0.198463,[ 3 29] ; [ 4 27],[ 3.55555556 28.44444444] ; [ 3.44444444 27.55555556],0
v4,1,0.667811,0.184173,[29  3] ; [29  2],[29.46031746  2.53968254] ; [28.53968254  2.46031746],0
n3,1,0.695895,0.152778,[7 5] ; [5 5],[6.54545455 5.45454545] ; [5.45454545 4.54545455],0
b1,1,0.700646,0.147801,[16 16] ; [14 17],[15.23809524 16.76190476] ; [14.76190476 16.23809524],0
u1,1,0.718494,0.12994,[ 8 24] ; [ 9 22],[ 8.63492063 23.36507937] ; [ 8.36507937 22.63492063],0
n1,1,0.746188,0.104762,[8 4] ; [6 4],[7.63636364 4.36363636] ; [6.36363636 3.63636364],0
s3,1,0.766808,0.087943,[24  7] ; [23  8],[23.5  7.5] ; [23.5  7.5],0
s6,1,0.80482,0.061065,[25  7] ; [25  6],[25.3968254  6.6031746] ; [24.6031746  6.3968254],0
b5,1,0.858569,0.031754,[21 11] ; [21 10],[21.33333333 10.66666667] ; [20.66666667 10.33333333],0
n5,1,0.86079,0.030754,[22 10] ; [20 10],[21.67741935 10.32258065] ; [20.32258065  9.67741935],0
d1,1,0.884319,0.021169,[18 14] ; [18 13],[18.28571429 13.71428571] ; [17.71428571 13.28571429],0
a4,1,0.904372,0.014434,[17 15] ; [16 15],[16.76190476 15.23809524] ; [16.23809524 14.76190476],0
r4,1,0.956351,0.002996,[27  5] ; [26  5],[26.92063492  5.07936508] ; [26.07936508  4.92063492],0
r3,1,0.967391,0.001671,[29  3] ; [28  3],[28.95238095  3.04761905] ; [28.04761905  2.95238095],0
d4,1,1.0,0.0,[27  4] ; [27  4],[27.  4.] ; [27.  4.],0
r2,1,1.0,0.0,[29  2] ; [29  2],[29.  2.] ; [29.  2.],0
