Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4e-05,16.870501,[31  6] ; [42 53],[20.46212121 16.53787879] ; [52.53787879 42.46212121],1
s4,1,0.000961,10.90201,[14 23] ; [12 84],[ 7.23308271 29.76691729] ; [18.76691729 77.23308271],1
b4,1,0.001578,9.985322,[31  6] ; [52 44],[23.09022556 13.90977444] ; [59.90977444 36.09022556],0
p1,1,0.001725,9.821328,[ 7 29] ; [ 3 92],[ 2.7480916 33.2519084] ; [ 7.2519084 87.7480916],0
s7,1,0.003049,8.777722,[21 15] ; [28 65],[13.6744186 22.3255814] ; [35.3255814 57.6744186],0
p6,1,0.005682,7.648499,[20 16] ; [27 65],[13.21875 22.78125] ; [33.78125 58.21875],0
n1,1,0.008907,6.841451,[5 6] ; [ 2 23],[2.13888889 8.86111111] ; [ 4.86111111 20.13888889],0
s2,1,0.00957,6.713204,[21 16] ; [31 65],[14.46616541 22.53383459] ; [37.53383459 58.46616541],0
b5,1,0.00957,6.713204,[16 21] ; [65 31],[22.53383459 14.46616541] ; [58.46616541 37.53383459],0
s3,1,0.015937,5.809801,[24 12] ; [40 53],[17.86046512 18.13953488] ; [46.13953488 46.86046512],0
u2,1,0.029485,4.739091,[4 9] ; [20 10],[7.25581395 5.74418605] ; [16.74418605 13.25581395],0
a6,1,0.072195,3.232399,[18 19] ; [63 33],[22.53383459 14.46616541] ; [58.46616541 37.53383459],0
p5,1,0.075279,3.163992,[ 4 33] ; [ 3 93],[ 1.94736842 35.05263158] ; [ 5.05263158 90.94736842],0
s1,1,0.075279,3.163992,[ 4 33] ; [ 3 93],[ 1.94736842 35.05263158] ; [ 5.05263158 90.94736842],0
u1,1,0.083741,2.990757,[ 7 30] ; [ 8 88],[ 4.17293233 32.82706767] ; [10.82706767 85.17293233],0
b1,1,0.09105,2.855706,[11 26] ; [44 52],[15.30075188 21.69924812] ; [39.69924812 56.30075188],0
d4,1,0.091188,2.85327,[33  4] ; [73 23],[29.4887218  7.5112782] ; [76.5112782 19.4887218],0
d5,1,0.094918,2.788918,[30  7] ; [63 32],[26.06818182 10.93181818] ; [66.93181818 28.06818182],0
p10,1,0.101777,2.677479,[30  7] ; [64 32],[26.15037594 10.84962406] ; [67.84962406 28.15037594],0
n4,1,0.112963,2.512265,[11 26] ; [43 53],[15.02255639 21.97744361] ; [38.97744361 57.02255639],0
p3,1,0.114006,2.497791,[23 14] ; [45 51],[18.91729323 18.08270677] ; [49.08270677 46.91729323],0
b3,1,0.132422,2.263884,[ 8 14] ; [11 44],[ 5.42857143 16.57142857] ; [13.57142857 41.42857143],0
b2,1,0.132422,2.263884,[ 8 14] ; [11 44],[ 5.42857143 16.57142857] ; [13.57142857 41.42857143],0
n6,1,0.147197,2.101058,[28  8] ; [62 34],[24.54545455 11.45454545] ; [65.45454545 30.54545455],0
a5,1,0.150125,2.070977,[28  9] ; [60 36],[24.48120301 12.51879699] ; [63.51879699 32.48120301],0
p12,1,0.214697,1.539467,[ 3 34] ; [ 3 93],[ 1.66917293 35.33082707] ; [ 4.33082707 91.66917293],0
p9,1,0.229107,1.446396,[30  7] ; [68 28],[27.26315789  9.73684211] ; [70.73684211 25.26315789],0
a4,1,0.236425,1.401786,[16 21] ; [31 65],[13.07518797 23.92481203] ; [33.92481203 62.07518797],0
a1,1,0.24904,1.328681,[ 4 33] ; [ 5 91],[ 2.5037594 34.4962406] ; [ 6.4962406 89.5037594],0
r4,1,0.256135,1.289528,[34  3] ; [81 15],[31.9924812  5.0075188] ; [83.0075188 12.9924812],0
a7,1,0.256709,1.286418,[24 13] ; [71 24],[26.62878788 10.37121212] ; [68.37121212 26.62878788],0
s8,1,0.310229,1.029702,[15 22] ; [30 66],[12.51879699 24.48120301] ; [32.48120301 63.51879699],0
a2,1,0.327609,0.958325,[ 8 29] ; [14 82],[ 6.12030075 30.87969925] ; [15.87969925 80.12030075],0
d2,1,0.342688,0.900351,[18 19] ; [38 58],[15.57894737 21.42105263] ; [40.42105263 55.57894737],0
p4,1,0.439188,0.598403,[23 14] ; [52 43],[21.02272727 15.97727273] ; [53.97727273 41.02272727],0
u3,1,0.452995,0.563148,[6 7] ; [17 12],[7.11904762 5.88095238] ; [15.88095238 13.11904762],0
v1,1,0.47612,0.507737,[14 22] ; [30 63],[12.27906977 23.72093023] ; [31.72093023 61.27906977],0
r2,1,0.591426,0.288123,[33  3] ; [84 11],[32.15267176  3.84732824] ; [84.84732824 10.15267176],0
a8,1,0.611083,0.2586,[ 2 31] ; [ 8 82],[ 2.68292683 30.31707317] ; [ 7.31707317 82.68292683],0
n3,1,0.621273,0.244082,[9 2] ; [22  3],[9.47222222 1.52777778] ; [21.52777778  3.47222222],0
v2,1,0.631128,0.230534,[19 18] ; [42 48],[17.77165354 19.22834646] ; [43.22834646 46.77165354],0
r1,1,0.658442,0.195421,[28  9] ; [69 27],[26.98496241 10.01503759] ; [70.01503759 25.98496241],0
p8,1,0.702212,0.146181,[22 15] ; [53 42],[21.02272727 15.97727273] ; [53.97727273 41.02272727],0
v4,1,0.724513,0.12421,[34  2] ; [89  7],[33.54545455  2.45454545] ; [89.45454545  6.54545455],0
n2,1,0.798074,0.065455,[7 4] ; [17  8],[7.33333333 3.66666667] ; [16.66666667  8.33333333],0
v3,1,0.8456,0.037922,[10 26] ; [24 68],[ 9.5625 26.4375] ; [24.4375 67.5625],0
p2,1,0.891927,0.01846,[32  5] ; [83 12],[32.23484848  4.76515152] ; [82.76515152 12.23484848],0
a3,1,0.909452,0.012934,[24 12] ; [65 31],[24.27272727 11.72727273] ; [64.72727273 31.27272727],0
d3,1,0.933735,0.006913,[27 10] ; [70 25],[27.18939394  9.81060606] ; [69.81060606 25.18939394],0
d1,1,0.974459,0.001025,[19 18] ; [49 47],[18.91729323 18.08270677] ; [49.08270677 46.91729323],0
p11,1,0.994775,4.3e-05,[27 10] ; [70 26],[26.98496241 10.01503759] ; [70.01503759 25.98496241],0
