Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,23.962456,[54  6] ; [65 57],[39.23076923 20.76923077] ; [79.76923077 42.23076923],1
s8,1,9e-06,19.790466,[36 25] ; [31 91],[22.33333333 38.66666667] ; [44.66666667 77.33333333],1
s2,1,4.5e-05,16.627419,[44 17] ; [49 73],[31. 30.] ; [62. 60.],1
s7,1,0.0001,15.139272,[37 18] ; [40 73],[25.20833333 29.79166667] ; [51.79166667 61.20833333],1
s4,1,0.000198,13.848649,[21 40] ; [ 14 108],[11.66666667 49.33333333] ; [23.33333333 98.66666667],1
p10,1,0.000584,11.827213,[42 16] ; [54 66],[31.28089888 26.71910112] ; [64.71910112 55.28089888],1
a8,1,0.011237,6.42747,[11 42] ; [  8 103],[ 6.1402439 46.8597561] ; [12.8597561 98.1402439],0
p9,1,0.012592,6.225601,[45 14] ; [68 51],[37.45505618 21.54494382] ; [75.54494382 43.45505618],0
a5,1,0.02719,4.878699,[47 14] ; [74 48],[40.33333333 20.66666667] ; [80.66666667 41.33333333],0
v1,1,0.030098,4.703713,[33 27] ; [46 75],[26.1878453 33.8121547] ; [52.8121547 68.1878453],0
a3,1,0.040095,4.21387,[45 15] ; [72 49],[38.78453039 21.21546961] ; [78.21546961 42.78453039],0
s3,1,0.041116,4.171241,[39 22] ; [58 63],[32.51098901 28.48901099] ; [64.48901099 56.51098901],0
d2,1,0.067057,3.353621,[37 24] ; [56 65],[31.17032967 29.82967033] ; [61.82967033 59.17032967],0
p6,1,0.084498,2.97619,[23 37] ; [31 89],[18. 42.] ; [36. 84.],0
b4,1,0.091316,2.851022,[40 21] ; [64 58],[34.66666667 26.33333333] ; [69.33333333 52.66666667],0
n2,1,0.101217,2.686259,[17  4] ; [26 17],[14.109375  6.890625] ; [28.890625 14.109375],0
p4,1,0.101487,2.682011,[34 25] ; [54 67],[28.84444444 30.15555556] ; [59.15555556 61.84444444],0
u1,1,0.102783,2.661818,[15 46] ; [ 18 104],[11. 50.] ; [ 22. 100.],0
r4,1,0.128011,2.316456,[56  5] ; [102  20],[52.66666667  8.33333333] ; [105.33333333  16.66666667],0
a4,1,0.139559,2.182814,[31 30] ; [48 74],[26.33333333 34.66666667] ; [52.66666667 69.33333333],0
