Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000793,11.256402,[47 98] ; [12  4],[53.13664596 91.86335404] ; [ 5.86335404 10.13664596],1
p4,1,0.000912,10.999059,[54 88] ; [13  3],[60.21518987 81.78481013] ; [6.78481013 9.21518987],1
p10,1,0.006686,7.355406,[84 58] ; [15  1],[88.97468354 53.02531646] ; [10.02531646  5.97468354],0
p1,1,0.022131,5.235449,[ 11 135] ; [ 4 12],[ 13.51851852 132.48148148] ; [ 1.48148148 14.51851852],0
p9,1,0.030105,4.70328,[96 46] ; [15  1],[99.75949367 42.24050633] ; [11.24050633  4.75949367],0
n5,1,0.037286,4.337284,[100  45] ; [15  1],[103.57142857  41.42857143] ; [11.42857143  4.57142857],0
p7,1,0.057467,3.609023,[72 72] ; [12  4],[75.6 68.4] ; [8.4 7.6],0
s6,1,0.096607,2.760676,[50 94] ; [8 6],[52.86075949 91.13924051] ; [5.13924051 8.86075949],0
s5,1,0.101779,2.677447,[ 30 111] ; [6 9],[ 32.53846154 108.46153846] ; [ 3.46153846 11.53846154],0
p11,1,0.103535,2.650228,[99 47] ; [14  2],[101.83950617  44.16049383] ; [11.16049383  4.83950617],0
a6,1,0.112811,2.514393,[61 85] ; [10  6],[63.98765432 82.01234568] ; [7.01234568 8.98765432],0
p2,1,0.115812,2.473062,[97 48] ; [13  2],[99.6875 45.3125] ; [10.3125  4.6875],0
n4,1,0.125254,2.350358,[101  45] ; [14  2],[103.64197531  42.35802469] ; [11.35802469  4.64197531],0
a5,1,0.147257,2.100442,[82 64] ; [12  4],[84.71604938 61.28395062] ; [9.28395062 6.71604938],0
d2,1,0.153147,2.040624,[63 81] ; [10  6],[65.7 78.3] ; [7.3 8.7],0
p6,1,0.158185,1.991489,[ 33 108] ; [6 9],[ 35.25 105.75] ; [ 3.75 11.25],0
n6,1,0.164896,1.928744,[104  42] ; [14  2],[106.34567901  39.65432099] ; [11.65432099  4.34567901],0
p8,1,0.168827,1.89333,[55 88] ; [9 7],[57.55974843 85.44025157] ; [6.44025157 9.55974843],0
d5,1,0.229974,1.441025,[87 59] ; [12  4],[89.22222222 56.77777778] ; [9.77777778 6.22222222],0
d1,1,0.282999,1.152633,[53 93] ; [8 8],[54.97530864 91.02469136] ; [6.02469136 9.97530864],0
r2,1,0.288689,1.125727,[121  21] ; [12  4],[119.53164557  22.46835443] ; [13.46835443  2.53164557],0
v3,1,0.314006,1.013749,[ 36 104] ; [ 6 10],[ 37.69230769 102.30769231] ; [ 4.30769231 11.69230769],0
