Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.002438,9.186603,[20 20] ; [18  2],[25.33333333 14.66666667] ; [12.66666667  7.33333333],0
p9,1,0.03316,4.5375,[23 17] ; [17  3],[26.66666667 13.33333333] ; [13.33333333  6.66666667],0
s7,1,0.038787,4.270186,[11 24] ; [12  8],[14.63636364 20.36363636] ; [ 8.36363636 11.63636364],0
p7,1,0.044491,4.03782,[17 23] ; [14  6],[20.66666667 19.33333333] ; [10.33333333  9.66666667],0
s5,1,0.048919,3.878116,[ 9 29] ; [9 9],[12.21428571 25.78571429] ; [ 5.78571429 12.21428571],0
n4,1,0.05778,3.6,[33  7] ; [12  8],[30. 10.] ; [15.  5.],0
p12,1,0.067278,3.348214,[ 1 39] ; [ 3 17],[ 2.66666667 37.33333333] ; [ 1.33333333 18.66666667],0
v2,1,0.081799,3.028793,[18 21] ; [14  6],[21.15254237 17.84745763] ; [10.84745763  9.15254237],0
s8,1,0.093533,2.8125,[13 27] ; [11  9],[16. 24.] ; [ 8. 12.],0
v3,1,0.116418,2.464865,[16 22] ; [ 4 15],[13.33333333 24.66666667] ; [ 6.66666667 12.33333333],0
u3,1,0.123324,2.374585,[8 9] ; [5 1],[9.60869565 7.39130435] ; [3.39130435 2.60869565],0
n5,1,0.156168,2.010944,[31  9] ; [12  8],[28.66666667 11.33333333] ; [14.33333333  5.66666667],0
d2,1,0.167096,1.908803,[16 23] ; [12  8],[18.50847458 20.49152542] ; [ 9.49152542 10.50847458],0
v4,1,0.179364,1.802885,[33  7] ; [19  1],[34.66666667  5.33333333] ; [17.33333333  2.66666667],0
b3,1,0.182422,1.777778,[ 8 17] ; [8 7],[10. 15.] ; [6. 9.],0
b2,1,0.182422,1.777778,[ 8 17] ; [8 7],[10. 15.] ; [6. 9.],0
u2,1,0.18262,1.776169,[ 6 11] ; [4 2],[7.39130435 9.60869565] ; [2.60869565 3.39130435],0
v1,1,0.212699,1.552961,[14 23] ; [11  9],[16.22807018 20.77192982] ; [ 8.77192982 11.22807018],0
p11,1,0.250829,1.318681,[28 12] ; [11  9],[26. 14.] ; [13.  7.],0
p8,1,0.263552,1.25,[14 26] ; [10 10],[16. 24.] ; [ 8. 12.],0
s4,1,0.290422,1.117666,[ 7 32] ; [ 6 14],[ 8.59322034 30.40677966] ; [ 4.40677966 15.59322034],0
n1,1,0.317311,1.0,[5 7] ; [4 2],[6. 6.] ; [3. 3.],0
a3,1,0.347841,0.881316,[23 17] ; [14  6],[24.66666667 15.33333333] ; [12.33333333  7.66666667],0
p4,1,0.357001,0.848416,[21 19] ; [13  7],[22.66666667 17.33333333] ; [11.33333333  8.66666667],0
d1,1,0.361044,0.83426,[19 21] ; [12  8],[20.66666667 19.33333333] ; [10.33333333  9.66666667],0
a8,1,0.378896,0.774282,[ 3 34] ; [ 3 16],[ 3.96428571 33.03571429] ; [ 2.03571429 16.96428571],0
n3,1,0.422678,0.642857,[10  2] ; [4 2],[9.33333333 2.66666667] ; [4.66666667 1.33333333],0
r4,1,0.443102,0.588235,[33  7] ; [18  2],[34.  6.] ; [17.  3.],0
u1,1,0.443102,0.588235,[ 7 33] ; [ 2 18],[ 6. 34.] ; [ 3. 17.],0
s2,1,0.464961,0.533927,[18 22] ; [11  9],[19.33333333 20.66666667] ; [ 9.66666667 10.33333333],0
a1,1,0.508883,0.436364,[ 4 36] ; [ 1 19],[ 3.33333333 36.66666667] ; [ 1.66666667 18.33333333],0
d5,1,0.550097,0.357143,[27 13] ; [15  5],[28. 12.] ; [14.  6.],0
a2,1,0.591208,0.288462,[ 6 34] ; [ 2 18],[ 5.33333333 34.66666667] ; [ 2.66666667 17.33333333],0
u4,1,0.611069,0.258621,[ 1 39] ; [ 1 19],[ 1.33333333 38.66666667] ; [ 0.66666667 19.33333333],0
a5,1,0.679708,0.170455,[30 10] ; [14  6],[29.33333333 10.66666667] ; [14.66666667  5.33333333],0
r1,1,0.685356,0.164159,[28 12] ; [15  5],[28.66666667 11.33333333] ; [14.33333333  5.66666667],0
d3,1,0.714849,0.133482,[20 20] ; [ 9 11],[19.33333333 20.66666667] ; [ 9.66666667 10.33333333],0
d4,1,0.839461,0.04104,[29 11] ; [14  6],[28.66666667 11.33333333] ; [14.33333333  5.66666667],0
p10,1,0.846451,0.0375,[27 13] ; [13  7],[26.66666667 13.33333333] ; [13.33333333  6.66666667],0
a7,1,0.851067,0.035253,[25 15] ; [12  8],[24.66666667 15.33333333] ; [12.33333333  7.66666667],0
b5,1,0.8531,0.034286,[23 17] ; [12  8],[23.33333333 16.66666667] ; [11.66666667  8.33333333],0
b4,1,0.8531,0.034286,[23 17] ; [12  8],[23.33333333 16.66666667] ; [11.66666667  8.33333333],0
s3,1,0.855052,0.03337,[21 19] ; [10 10],[20.66666667 19.33333333] ; [10.33333333  9.66666667],0
p5,1,0.950118,0.003914,[ 4 34] ; [ 2 18],[ 3.93103448 34.06896552] ; [ 2.06896552 17.93103448],0
n6,1,0.963053,0.002146,[31  8] ; [16  4],[31.06779661  7.93220339] ; [15.93220339  4.06779661],0
a6,1,1.0,0.0,[24 16] ; [12  8],[24. 16.] ; [12.  8.],0
p1,1,1.0,0.0,[ 4 36] ; [ 2 18],[ 4. 36.] ; [ 2. 18.],0
a4,1,1.0,0.0,[18 22] ; [ 9 11],[18. 22.] ; [ 9. 11.],0
b1,1,1.0,0.0,[20 20] ; [10 10],[20. 20.] ; [10. 10.],0
