Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.47112,[19 23] ; [71 12],[30.24 11.76] ; [59.76 23.24],1
a5,1,0.000516,12.056455,[12 30] ; [51 32],[21.168 20.832] ; [41.832 41.168],1
d4,1,0.001134,10.595659,[25 17] ; [71 12],[32.256  9.744] ; [63.744 19.256],0
p11,1,0.006644,7.366769,[20 22] ; [60 23],[26.88 15.12] ; [53.12 29.88],0
r2,1,0.012637,6.219244,[30 10] ; [76  7],[34.47154472  5.52845528] ; [71.52845528 11.47154472],0
v2,1,0.023048,5.164879,[13 29] ; [42 38],[18.93442623 23.06557377] ; [36.06557377 43.93442623],0
a4,1,0.036972,4.35172,[ 8 34] ; [31 52],[13.104 28.896] ; [25.896 57.104],0
r3,1,0.039968,4.219224,[33  9] ; [76  7],[36.624  5.376] ; [72.376 10.624],0
a3,1,0.042054,4.133021,[21 20] ; [58 25],[26.12096774 14.87903226] ; [52.87903226 30.12096774],0
n1,1,0.066977,3.355592,[ 1 13] ; [ 8 16],[ 3.31578947 10.68421053] ; [ 5.68421053 18.31578947],0
v1,1,0.08305,3.004183,[ 8 32] ; [29 53],[12.13114754 27.86885246] ; [24.86885246 57.13114754],0
n4,1,0.085784,2.951753,[13 29] ; [39 44],[17.472 24.528] ; [34.528 48.472],0
d1,1,0.087446,2.920774,[14 28] ; [41 42],[18.48 23.52] ; [36.52 46.48],0
s2,1,0.090227,2.870325,[10 32] ; [10 73],[ 6.72 35.28] ; [13.28 69.72],0
d5,1,0.091498,2.847815,[24 17] ; [61 22],[28.10483871 12.89516129] ; [56.89516129 26.10483871],0
d3,1,0.101841,2.676467,[22 19] ; [57 26],[26.12096774 14.87903226] ; [52.87903226 30.12096774],0
v4,1,0.104485,2.635714,[32  9] ; [73  9],[35.  6.] ; [70. 12.],0
n6,1,0.1462,2.111457,[27 15] ; [42 41],[23.184 18.816] ; [45.816 37.184],0
s5,1,0.175494,1.835376,[ 7 34] ; [ 7 73],[ 4.74380165 36.25619835] ; [ 9.25619835 70.74380165],0
a6,1,0.179334,1.803131,[20 22] ; [50 33],[23.52 18.48] ; [46.48 36.52],0
s4,1,0.205865,1.60027,[ 6 36] ; [ 6 77],[ 4.032 37.968] ; [ 7.968 75.032],0
b4,1,0.221294,1.49596,[21 21] ; [51 32],[24.192 17.808] ; [47.808 35.192],0
