Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,44.152706,[ 3 27] ; [107  37],[18.96551724 11.03448276] ; [91.03448276 52.96551724],1
v4,1,0.0,29.571231,[13 17] ; [124  18],[23.89534884  6.10465116] ; [113.10465116  28.89534884],1
u3,1,0.000493,12.142437,[ 1 15] ; [33 27],[7.15789474 8.84210526] ; [26.84210526 33.15789474],1
a6,1,0.000886,11.052622,[10 20] ; [95 49],[18.10344828 11.89655172] ; [86.89655172 57.10344828],1
r3,1,0.002375,9.234848,[16 13] ; [117  27],[22.29479769  6.70520231] ; [110.70520231  33.29479769],0
d5,1,0.002401,9.214446,[12 18] ; [99 44],[19.24855491 10.75144509] ; [91.75144509 51.24855491],0
r1,1,0.003248,8.662447,[ 9 21] ; [85 58],[16.30057803 13.69942197] ; [77.69942197 65.30057803],0
d1,1,0.005679,7.649313,[ 5 25] ; [63 81],[11.72413793 18.27586207] ; [56.27586207 87.72413793],0
p11,1,0.005782,7.617011,[11 19] ; [92 52],[17.75862069 12.24137931] ; [85.24137931 58.75862069],0
n4,1,0.009841,6.663402,[12 18] ; [94 50],[18.27586207 11.72413793] ; [87.72413793 56.27586207],0
d2,1,0.013358,6.121068,[ 6 24] ; [63 79],[12.03488372 17.96511628] ; [56.96511628 85.03488372],0
p10,1,0.013405,6.114819,[11 19] ; [87 55],[17.09302326 12.90697674] ; [80.90697674 61.09302326],0
p8,1,0.015208,5.892185,[ 4 25] ; [53 90],[ 9.61046512 19.38953488] ; [47.38953488 95.61046512],0
b1,1,0.022827,5.181618,[18 12] ; [54 90],[12.4137931 17.5862069] ; [59.5862069 84.4137931],0
a5,1,0.030131,4.701825,[11 19] ; [84 60],[16.37931034 13.62068966] ; [78.62068966 65.37931034],0
d3,1,0.035279,4.431609,[11 19] ; [82 60],[16.22093023 13.77906977] ; [76.77906977 65.22093023],0
v1,1,0.047903,3.913389,[ 4 26] ; [44 97],[ 8.42105263 21.57894737] ; [ 39.57894737 101.42105263],0
a7,1,0.049931,3.843778,[14 16] ; [94 49],[18.7283237 11.2716763] ; [89.2716763 53.7283237],0
p6,1,0.056292,3.643397,[ 2 27] ; [ 32 111],[ 5.73255814 23.26744186] ; [ 28.26744186 114.73255814],0
p3,1,0.067912,3.332788,[ 5 25] ; [48 95],[ 9.19075145 20.80924855] ; [43.80924855 99.19075145],0
b4,1,0.072636,3.222416,[21  9] ; [75 69],[16.55172414 13.44827586] ; [79.44827586 64.55172414],0
v3,1,0.080331,3.058184,[ 1 29] ; [ 21 117],[ 3.92857143 26.07142857] ; [ 18.07142857 119.92857143],0
u2,1,0.146149,2.111991,[ 5 11] ; [31 29],[7.57894737 8.42105263] ; [28.42105263 31.57894737],0
a4,1,0.15087,2.06343,[ 7 23] ; [53 90],[10.40462428 19.59537572] ; [49.59537572 93.40462428],0
a8,1,0.166786,1.911598,[ 5 23] ; [ 12 121],[ 2.95652174 25.04347826] ; [ 14.04347826 118.95652174],0
p7,1,0.179768,1.799542,[ 9 21] ; [61 80],[12.28070175 17.71929825] ; [57.71929825 83.28070175],0
a2,1,0.21339,1.548278,[ 2 28] ; [ 22 122],[ 4.13793103 25.86206897] ; [ 19.86206897 124.13793103],0
p9,1,0.221816,1.492587,[15 14] ; [90 51],[17.91176471 11.08823529] ; [87.08823529 53.91176471],0
p12,1,0.222275,1.489622,[ 1 29] ; [  1 141],[ 0.34883721 29.65116279] ; [  1.65116279 140.34883721],0
s5,1,0.242694,1.364875,[ 1 29] ; [ 14 126],[ 2.64705882 27.35294118] ; [ 12.35294118 127.64705882],0
p4,1,0.249221,1.327664,[ 8 22] ; [54 89],[10.75144509 19.24855491] ; [51.24855491 91.75144509],0
s2,1,0.269343,1.220089,[ 3 27] ; [ 26 116],[ 5.05813953 24.94186047] ; [ 23.94186047 118.05813953],0
a1,1,0.271254,1.210396,[ 3 27] ; [  7 137],[ 1.72413793 28.27586207] ; [  8.27586207 135.72413793],0
a3,1,0.280436,1.164976,[14 15] ; [84 58],[16.61988304 12.38011696] ; [81.38011696 60.61988304],0
n5,1,0.290869,1.115593,[16 14] ; [91 52],[18.55491329 11.44508671] ; [88.44508671 54.55491329],0
p2,1,0.321479,0.98292,[17 13] ; [94 48],[19.36046512 10.63953488] ; [91.63953488 50.36046512],0
u1,1,0.343359,0.89785,[ 1 29] ; [ 12 132],[ 2.24137931 27.75862069] ; [ 10.75862069 133.24137931],0
d4,1,0.352913,0.862955,[18 12] ; [99 45],[20.17241379  9.82758621] ; [96.82758621 47.17241379],0
s3,1,0.407842,0.685083,[ 6 23] ; [ 40 102],[ 7.80116959 21.19883041] ; [ 38.19883041 103.80116959],0
n6,1,0.420861,0.647911,[17 12] ; [95 48],[18.88372093 10.11627907] ; [93.11627907 49.88372093],0
n2,1,0.470101,0.521739,[7 7] ; [28 18],[8.16666667 5.83333333] ; [26.83333333 19.16666667],0
s7,1,0.500389,0.454111,[ 4 23] ; [ 28 109],[ 5.26829268 21.73170732] ; [ 26.73170732 110.26829268],0
n1,1,0.529793,0.394789,[ 4 10] ; [17 28],[4.98305085 9.01694915] ; [16.01694915 28.98305085],0
s4,1,0.598272,0.277611,[ 2 28] ; [ 14 130],[ 2.75862069 27.24137931] ; [ 13.24137931 130.75862069],0
p1,1,0.745409,0.105429,[ 2 28] ; [ 12 130],[ 2.44186047 27.55813953] ; [ 11.55813953 130.44186047],0
s1,1,0.826135,0.048251,[ 2 28] ; [  8 134],[ 1.74418605 28.25581395] ; [  8.25581395 133.74418605],0
s8,1,0.859105,0.031511,[ 3 27] ; [ 16 128],[ 3.27586207 26.72413793] ; [ 15.72413793 128.27586207],0
b5,1,0.909661,0.012875,[18 12] ; [88 56],[18.27586207 11.72413793] ; [87.72413793 56.27586207],0
b2,1,0.942522,0.005198,[ 7 13] ; [28 54],[ 6.8627451 13.1372549] ; [28.1372549 53.8627451],0
b3,1,0.942522,0.005198,[ 7 13] ; [28 54],[ 6.8627451 13.1372549] ; [28.1372549 53.8627451],0
n3,1,0.947693,0.004304,[8 6] ; [25 18],[8.10526316 5.89473684] ; [24.89473684 18.10526316],0
