Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,3e-06,22.03189,[426  48] ; [35 17],[415.42585551  58.57414449] ; [45.57414449  6.42585551],1
p4,1,5e-06,21.021247,[345 132] ; [21 30],[330.64772727 146.35227273] ; [35.35227273 15.64772727],1
d3,1,7e-06,20.209053,[354 123] ; [22 28],[340.32637571 136.67362429] ; [35.67362429 14.32637571],1
p8,1,0.000108,14.985556,[334 139] ; [23 29],[321.64 151.36] ; [35.36 16.64],1
p10,1,0.000408,12.493369,[415  60] ; [36 16],[406.49905123  68.50094877] ; [44.50094877  7.49905123],1
p11,1,0.000444,12.33865,[405  73] ; [34 18],[395.92830189  82.07169811] ; [43.07169811  8.92830189],1
a3,1,0.001762,9.782348,[361 115] ; [29 23],[351.59090909 124.40909091] ; [38.40909091 13.59090909],0
a2,1,0.001785,9.758224,[132 346] ; [ 4 48],[122.65660377 355.34339623] ; [13.34339623 38.65660377],0
a5,1,0.003976,8.294698,[371 107] ; [31 21],[362.55849057 115.44150943] ; [39.44150943 12.55849057],0
d4,1,0.008224,6.983978,[403  73] ; [35 15],[396.36501901  79.63498099] ; [41.63498099  8.36501901],0
a6,1,0.012318,6.264445,[331 146] ; [26 24],[323.12903226 153.87096774] ; [33.87096774 16.12903226],0
d5,1,0.028046,4.825212,[401  75] ; [36 14],[395.46007605  80.53992395] ; [41.53992395  8.46007605],0
u1,1,0.030091,4.704111,[ 96 382] ; [ 4 48],[ 90.18867925 387.81132075] ; [ 9.81132075 42.18867925],0
v4,1,0.030545,4.678379,[470   7] ; [49  3],[467.98298677   9.01701323] ; [51.01701323  0.98298677],0
r1,1,0.032627,4.565226,[416  59] ; [40 12],[411.0056926  63.9943074] ; [44.9943074  7.0056926],0
n4,1,0.038382,4.288004,[387  89] ; [36 16],[381.34090909  94.65909091] ; [41.65909091 10.34090909],0
d2,1,0.045874,3.986224,[243 235] ; [18 32],[236.28409091 241.71590909] ; [24.71590909 25.28409091],0
b1,1,0.052322,3.765434,[182 296] ; [27 25],[188.49433962 289.50566038] ; [20.50566038 31.49433962],0
a7,1,0.056387,3.640595,[352 124] ; [32 20],[346.18181818 129.81818182] ; [37.81818182 14.18181818],0
p3,1,0.063617,3.440487,[298 180] ; [25 26],[291.86011342 186.13988658] ; [31.13988658 19.86011342],0
n6,1,0.068351,3.322181,[423  52] ; [41 10],[419.01140684  55.98859316] ; [44.98859316  6.01140684],0
d1,1,0.072478,3.225992,[300 178] ; [26 26],[294.01509434 183.98490566] ; [31.98490566 20.01509434],0
r3,1,0.093611,2.811152,[472   5] ; [50  2],[470.68809074   6.31190926] ; [51.31190926  0.68809074],0
v1,1,0.14383,2.136498,[275 194] ; [25 27],[270.05758157 198.94241843] ; [29.94241843 22.05758157],0
