Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,2e-06,22.2537,[54 76] ; [115  52],[73.97306397 56.02693603] ; [95.02693603 71.97306397],1
r3,1,8e-06,19.910282,[105  24] ; [161   5],[116.31864407  12.68135593] ; [149.68135593  16.31864407],1
d3,1,0.001022,10.78817,[35 95] ; [76 91],[48.58585859 81.41414141] ; [ 62.41414141 104.58585859],0
a3,1,0.001686,9.863853,[61 67] ; [110  57],[74.19661017 53.80338983] ; [96.80338983 70.19661017],0
s2,1,0.002453,9.17527,[40 86] ; [82 84],[52.64383562 73.35616438] ; [69.35616438 96.64383562],0
u2,1,0.0067,7.351779,[27 42] ; [35 20],[34.5 34.5] ; [27.5 27.5],0
p1,1,0.007564,7.133845,[ 19 110] ; [  9 155],[ 12.32764505 116.67235495] ; [ 15.67235495 148.32764505],0
d2,1,0.011715,6.353515,[ 28 102] ; [ 18 148],[ 20.2027027 109.7972973] ; [ 25.7972973 140.2027027],0
b2,1,0.016189,5.782224,[24 60] ; [45 53],[31.84615385 52.15384615] ; [37.15384615 60.84615385],0
b3,1,0.016189,5.782224,[24 60] ; [45 53],[31.84615385 52.15384615] ; [37.15384615 60.84615385],0
p2,1,0.017003,5.696099,[94 35] ; [139  26],[102.23469388  26.76530612] ; [130.76530612  34.23469388],0
n5,1,0.031377,4.632204,[114  16] ; [128  36],[107.00680272  22.99319728] ; [134.99319728  29.00680272],0
a7,1,0.033362,4.527095,[72 58] ; [112  54],[80.81081081 49.18918919] ; [103.18918919  62.81081081],0
u3,1,0.041258,4.165389,[28 41] ; [33 23],[33.672 35.328] ; [27.328 28.672],0
s7,1,0.043182,4.088259,[45 75] ; [78 79],[53.28519856 66.71480144] ; [69.71480144 87.28519856],0
a8,1,0.049365,3.862901,[ 13 105] ; [ 32 130],[18.96428571 99.03571429] ; [ 26.03571429 135.96428571],0
s4,1,0.054748,3.689759,[ 24 104] ; [ 18 148],[ 18.28571429 109.71428571] ; [ 23.71428571 142.28571429],0
r4,1,0.055965,3.653098,[102  28] ; [145  22],[108.11447811  21.88552189] ; [138.88552189  28.11447811],0
p10,1,0.067093,3.352752,[87 39] ; [128  35],[93.73702422 32.26297578] ; [121.26297578  41.73702422],0
a5,1,0.074805,3.174301,[70 60] ; [107  60],[77.47474747 52.52525253] ; [99.52525253 67.47474747],0
s5,1,0.091617,2.845722,[29 95] ; [ 52 108],[35.36619718 88.63380282] ; [ 45.63380282 114.36619718],0
v2,1,0.095316,2.782219,[51 70] ; [84 77],[57.92553191 63.07446809] ; [77.07446809 83.92553191],0
s6,1,0.106572,2.604333,[72 53] ; [109  54],[78.55902778 46.44097222] ; [102.44097222  60.55902778],0
p9,1,0.116388,2.465266,[91 34] ; [133  32],[96.55172414 28.44827586] ; [127.44827586  37.55172414],0
p11,1,0.134402,2.240907,[93 37] ; [132  35],[98.48484848 31.51515152] ; [126.51515152  40.48484848],0
a1,1,0.240243,1.379165,[  4 126] ; [ 10 157],[  6.12794613 123.87205387] ; [  7.87205387 159.12794613],0
r1,1,0.264121,1.247029,[89 40] ; [125  42],[93.26351351 35.73648649] ; [120.73648649  46.26351351],0
s1,1,0.291044,1.114784,[  8 119] ; [  6 159],[  6.0890411 120.9109589] ; [  7.9109589 157.0890411],0
s8,1,0.343811,0.896171,[40 88] ; [ 61 106],[43.82372881 84.17627119] ; [ 57.17627119 109.82372881],0
