Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,7.3e-05,15.720422,[17  8] ; [29 81],[ 8.51851852 16.48148148] ; [37.48148148 72.51851852],1
b1,1,0.031536,4.623518,[17  8] ; [50 63],[12.13768116 12.86231884] ; [54.86231884 58.13768116],0
v1,1,0.045695,3.992791,[13 12] ; [34 76],[ 8.7037037 16.2962963] ; [38.2962963 71.7037037],0
v4,1,0.050965,3.809438,[23  2] ; [82 29],[19.30147059  5.69852941] ; [85.69852941 25.30147059],0
v2,1,0.074313,3.185088,[12 12] ; [34 76],[ 8.23880597 15.76119403] ; [37.76119403 72.23880597],0
r2,1,0.077387,3.118934,[24  1] ; [90 20],[21.11111111  3.88888889] ; [92.88888889 17.11111111],0
p6,1,0.094781,2.791233,[ 6 17] ; [14 98],[ 3.40740741 19.59259259] ; [16.59259259 95.40740741],0
r4,1,0.101195,2.686611,[20  5] ; [71 42],[16.48550725  8.51449275] ; [74.51449275 38.48550725],0
n3,1,0.101987,2.674188,[7 1] ; [28 21],[4.9122807 3.0877193] ; [30.0877193 18.9122807],0
p2,1,0.121831,2.393628,[16  9] ; [53 60],[12.5 12.5] ; [56.5 56.5],0
d2,1,0.142239,2.153573,[ 8 17] ; [53 57],[11.2962963 13.7037037] ; [49.7037037 60.2962963],0
s2,1,0.152258,2.049481,[ 9 16] ; [25 87],[ 6.20437956 18.79562044] ; [27.79562044 84.20437956],0
s8,1,0.15327,2.039397,[ 6 18] ; [15 97],[ 3.70588235 20.29411765] ; [17.29411765 94.70588235],0
n5,1,0.167139,1.908415,[10 14] ; [64 48],[13.05882353 10.94117647] ; [60.94117647 51.05882353],0
p11,1,0.190828,1.711215,[ 9 16] ; [57 56],[11.95652174 13.04347826] ; [54.04347826 58.95652174],0
a4,1,0.243748,1.358788,[ 7 18] ; [45 66],[ 9.55882353 15.44117647] ; [42.44117647 68.55882353],0
a5,1,0.250242,1.32195,[16  9] ; [58 55],[13.4057971 11.5942029] ; [60.5942029 52.4057971],0
n2,1,0.260992,1.263488,[6 2] ; [28 24],[4.53333333 3.46666667] ; [29.46666667 22.53333333],0
r3,1,0.285967,1.138511,[21  4] ; [82 29],[18.93382353  6.06617647] ; [84.06617647 26.93382353],0
n1,1,0.319974,0.989053,[4 4] ; [16 34],[2.75862069 5.24137931] ; [17.24137931 32.75862069],0
a1,1,0.35715,0.847889,[ 1 24] ; [ 11 102],[ 2.17391304 22.82608696] ; [  9.82608696 103.17391304],0
d3,1,0.365587,0.818609,[10 15] ; [56 56],[12.04379562 12.95620438] ; [53.95620438 58.04379562],0
p8,1,0.419346,0.652148,[ 6 18] ; [20 92],[ 4.58823529 19.41176471] ; [21.41176471 90.58823529],0
d1,1,0.4195,0.651715,[ 8 17] ; [46 67],[ 9.7826087 15.2173913] ; [44.2173913 68.7826087],0
s5,1,0.442646,0.589412,[ 5 19] ; [16 94],[ 3.76119403 20.23880597] ; [17.23880597 92.76119403],0
d4,1,0.442884,0.588798,[19  6] ; [75 35],[17.40740741  7.59259259] ; [76.59259259 33.40740741],0
b4,1,0.452421,0.564579,[13 12] ; [68 45],[14.67391304 10.32608696] ; [66.32608696 46.67391304],0
v3,1,0.475147,0.509981,[ 7 16] ; [25 82],[ 5.66153846 17.33846154] ; [26.33846154 80.66153846],0
a8,1,0.47533,0.509559,[ 2 22] ; [14 88],[ 3.04761905 20.95238095] ; [12.95238095 89.04761905],0
s1,1,0.48194,0.49447,[ 2 23] ; [  5 105],[ 1.2962963 23.7037037] ; [  5.7037037 104.2962963],0
r1,1,0.495717,0.464094,[18  7] ; [72 39],[16.54411765  8.45588235] ; [73.45588235 37.54411765],0
s6,1,0.526152,0.401819,[10 14] ; [39 73],[ 8.64705882 15.35294118] ; [40.35294118 71.64705882],0
u3,1,0.57763,0.310082,[5 5] ; [19 28],[4.21052632 5.78947368] ; [19.78947368 27.21052632],0
s3,1,0.607046,0.264498,[10 15] ; [38 72],[ 8.88888889 16.11111111] ; [39.11111111 70.88888889],0
n6,1,0.609484,0.260927,[13 11] ; [67 45],[14.11764706  9.88235294] ; [65.88235294 46.11764706],0
s7,1,0.657511,0.196562,[ 6 16] ; [24 81],[ 5.19685039 16.80314961] ; [24.80314961 80.19685039],0
a2,1,0.688137,0.16111,[ 4 21] ; [22 91],[ 4.71014493 20.28985507] ; [21.28985507 91.71014493],0
d5,1,0.751016,0.10068,[15 10] ; [71 41],[15.69343066  9.30656934] ; [70.30656934 41.69343066],0
p1,1,0.773871,0.08255,[ 1 24] ; [  6 105],[ 1.28676471 23.71323529] ; [  5.71323529 105.28676471],0
b2,1,0.84719,0.037135,[4 8] ; [22 50],[3.71428571 8.28571429] ; [22.28571429 49.71428571],0
b3,1,0.84719,0.037135,[4 8] ; [22 50],[3.71428571 8.28571429] ; [22.28571429 49.71428571],0
a6,1,0.852238,0.034694,[14 11] ; [65 47],[14.41605839 10.58394161] ; [64.58394161 47.41605839],0
