Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,94.423366,[102   8] ; [ 58 113],[62.63345196 47.36654804] ; [97.36654804 73.63345196],1
d5,1,0.0,77.86438,[108   2] ; [82 90],[74.11347518 35.88652482] ; [115.88652482  56.11347518],1
d2,1,0.0,77.6313,[76 33] ; [ 30 142],[41.11743772 67.88256228] ; [ 64.88256228 107.11743772],1
d4,1,0.0,56.139888,[106   4] ; [95 78],[78.12720848 31.87279152] ; [122.87279152  50.12720848],1
u1,1,0.0,35.880245,[25 86] ; [  2 171],[ 10.5528169 100.4471831] ; [ 16.4471831 156.5528169],1
a2,1,0.0,34.501136,[33 78] ; [  8 165],[16.02464789 94.97535211] ; [ 24.97535211 148.02464789],1
a5,1,0.0,31.789612,[87 24] ; [77 96],[64.09859155 46.90140845] ; [99.90140845 73.09859155],1
a4,1,0.0,30.239882,[62 48] ; [ 41 130],[40.3202847 69.6797153] ; [ 62.6797153 108.3202847],1
a3,1,1e-06,24.533899,[84 26] ; [79 91],[64.03571429 45.96428571] ; [98.96428571 71.03571429],1
r1,1,6e-06,20.369485,[86 24] ; [89 84],[68.02120141 41.97879859] ; [106.97879859  66.02120141],1
r2,1,0.003529,8.511438,[103   6] ; [142  30],[95.03558719 13.96441281] ; [149.96441281  22.03558719],0
a6,1,0.00356,8.495695,[80 30] ; [96 77],[68.40989399 41.59010601] ; [107.59010601  65.40989399],0
a7,1,0.005695,7.644392,[83 28] ; [101  71],[72.16961131 38.83038869] ; [111.83038869  60.16961131],0
r4,1,0.005976,7.557536,[92 19] ; [118  55],[82.07746479 28.92253521] ; [127.92253521  45.07746479],0
n6,1,0.010548,6.539994,[90 20] ; [117  55],[80.74468085 29.25531915] ; [126.25531915  45.74468085],0
p6,1,0.027647,4.849969,[34 76] ; [ 33 137],[26.32142857 83.67857143] ; [ 40.67857143 129.32142857],0
p10,1,0.039454,4.241209,[77 34] ; [96 72],[68.82795699 42.17204301] ; [104.17204301  63.82795699],0
p4,1,0.069436,3.296308,[55 56] ; [ 66 105],[47.62765957 63.37234043] ; [73.37234043 97.62765957],0
n4,1,0.081559,3.033554,[81 30] ; [109  64],[74.26056338 36.73943662] ; [115.73943662  57.26056338],0
p3,1,0.08447,2.976735,[45 64] ; [ 54 119],[38.26595745 70.73404255] ; [ 60.73404255 112.26595745],0
r3,1,0.099434,2.714604,[96 14] ; [137  35],[90.88652482 19.11347518] ; [142.11347518  29.88652482],0
p9,1,0.185456,1.753352,[78 31] ; [108  61],[72.92805755 36.07194245] ; [113.07194245  55.92805755],0
s4,1,0.199957,1.64269,[15 93] ; [ 34 137],[18.96774194 89.03225806] ; [ 30.03225806 140.96774194],0
a8,1,0.200951,1.635446,[ 8 94] ; [ 21 142],[11.16226415 90.83773585] ; [ 17.83773585 145.16226415],0
s5,1,0.232882,1.42317,[29 81] ; [ 34 134],[24.92805755 85.07194245] ; [ 38.07194245 129.92805755],0
n2,1,0.238982,1.38659,[22 16] ; [35 15],[24.61363636 13.38636364] ; [32.38636364 17.61363636],0
p12,1,0.250069,1.322916,[  1 110] ; [  5 166],[  2.36170213 108.63829787] ; [  3.63829787 167.36170213],0
b3,1,0.265173,1.241548,[22 41] ; [27 74],[18.82317073 44.17682927] ; [30.17682927 70.82317073],0
b2,1,0.265173,1.241548,[22 41] ; [27 74],[18.82317073 44.17682927] ; [30.17682927 70.82317073],0
v4,1,0.277835,1.177648,[98 13] ; [143  28],[94.86170213 16.13829787] ; [146.13829787  24.86170213],0
n1,1,0.289058,1.124005,[11 26] ; [20 29],[13.3372093 23.6627907] ; [17.6627907 31.3372093],0
n5,1,0.329962,0.949048,[77 34] ; [109  62],[73.21276596 37.78723404] ; [112.78723404  58.21276596],0
u3,1,0.344303,0.894342,[16 11] ; [45 47],[13.84033613 13.15966387] ; [47.15966387 44.84033613],0
b1,1,0.365553,0.818724,[44 67] ; [78 95],[47.68309859 63.31690141] ; [74.31690141 98.68309859],0
s2,1,0.388366,0.744051,[38 72] ; [ 51 121],[34.71631206 75.28368794] ; [ 54.28368794 117.71631206],0
u2,1,0.393633,0.72769,[15 12] ; [43 50],[13.05 13.95] ; [44.95 48.05],0
