Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2.6e-05,17.671602,[18  5] ; [30 68],[ 9.12396694 13.87603306] ; [38.87603306 59.12396694],1
s4,1,0.0006,11.775324,[ 9 14] ; [10 88],[ 3.61157025 19.38842975] ; [15.38842975 82.61157025],1
s7,1,0.000921,10.980788,[12 10] ; [18 73],[ 5.84070796 16.15929204] ; [24.15929204 66.84070796],1
p12,1,0.001178,10.525124,[ 5 18] ; [ 3 95],[ 1.52066116 21.47933884] ; [ 6.47933884 91.52066116],0
s8,1,0.006752,7.337877,[10 13] ; [17 81],[ 5.1322314 17.8677686] ; [21.8677686 76.1322314],0
n6,1,0.011238,6.427229,[20  3] ; [57 40],[14.75833333  8.24166667] ; [62.24166667 34.75833333],0
r3,1,0.038827,4.268439,[21  2] ; [69 29],[17.10743802  5.89256198] ; [72.89256198 25.10743802],0
p4,1,0.048527,3.891632,[ 9 13] ; [20 76],[ 5.40677966 16.59322034] ; [23.59322034 72.40677966],0
r4,1,0.05253,3.758799,[19  4] ; [60 38],[15.01652893  7.98347107] ; [63.98347107 34.01652893],0
d2,1,0.064162,3.4264,[15  8] ; [42 54],[11.01680672 11.98319328] ; [45.98319328 50.01680672],0
v2,1,0.066647,3.363735,[12  9] ; [33 60],[ 8.28947368 12.71052632] ; [36.71052632 56.28947368],0
p1,1,0.07733,3.120153,[ 4 19] ; [ 6 92],[ 1.90082645 21.09917355] ; [ 8.09917355 89.90082645],0
d4,1,0.100324,2.700379,[20  3] ; [68 29],[16.86666667  6.13333333] ; [71.13333333 25.86666667],0
a5,1,0.117768,2.446761,[17  6] ; [55 43],[13.68595041  9.31404959] ; [58.31404959 39.68595041],0
p6,1,0.136175,2.220657,[ 5 18] ; [10 87],[ 2.875 20.125] ; [12.125 84.875],0
p10,1,0.193248,1.69268,[13  9] ; [42 54],[10.25423729 11.74576271] ; [44.74576271 51.25423729],0
r2,1,0.203446,1.61746,[21  2] ; [76 19],[18.90677966  4.09322034] ; [78.09322034 16.90677966],0
b4,1,0.206176,1.59808,[16  7] ; [54 44],[13.30578512  9.69421488] ; [56.69421488 41.30578512],0
n1,1,0.241567,1.371429,[5 3] ; [16 24],[3.5 4.5] ; [17.5 22.5],0
n5,1,0.255223,1.294487,[12 11] ; [63 34],[14.375  8.625] ; [60.625 36.375],0
s2,1,0.263334,1.251145,[ 8 15] ; [23 75],[ 5.89256198 17.10743802] ; [25.10743802 72.89256198],0
a4,1,0.343996,0.895482,[11 12] ; [36 61],[ 9.00833333 13.99166667] ; [37.99166667 59.00833333],0
s1,1,0.355006,0.855484,[ 3 20] ; [ 7 91],[ 1.90082645 21.09917355] ; [ 8.09917355 89.90082645],0
u2,1,0.357725,0.845865,[2 5] ; [18 20],[3.11111111 3.88888889] ; [16.88888889 21.11111111],0
b5,1,0.359629,0.839187,[10 13] ; [53 45],[11.97520661 11.02479339] ; [51.02479339 46.97520661],0
p5,1,0.365725,0.818137,[ 2 21] ; [ 4 93],[ 1.15 21.85] ; [ 4.85 92.15],0
u3,1,0.367582,0.811821,[2 6] ; [16 22],[3.13043478 4.86956522] ; [14.86956522 23.13043478],0
a8,1,0.386422,0.750172,[ 1 21] ; [10 85],[ 2.06837607 19.93162393] ; [ 8.93162393 86.06837607],0
b1,1,0.444736,0.584031,[14  9] ; [51 47],[12.3553719 10.6446281] ; [52.6446281 45.3553719],0
s3,1,0.450176,0.570209,[ 9 14] ; [30 67],[ 7.475 15.525] ; [31.525 65.475],0
p3,1,0.486304,0.484695,[ 7 16] ; [23 75],[ 5.70247934 17.29752066] ; [24.29752066 73.70247934],0
v4,1,0.507893,0.438406,[18  5] ; [70 28],[16.72727273  6.27272727] ; [71.27272727 26.72727273],0
u4,1,0.521945,0.410048,[ 1 22] ; [ 2 96],[ 0.57024793 22.42975207] ; [ 2.42975207 95.57024793],0
d3,1,0.543887,0.368383,[13 10] ; [48 49],[11.69166667 11.30833333] ; [49.30833333 47.69166667],0
n4,1,0.548784,0.359501,[13 10] ; [62 36],[14.25619835  8.74380165] ; [60.74380165 37.25619835],0
a1,1,0.577286,0.310643,[ 3 20] ; [ 9 89],[ 2.28099174 20.71900826] ; [ 9.71900826 88.28099174],0
p8,1,0.579873,0.306439,[ 4 19] ; [22 75],[ 4.98333333 18.01666667] ; [21.01666667 75.98333333],0
v3,1,0.583494,0.300619,[ 7 14] ; [26 69],[ 5.97413793 15.02586207] ; [27.02586207 67.97413793],0
a2,1,0.623074,0.241571,[ 5 18] ; [17 81],[ 4.18181818 18.81818182] ; [17.81818182 80.18181818],0
