Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,6.5e-05,15.940704,[84 79] ; [240 104],[104.16568047  58.83431953] ; [219.83431953 124.16568047],1
p9,1,7.9e-05,15.571961,[130  34] ; [316  29],[143.70137525  20.29862475] ; [302.29862475  42.70137525],1
p5,1,0.000381,12.624785,[ 13 151] ; [ 70 273],[ 26.84812623 137.15187377] ; [ 56.15187377 286.84812623],1
p12,1,0.000839,11.153977,[  5 160] ; [ 42 303],[ 15.20588235 149.79411765] ; [ 31.79411765 313.20588235],1
p10,1,0.001709,9.838916,[128  35] ; [307  38],[139.57677165  23.42322835] ; [295.42322835  49.57677165],0
n6,1,0.004966,7.891655,[133  30] ; [311  33],[142.74556213  20.25443787] ; [301.25443787  42.74556213],0
u1,1,0.009718,6.685782,[ 24 141] ; [ 85 261],[ 35.19569472 129.80430528] ; [ 73.80430528 272.19569472],0
p6,1,0.011852,6.332896,[67 95] ; [183 160],[80.1980198 81.8019802] ; [169.8019802 173.1980198],0
v3,1,0.016026,5.80002,[ 54 103] ; [152 179],[66.27459016 90.72540984] ; [139.72540984 191.27459016],0
n4,1,0.016875,5.70933,[124  40] ; [292  54],[133.77254902  30.22745098] ; [282.22745098  63.77254902],0
s7,1,0.018077,5.588642,[79 82] ; [195 128],[91.1446281 69.8553719] ; [182.8553719 140.1446281],0
p7,1,0.023756,5.112356,[109  54] ; [262  81],[119.51185771  43.48814229] ; [251.48814229  91.51185771],0
s5,1,0.027224,4.876548,[ 51 109] ; [139 190],[62.16768916 97.83231084] ; [127.83231084 201.16768916],0
a3,1,0.038794,4.269844,[111  54] ; [262  83],[120.67647059  44.32352941] ; [252.32352941  92.67647059],0
r4,1,0.047433,3.929974,[152  13] ; [333  13],[156.60469667   8.39530333] ; [328.39530333  17.60469667],0
v2,1,0.049506,3.858122,[84 76] ; [207 128],[94.06060606 65.93939394] ; [196.93939394 138.06060606],0
p11,1,0.061836,3.487434,[127  38] ; [290  56],[134.64774951  30.35225049] ; [282.35225049  63.64774951],0
s8,1,0.062532,3.468912,[73 91] ; [183 160],[82.8086785 81.1913215] ; [173.1913215 169.8086785],0
p2,1,0.067504,3.342699,[141  23] ; [314  30],[146.88976378  17.11023622] ; [308.11023622  35.88976378],0
p1,1,0.073766,3.19717,[ 12 153] ; [ 43 300],[ 17.86417323 147.13582677] ; [ 37.13582677 305.86417323],0
b1,1,0.084686,2.97259,[ 56 109] ; [145 201],[ 64.90215264 100.09784736] ; [136.09784736 209.90215264],0
n5,1,0.08878,2.896359,[125  39] ; [285  60],[132.1021611  31.8978389] ; [277.8978389  67.1021611],0
d1,1,0.118683,2.434613,[100  65] ; [234 112],[107.84735812  57.15264188] ; [226.15264188 119.84735812],0
v1,1,0.127541,2.322188,[89 73] ; [208 127],[96.80885312 65.19114688] ; [200.19114688 134.80885312],0
a5,1,0.135714,2.225894,[123  42] ; [278  68],[129.481409  35.518591] ; [271.518591  74.481409],0
a1,1,0.14381,2.136706,[  5 160] ; [ 21 325],[  8.39530333 156.60469667] ; [ 17.60469667 328.39530333],0
d4,1,0.1869,1.741886,[133  32] ; [294  51],[138.14705882  26.85294118] ; [288.85294118  56.14705882],0
s3,1,0.200605,1.637966,[89 72] ; [209 132],[95.57370518 65.42629482] ; [202.42629482 138.57370518],0
s6,1,0.218036,1.517251,[114  47] ; [256  81],[119.6184739  41.3815261] ; [250.3815261  86.6184739],0
a2,1,0.236137,1.40351,[ 39 126] ; [ 99 247],[ 44.55968689 120.44031311] ; [ 93.44031311 252.55968689],0
n2,1,0.238144,1.391547,[30  8] ; [38 18],[27.4893617 10.5106383] ; [40.5106383 15.4893617],0
a6,1,0.276293,1.185234,[108  57] ; [243 103],[113.33659491  51.66340509] ; [237.66340509 108.33659491],0
d5,1,0.279781,1.168155,[136  29] ; [297  48],[140.08823529  24.91176471] ; [292.91176471  52.08823529],0
d2,1,0.298883,1.07917,[82 82] ; [190 156],[87.46666667 76.53333333] ; [184.53333333 161.46666667],0
u4,1,0.301499,1.067554,[  3 162] ; [ 12 334],[  4.84344423 160.15655577] ; [ 10.15655577 335.84344423],0
r3,1,0.325048,0.968527,[158   7] ; [335   9],[159.81335953   5.18664047] ; [333.18664047  10.81335953],0
b5,1,0.328096,0.9564,[101  64] ; [196 150],[95.90019569 69.09980431] ; [201.09980431 144.90019569],0
s1,1,0.329646,0.950288,[  8 153] ; [ 11 333],[  6.05742574 154.94257426] ; [ 12.94257426 331.05742574],0
