Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1.2e-05,19.088371,[28  6] ; [20 37],[17.93406593 16.06593407] ; [30.06593407 26.93406593],1
s2,1,0.001839,9.703215,[28  6] ; [31 31],[20.89583333 13.10416667] ; [38.10416667 23.89583333],0
p9,1,0.007566,7.133357,[21 13] ; [20 40],[14.82978723 19.17021277] ; [26.17021277 33.82978723],0
a6,1,0.009343,6.756145,[25  9] ; [28 33],[18.96842105 15.03157895] ; [34.03157895 26.96842105],0
p6,1,0.019427,5.462662,[15 19] ; [13 48],[10.02105263 23.97894737] ; [17.97894737 43.02105263],0
s6,1,0.020978,5.328656,[29  5] ; [39 23],[24.08333333  9.91666667] ; [43.91666667 18.08333333],0
n6,1,0.021219,5.308732,[26  7] ; [34 28],[20.84210526 12.15789474] ; [39.15789474 22.84210526],0
v2,1,0.0234,5.138565,[19 14] ; [20 40],[13.83870968 19.16129032] ; [25.16129032 34.83870968],0
p2,1,0.033224,4.534207,[28  6] ; [38 24],[23.375 10.625] ; [42.625 19.375],0
v4,1,0.033786,4.505512,[33  1] ; [50 11],[29.70526316  4.29473684] ; [53.29473684  7.70526316],0
d1,1,0.040623,4.191672,[20 14] ; [23 39],[15.22916667 18.77083333] ; [27.77083333 34.22916667],0
d5,1,0.041844,4.141518,[28  6] ; [38 23],[23.62105263 10.37894737] ; [42.37894737 18.62105263],0
u3,1,0.045342,4.005869,[9 2] ; [12 14],[6.24324324 4.75675676] ; [14.75675676 11.24324324],0
n5,1,0.045378,4.004525,[25  8] ; [34 28],[20.49473684 12.50526316] ; [38.50526316 23.49473684],0
a8,1,0.056294,3.643348,[ 8 23] ; [ 6 52],[ 4.87640449 26.12359551] ; [ 9.12359551 48.87640449],0
p4,1,0.063057,3.455089,[21 13] ; [26 36],[16.64583333 17.35416667] ; [30.35416667 31.64583333],0
r4,1,0.075982,3.148821,[30  4] ; [45 17],[26.5625  7.4375] ; [48.4375 13.5625],0
p11,1,0.082335,3.018194,[20 14] ; [25 37],[15.9375 18.0625] ; [29.0625 32.9375],0
b3,1,0.087772,2.914773,[11 13] ; [ 8 25],[ 8. 16.] ; [11. 22.],0
b2,1,0.087772,2.914773,[11 13] ; [ 8 25],[ 8. 16.] ; [11. 22.],0
u4,1,0.090854,2.85917,[ 3 31] ; [ 1 61],[ 1.41666667 32.58333333] ; [ 2.58333333 59.41666667],0
p3,1,0.099078,2.72033,[17 17] ; [20 41],[13.24210526 20.75789474] ; [23.75789474 37.24210526],0
p5,1,0.099593,2.71205,[ 5 29] ; [ 3 58],[ 2.86315789 31.13684211] ; [ 5.13684211 55.86315789],0
s5,1,0.112572,2.517744,[12 19] ; [14 47],[ 8.76086957 22.23913043] ; [17.23913043 43.76086957],0
p8,1,0.123266,2.375327,[16 18] ; [19 42],[12.52631579 21.47368421] ; [22.47368421 38.52631579],0
p7,1,0.184817,1.758459,[15 18] ; [37 25],[18.06315789 14.93684211] ; [33.93684211 28.06315789],0
r3,1,0.20402,1.613362,[32  2] ; [53  9],[30.10416667  3.89583333] ; [54.89583333  7.10416667],0
a5,1,0.225433,1.46945,[24 10] ; [36 26],[21.25 12.75] ; [38.75 23.25],0
s1,1,0.300794,1.070669,[ 2 31] ; [ 8 54],[ 3.47368421 29.52631579] ; [ 6.52631579 55.47368421],0
d4,1,0.321,0.984868,[28  6] ; [44 16],[26.04255319  7.95744681] ; [45.95744681 14.04255319],0
a1,1,0.321292,0.983681,[ 1 33] ; [ 5 57],[ 2.125 31.875] ; [ 3.875 58.125],0
n4,1,0.334731,0.930507,[24  9] ; [39 23],[21.88421053 11.11578947] ; [41.11578947 20.88421053],0
d2,1,0.350957,0.869994,[19 15] ; [28 33],[16.82105263 17.17894737] ; [30.17894737 30.82105263],0
r1,1,0.367261,0.81291,[27  7] ; [44 18],[25.14583333  8.85416667] ; [45.85416667 16.14583333],0
v3,1,0.395815,0.721004,[12 20] ; [17 42],[10.1978022 21.8021978] ; [18.8021978 40.1978022],0
a3,1,0.405831,0.690981,[23 11] ; [36 25],[21.11578947 12.88421053] ; [37.88421053 23.11578947],0
a2,1,0.445169,0.582922,[ 7 27] ; [ 9 53],[ 5.66666667 28.33333333] ; [10.33333333 51.66666667],0
u2,1,0.45675,0.553846,[6 4] ; [12 14],[5. 5.] ; [13. 13.],0
n2,1,0.564222,0.332447,[7 5] ; [17  8],[7.78378378 4.21621622] ; [16.21621622  8.78378378],0
v1,1,0.566038,0.329357,[15 18] ; [24 37],[13.69148936 19.30851064] ; [25.30851064 35.69148936],0
p1,1,0.569173,0.324069,[ 4 30] ; [ 5 56],[ 3.22105263 30.77894737] ; [ 5.77894737 55.22105263],0
u1,1,0.584117,0.299627,[ 7 27] ; [10 52],[ 6.02083333 27.97916667] ; [10.97916667 51.02083333],0
a7,1,0.62828,0.234401,[22 12] ; [37 25],[20.89583333 13.10416667] ; [38.10416667 23.89583333],0
b1,1,0.649563,0.206452,[17 17] ; [28 34],[15.9375 18.0625] ; [29.0625 32.9375],0
b5,1,0.788797,0.071756,[21 13] ; [40 22],[21.60416667 12.39583333] ; [39.39583333 22.60416667],0
d3,1,0.793228,0.068708,[21 13] ; [36 25],[20.4 13.6] ; [36.6 24.4],0
n3,1,0.806179,0.060201,[8 4] ; [15  9],[7.66666667 4.33333333] ; [15.33333333  8.66666667],0
a4,1,0.822215,0.050489,[14 20] ; [27 35],[14.52083333 19.47916667] ; [26.47916667 35.52083333],0
b4,1,0.841474,0.040003,[21 13] ; [37 25],[20.54166667 13.45833333] ; [37.45833333 24.54166667],0
n1,1,0.887931,0.019859,[5 6] ; [12 13],[5.19444444 5.80555556] ; [11.80555556 13.19444444],0
s4,1,0.948901,0.004107,[ 8 26] ; [14 47],[ 7.87368421 26.12631579] ; [14.12631579 46.87368421],0
