Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,7e-06,20.288736,[83 37] ; [209  27],[98.42696629 21.57303371] ; [193.57303371  42.42696629],1
s2,1,0.000212,13.721481,[74 49] ; [187  51],[88.92797784 34.07202216] ; [172.07202216  65.92797784],1
p9,1,0.000351,12.776737,[93 26] ; [218  20],[103.66666667  15.33333333] ; [207.33333333  30.66666667],1
v4,1,0.000364,12.706538,[109  12] ; [233   4],[115.59217877   5.40782123] ; [226.40782123  10.59217877],1
v1,1,0.004367,8.12442,[54 67] ; [141  92],[66.65254237 54.34745763] ; [128.34745763 104.65254237],0
s3,1,0.004504,8.06866,[78 44] ; [184  52],[89.2849162 32.7150838] ; [172.7150838  63.2849162],0
p10,1,0.004916,7.910127,[93 29] ; [208  29],[102.28969359  19.71030641] ; [198.71030641  38.28969359],0
n5,1,0.005524,7.699531,[84 37] ; [195  42],[94.29888268 26.70111732] ; [184.70111732  52.29888268],0
v3,1,0.010795,6.498742,[40 79] ; [111 121],[51.19373219 67.80626781] ; [ 99.80626781 132.19373219],0
n6,1,0.016311,5.76903,[97 24] ; [211  25],[104.39215686  16.60784314] ; [203.60784314  32.39215686],0
p12,1,0.036132,4.390872,[  3 120] ; [ 19 218],[  7.51666667 115.48333333] ; [ 14.48333333 222.51666667],0
r4,1,0.039637,4.233335,[104  19] ; [219  20],[109.74861878  13.25138122] ; [213.25138122  25.74861878],0
s5,1,0.040969,4.177298,[41 78] ; [105 124],[49.92528736 69.07471264] ; [ 96.07471264 132.92528736],0
u1,1,0.042772,4.104405,[ 23 100] ; [ 68 171],[30.9198895 92.0801105] ; [ 60.0801105 178.9198895],0
v2,1,0.051436,3.794003,[65 56] ; [150  83],[73.48870056 47.51129944] ; [141.51129944  91.48870056],0
s1,1,0.060805,3.515288,[  8 113] ; [  6 230],[  4.74509804 116.25490196] ; [  9.25490196 226.74509804],0
a5,1,0.063739,3.437323,[90 33] ; [195  44],[96.83701657 26.16298343] ; [188.16298343  50.83701657],0
p6,1,0.064145,3.426829,[43 78] ; [108 128],[51.17927171 69.82072829] ; [ 99.82072829 136.17927171],0
b5,1,0.076226,3.143586,[68 55] ; [155  84],[75.77071823 47.22928177] ; [147.22928177  91.77071823],0
b3,1,0.086343,2.941275,[26 55] ; [73 95],[32.20481928 48.79518072] ; [ 66.79518072 101.20481928],0
b2,1,0.086343,2.941275,[26 55] ; [73 95],[32.20481928 48.79518072] ; [ 66.79518072 101.20481928],0
u3,1,0.09976,2.70938,[18 12] ; [32  9],[21.12676056  8.87323944] ; [28.87323944 12.12676056],0
d1,1,0.104247,2.639341,[69 54] ; [155  84],[76.11049724 46.88950276] ; [147.88950276  91.11049724],0
u4,1,0.104483,2.635739,[  1 122] ; [  9 230],[  3.39779006 119.60220994] ; [  6.60220994 232.39779006],0
a3,1,0.112086,2.524561,[93 29] ; [198  40],[98.61666667 23.38333333] ; [192.38333333  45.61666667],0
u2,1,0.135779,2.225151,[16 13] ; [29 11],[18.91304348 10.08695652] ; [26.08695652 13.91304348],0
p11,1,0.205275,1.604438,[90 33] ; [189  50],[94.79834254 28.20165746] ; [184.20165746  54.79834254],0
a7,1,0.224901,1.47282,[90 33] ; [160  79],[84.94475138 38.05524862] ; [165.05524862  73.94475138],0
s4,1,0.228906,1.447645,[34 89] ; [ 52 185],[29.38333333 93.61666667] ; [ 56.61666667 180.38333333],0
p8,1,0.23055,1.437464,[55 65] ; [123 111],[60.33898305 59.66101695] ; [117.66101695 116.33898305],0
p7,1,0.261466,1.260978,[76 44] ; [160  71],[80.68376068 39.31623932] ; [155.31623932  75.68376068],0
r2,1,0.289524,1.121834,[114   7] ; [227   8],[115.90168539   5.09831461] ; [225.09831461   9.90168539],0
d5,1,0.323284,0.975615,[98 24] ; [201  37],[101.32777778  20.67222222] ; [197.67222222  40.32777778],0
a6,1,0.341359,0.905321,[78 44] ; [164  74],[82.01111111 39.98888889] ; [159.98888889  78.01111111],0
d4,1,0.413091,0.669888,[100  22] ; [203  35],[102.68333333  19.31666667] ; [200.31666667  37.68333333],0
