Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,158.810329,[ 6 47] ; [274  33],[41.22222222 11.77777778] ; [238.77777778  68.22222222],1
v4,1,0.0,58.1998,[29 24] ; [282  22],[46.17086835  6.82913165] ; [264.82913165  39.17086835],1
p11,1,0.0,52.425254,[15 38] ; [238  69],[37.24722222 15.75277778] ; [215.75277778  91.24722222],1
p2,1,0.0,41.483804,[17 35] ; [235  71],[36.60335196 15.39664804] ; [215.39664804  90.60335196],1
n6,1,0.0,32.00982,[22 30] ; [244  63],[38.52924791 13.47075209] ; [227.47075209  79.52924791],1
v2,1,0.0,29.994207,[ 6 45] ; [156 137],[24.01744186 26.98255814] ; [137.98255814 155.01744186],1
r1,1,0.0,29.568722,[22 31] ; [237  68],[38.34357542 14.65642458] ; [220.65642458  84.34357542],1
a1,1,0.0,25.558516,[ 9 44] ; [  6 301],[ 2.20833333 50.79166667] ; [ 12.79166667 294.20833333],1
p10,1,1e-06,23.799825,[20 32] ; [221  83],[35.20224719 16.79775281] ; [205.79775281  98.20224719],1
r2,1,2e-06,22.835238,[34 17] ; [275  28],[44.51694915  6.48305085] ; [264.48305085  38.51694915],1
p9,1,2e-06,22.518579,[21 28] ; [230  73],[34.94034091 14.05965909] ; [216.05965909  86.94034091],1
a7,1,0.000229,13.576547,[24 29] ; [218  89],[35.62777778 17.37222222] ; [206.37222222 100.62777778],1
n3,1,0.000362,12.719887,[11 18] ; [55 18],[18.76470588 10.23529412] ; [47.23529412 25.76470588],1
b1,1,0.000424,12.422387,[32 21] ; [107 200],[20.46388889 32.53611111] ; [118.53611111 188.46388889],1
a6,1,0.000758,11.341769,[25 28] ; [217  90],[35.62777778 17.37222222] ; [206.37222222 100.62777778],1
p7,1,0.000859,11.110049,[12 38] ; [150 154],[22.88135593 27.11864407] ; [139.11864407 164.88135593],1
d5,1,0.00192,9.624542,[30 23] ; [236  71],[39.16111111 13.83888889] ; [226.83888889  80.16111111],0
d4,1,0.004121,8.229756,[31 22] ; [236  70],[39.4178273 13.5821727] ; [227.5821727  78.4178273],0
p4,1,0.004794,7.955595,[11 41] ; [127 177],[20.15730337 31.84269663] ; [117.84269663 186.15730337],0
s6,1,0.006056,7.533694,[12 40] ; [132 173],[20.97478992 31.02521008] ; [123.02521008 181.97478992],0
p8,1,0.006152,7.505274,[11 40] ; [127 177],[19.82535211 31.17464789] ; [118.17464789 185.82535211],0
b5,1,0.006194,7.492965,[22 31] ; [189 118],[31.06388889 21.93611111] ; [179.93611111 127.06388889],0
d3,1,0.007895,7.057228,[24 29] ; [198 109],[32.68333333 20.31666667] ; [189.31666667 117.68333333],0
n2,1,0.009305,6.763285,[14 16] ; [55 20],[19.71428571 10.28571429] ; [49.28571429 25.71428571],0
a5,1,0.009946,6.644545,[27 26] ; [212  95],[35.18611111 17.81388889] ; [203.81388889 103.18611111],0
p1,1,0.013731,6.0724,[ 7 46] ; [ 14 291],[ 3.10893855 49.89106145] ; [ 17.89106145 287.10893855],0
v1,1,0.015969,5.806265,[13 40] ; [125 172],[20.89714286 32.10285714] ; [117.10285714 179.89714286],0
u1,1,0.02614,4.946748,[ 1 52] ; [ 37 270],[ 5.59444444 47.40555556] ; [ 32.40555556 274.59444444],0
u3,1,0.03634,4.381063,[ 6 17] ; [55 55],[10.54887218 12.45112782] ; [50.45112782 59.54887218],0
s1,1,0.040852,4.182159,[ 4 49] ; [  7 298],[ 1.62849162 51.37150838] ; [  9.37150838 295.62849162],0
d1,1,0.044689,4.030352,[18 35] ; [150 157],[24.73333333 28.26666667] ; [143.26666667 163.73333333],0
p3,1,0.054605,3.694094,[12 40] ; [113 194],[18.10584958 33.89415042] ; [106.89415042 200.10584958],0
v3,1,0.08907,2.891099,[10 42] ; [ 91 204],[15.13544669 36.86455331] ; [ 85.86455331 209.13544669],0
a8,1,0.095457,2.779852,[ 2 46] ; [ 35 248],[ 5.36555891 42.63444109] ; [ 31.63444109 251.36555891],0
u2,1,0.117056,2.456278,[ 8 15] ; [57 51],[11.41221374 11.58778626] ; [53.58778626 54.41221374],0
s8,1,0.15124,2.059697,[ 6 46] ; [ 61 245],[ 9.73184358 42.26815642] ; [ 57.26815642 248.73184358],0
s3,1,0.179878,1.798635,[ 8 42] ; [ 75 229],[11.72316384 38.27683616] ; [ 71.27683616 232.72316384],0
s7,1,0.192591,1.697684,[ 7 42] ; [ 66 227],[10.45906433 38.54093567] ; [ 62.54093567 230.45906433],0
a2,1,0.217877,1.518298,[ 6 47] ; [ 56 251],[ 9.12777778 43.87222222] ; [ 52.87222222 254.12777778],0
n1,1,0.218896,1.511592,[14 16] ; [25 49],[11.25 18.75] ; [27.75 46.25],0
n4,1,0.278087,1.176414,[32 21] ; [208  98],[35.43175487 17.56824513] ; [204.56824513 101.43175487],0
a3,1,0.445256,0.582701,[30 21] ; [197 109],[32.42857143 18.57142857] ; [194.57142857 111.42857143],0
p5,1,0.450142,0.570294,[ 5 46] ; [ 21 286],[ 3.70391061 47.29608939] ; [ 22.29608939 284.70391061],0
s5,1,0.534154,0.386482,[ 7 46] ; [ 50 251],[ 8.53389831 44.46610169] ; [ 48.46610169 252.53389831],0
a4,1,0.564576,0.331843,[18 33] ; [121 185],[19.85714286 31.14285714] ; [119.14285714 186.85714286],0
b4,1,0.584677,0.298734,[32 21] ; [173 134],[30.18055556 22.81944444] ; [174.81944444 132.18055556],0
p12,1,0.585549,0.297349,[ 1 52] ; [ 10 294],[ 1.63305322 51.36694678] ; [  9.36694678 294.63305322],0
s4,1,0.629135,0.233236,[ 6 47] ; [ 28 276],[ 5.04761905 47.95238095] ; [ 28.95238095 275.04761905],0
b2,1,0.648141,0.208252,[13 22] ; [ 57 115],[11.83574879 23.16425121] ; [ 58.16425121 113.83574879],0
b3,1,0.648141,0.208252,[13 22] ; [ 57 115],[11.83574879 23.16425121] ; [ 58.16425121 113.83574879],0
d2,1,0.745868,0.105036,[23 29] ; [128 178],[21.93296089 30.06703911] ; [129.06703911 176.93296089],0
n5,1,0.761876,0.09182,[36 17] ; [200 104],[35.03641457 17.96358543] ; [200.96358543 103.03641457],0
