Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.0,35.617661,[ 11 143] ; [47 85],[ 31.23076923 122.76923077] ; [ 26.76923077 105.23076923],1
s2,1,0.0,32.493442,[ 24 133] ; [61 72],[ 46.01724138 110.98275862] ; [38.98275862 94.01724138],1
s3,1,0.0,28.523573,[ 40 115] ; [74 56],[62. 93.] ; [52. 78.],1
s7,1,5.9e-05,16.134092,[ 18 128] ; [42 88],[ 31.73913043 114.26086957] ; [ 28.26086957 101.73913043],1
n6,1,0.00012,14.795134,[95 60] ; [109  24],[109.79166667  45.20833333] ; [94.20833333 38.79166667],1
r4,1,0.000983,10.859852,[105  52] ; [113  22],[117.21232877  39.78767123] ; [100.78767123  34.21232877],1
p5,1,0.001093,10.663148,[  3 152] ; [ 15 118],[  9.6875 145.3125] ; [  8.3125 124.6875],0
v4,1,0.001234,10.438219,[125  29] ; [125   8],[134.14634146  19.85365854] ; [115.85365854  17.14634146],0
r3,1,0.002511,9.132883,[124  31] ; [123  10],[132.93402778  22.06597222] ; [114.06597222  18.93402778],0
p10,1,0.002706,8.995546,[87 67] ; [95 34],[99.03886926 54.96113074] ; [82.96113074 46.03886926],0
s4,1,0.002732,8.978326,[ 17 140] ; [ 32 101],[ 26.52758621 130.47241379] ; [ 22.47241379 110.52758621],0
p9,1,0.007208,7.220483,[97 57] ; [101  29],[107.36619718  46.63380282] ; [90.63380282 39.36619718],0
p7,1,0.008673,6.88895,[68 85] ; [77 51],[78.95017794 74.04982206] ; [66.04982206 61.95017794],0
a7,1,0.008777,6.86766,[88 67] ; [96 38],[98.68512111 56.31487889] ; [85.31487889 48.68512111],0
p4,1,0.009859,6.660255,[ 54 102] ; [66 67],[64.77508651 91.22491349] ; [55.22491349 77.77508651],0
p8,1,0.011876,6.329232,[ 51 103] ; [63 69],[61.38461538 92.61538462] ; [52.61538462 79.38461538],0
r2,1,0.015127,5.901611,[126  30] ; [120  12],[133.25  22.75] ; [112.75  19.25],0
r1,1,0.018778,5.52203,[89 67] ; [95 40],[98.63917526 57.36082474] ; [85.36082474 49.63917526],0
n5,1,0.021578,5.279488,[94 61] ; [97 35],[103.1533101  51.8466899] ; [87.8466899 44.1533101],0
u3,1,0.023684,5.117652,[30 49] ; [38 29],[36.79452055 42.20547945] ; [31.20547945 35.79452055],0
d4,1,0.034123,4.488545,[79 78] ; [84 50],[87.94158076 69.05841924] ; [75.05841924 58.94158076],0
p12,1,0.040797,4.184441,[  3 152] ; [  9 124],[  6.45833333 148.54166667] ; [  5.54166667 127.45833333],0
d3,1,0.04672,3.955435,[ 55 100] ; [63 71],[63.28719723 91.71280277] ; [54.71280277 79.28719723],0
p3,1,0.059417,3.553578,[ 50 107] ; [57 77],[57.72852234 99.27147766] ; [49.27147766 84.72852234],0
n2,1,0.069114,3.303947,[31 14] ; [31  5],[34.44444444 10.55555556] ; [27.55555556  8.44444444],0
v3,1,0.072795,3.218849,[ 34 118] ; [42 90],[ 40.67605634 111.32394366] ; [35.32394366 96.67605634],0
v2,1,0.076081,3.146698,[51 98] ; [58 72],[58.21146953 90.78853047] ; [50.78853047 79.21146953],0
p2,1,0.08533,2.960346,[107  49] ; [104  30],[113.50344828  42.49655172] ; [97.49655172 36.50344828],0
d2,1,0.106343,2.607748,[ 25 131] ; [ 13 122],[ 20.37113402 135.62886598] ; [ 17.62886598 117.37113402],0
n4,1,0.119488,2.424019,[95 61] ; [94 41],[101.31958763  54.68041237] ; [87.68041237 47.31958763],0
b1,1,0.127485,2.322865,[72 85] ; [50 85],[65.59589041 91.40410959] ; [56.40410959 78.59589041],0
p6,1,0.129354,2.300242,[ 30 125] ; [35 95],[ 35.35087719 119.64912281] ; [ 29.64912281 100.35087719],0
p1,1,0.132412,2.263999,[ 14 141] ; [  6 127],[ 10.76388889 144.23611111] ; [  9.23611111 123.76388889],0
u2,1,0.142105,2.155017,[34 45] ; [37 30],[38.41780822 40.58219178] ; [32.58219178 34.41780822],0
p11,1,0.170248,1.880758,[101  56] ; [97 38],[106.45890411  50.54109589] ; [91.54109589 43.45890411],0
b3,1,0.175649,1.834059,[29 61] ; [14 49],[25.29411765 64.70588235] ; [17.70588235 45.29411765],0
