Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,138.466394,[ 64 205] ; [323 147],[140.87009472 128.12990528] ; [246.12990528 223.87009472],1
p6,1,0.0,69.977618,[ 49 211] ; [236 232],[101.78571429 158.21428571] ; [183.21428571 284.78571429],1
p8,1,0.0,49.474772,[105 156] ; [314 154],[150.01234568 110.98765432] ; [268.98765432 199.01234568],1
p7,1,0.0,33.977642,[142 115] ; [356 111],[176.77624309  80.22375691] ; [321.22375691 145.77624309],1
p5,1,0.0,29.400657,[  9 259] ; [ 79 391],[ 31.95663957 236.04336043] ; [ 56.04336043 413.95663957],1
s7,1,0.0,27.66963,[ 97 163] ; [259 189],[130.73446328 129.26553672] ; [225.26553672 222.73446328],1
n5,1,0.0,26.205879,[173  94] ; [383  86],[201.70108696  65.29891304] ; [354.29891304 114.70108696],1
n4,1,3e-06,21.946569,[183  85] ; [391  79],[208.44444444  59.55555556] ; [365.55555556 104.44444444],1
d1,1,5e-06,20.987812,[129 140] ; [307 164],[158.49189189 110.50810811] ; [277.50810811 193.49189189],1
s6,1,3.5e-05,17.135578,[155 110] ; [339 123],[180.06877579  84.93122421] ; [313.93122421 148.06877579],1
s8,1,4.4e-05,16.685981,[ 94 174] ; [237 231],[120.52717391 147.47282609] ; [210.47282609 257.52717391],1
p10,1,0.000102,15.105504,[202  63] ; [408  59],[220.83333333  44.16666667] ; [389.16666667  77.83333333],1
a5,1,0.000125,14.723215,[174  95] ; [366 105],[196.2972973  72.7027027] ; [343.7027027 127.2972973],1
d3,1,0.000156,14.301796,[166 101] ; [355 116],[188.49186992  78.50813008] ; [332.50813008 138.49186992],1
v1,1,0.000296,13.094505,[120 139] ; [278 183],[143.16944444 115.83055556] ; [254.83055556 206.16944444],1
s2,1,0.000678,11.548129,[115 152] ; [262 205],[137.13760218 129.86239782] ; [239.86239782 227.13760218],1
d2,1,0.000823,11.188632,[106 162] ; [246 224],[127.82655827 140.17344173] ; [224.17344173 245.82655827],1
u1,1,0.001095,10.659003,[ 31 238] ; [ 99 372],[ 47.25675676 221.74324324] ; [ 82.74324324 388.25675676],0
s5,1,0.001353,10.268391,[ 70 190] ; [176 278],[ 89.57983193 170.42016807] ; [156.42016807 297.57983193],0
p1,1,0.001803,9.739506,[ 12 255] ; [ 53 417],[ 23.54816825 243.45183175] ; [ 41.45183175 428.54816825],0
a4,1,0.002348,9.255126,[ 98 171] ; [225 244],[117.73306233 151.26693767] ; [205.26693767 263.73306233],0
d5,1,0.002622,9.053792,[205  63] ; [401  69],[220.06504065  47.93495935] ; [385.93495935  84.06504065],0
a2,1,0.002806,8.92954,[ 47 222] ; [128 343],[ 63.61486486 205.38513514] ; [111.38513514 359.61486486],0
r4,1,0.003904,8.328053,[236  33] ; [442  29],[246.46216216  22.53783784] ; [431.53783784  39.46216216],0
n6,1,0.003945,8.309177,[215  53] ; [413  56],[228.36363636  39.63636364] ; [399.63636364  69.36363636],0
p12,1,0.006222,7.484771,[ 11 254] ; [ 46 425],[ 20.52309783 244.47690217] ; [ 36.47690217 434.52309783],0
v3,1,0.01143,6.397245,[ 88 175] ; [195 258],[103.95111732 159.04888268] ; [179.04888268 273.95111732],0
a7,1,0.015761,5.829292,[184  83] ; [362 108],[197.8046133  69.1953867] ; [348.1953867 121.8046133],0
